Min. bias data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	4.579841e-002	7.663307e-005
1.000000	7.404625e-002	9.700931e-005
2.000000	6.509760e-002	8.791279e-005
3.000000	6.224886e-002	8.480377e-005
4.000000	6.005243e-002	8.283159e-005
5.000000	5.781175e-002	8.108243e-005
6.000000	5.567547e-002	7.948713e-005
7.000000	5.330936e-002	7.774231e-005
8.000000	5.118790e-002	7.616148e-005
9.000000	4.855652e-002	7.416869e-005
10.000000	4.584489e-002	7.206305e-005
11.000000	4.295828e-002	6.975457e-005
12.000000	3.994449e-002	6.726178e-005
13.000000	3.696732e-002	6.470586e-005
14.000000	3.377947e-002	6.185264e-005
15.000000	3.069644e-002	5.896231e-005
16.000000	2.773477e-002	5.604562e-005
17.000000	2.473199e-002	5.292471e-005
18.000000	2.189991e-002	4.980237e-005
19.000000	1.923092e-002	4.666902e-005
20.000000	1.667181e-002	4.345301e-005
21.000000	1.445654e-002	4.046324e-005
22.000000	1.245430e-002	3.755677e-005
23.000000	1.058108e-002	3.461736e-005
24.000000	8.856312e-003	3.167051e-005
25.000000	7.439830e-003	2.902753e-005
26.000000	6.155971e-003	2.640443e-005
27.000000	5.067702e-003	2.395709e-005
28.000000	4.237893e-003	2.190806e-005
29.000000	3.438986e-003	1.973530e-005
30.000000	2.749376e-003	1.764597e-005
31.000000	2.231915e-003	1.589891e-005
32.000000	1.783311e-003	1.421157e-005
33.000000	1.401419e-003	1.259833e-005
34.000000	1.125640e-003	1.129089e-005
35.000000	8.695709e-004	9.923867e-006
36.000000	6.934595e-004	8.862148e-006
37.000000	5.326377e-004	7.766841e-006
38.000000	4.000162e-004	6.730808e-006
39.000000	3.156413e-004	5.978956e-006
40.000000	2.372689e-004	5.183808e-006
41.000000	1.799620e-004	4.514595e-006
42.000000	1.320552e-004	3.867285e-006
43.000000	1.084982e-004	3.505416e-006
44.000000	7.961817e-005	3.002856e-006
45.000000	5.572139e-005	2.512114e-006
46.000000	4.688751e-005	2.304396e-006
47.000000	3.544877e-005	2.003683e-006
48.000000	2.514258e-005	1.687459e-006
49.000000	1.653521e-005	1.368464e-006
50.000000	1.098572e-005	1.115431e-006
51.000000	8.494115e-006	9.808159e-007
52.000000	6.682037e-006	8.699271e-007
53.000000	5.662743e-006	8.008328e-007
54.000000	3.737410e-006	6.505996e-007
55.000000	3.850665e-006	6.603837e-007
56.000000	1.698823e-006	4.386342e-007
57.000000	1.585568e-006	4.237609e-007
58.000000	9.060389e-007	3.203331e-007
59.000000	1.019294e-006	3.397646e-007
60.000000	4.530194e-007	2.265097e-007
61.000000	5.662743e-007	2.532456e-007
62.000000	1.132549e-007	1.132549e-007
63.000000	1.132549e-007	1.132549e-007
64.000000	3.397646e-007	1.961632e-007
65.000000	0.000000e+000	0.000000e+000
66.000000	1.132549e-007	1.132549e-007
67.000000	0.000000e+000	0.000000e+000
68.000000	0.000000e+000	0.000000e+000
69.000000	1.132549e-007	1.132549e-007
70.000000	0.000000e+000	0.000000e+000
71.000000	0.000000e+000	0.000000e+000
72.000000	0.000000e+000	0.000000e+000
73.000000	0.000000e+000	0.000000e+000
74.000000	0.000000e+000	0.000000e+000
75.000000	0.000000e+000	0.000000e+000
76.000000	0.000000e+000	0.000000e+000
77.000000	0.000000e+000	0.000000e+000
78.000000	0.000000e+000	0.000000e+000
79.000000	0.000000e+000	0.000000e+000
80.000000	0.000000e+000	0.000000e+000
81.000000	0.000000e+000	0.000000e+000
82.000000	0.000000e+000	0.000000e+000
83.000000	0.000000e+000	0.000000e+000
84.000000	0.000000e+000	0.000000e+000
85.000000	0.000000e+000	0.000000e+000
86.000000	0.000000e+000	0.000000e+000
87.000000	0.000000e+000	0.000000e+000
88.000000	0.000000e+000	0.000000e+000
89.000000	0.000000e+000	0.000000e+000
90.000000	0.000000e+000	0.000000e+000
91.000000	0.000000e+000	0.000000e+000
92.000000	0.000000e+000	0.000000e+000
93.000000	0.000000e+000	0.000000e+000
94.000000	0.000000e+000	0.000000e+000
95.000000	0.000000e+000	0.000000e+000
96.000000	0.000000e+000	0.000000e+000
97.000000	0.000000e+000	0.000000e+000
98.000000	0.000000e+000	0.000000e+000
99.000000	0.000000e+000	0.000000e+000
0-20% data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	2.060357e-004	4.873940e-006
1.000000	5.020031e-004	7.607854e-006
2.000000	7.437808e-004	9.260436e-006
3.000000	1.119764e-003	1.136246e-005
4.000000	1.727033e-003	1.411105e-005
5.000000	2.534689e-003	1.709509e-005
6.000000	3.564406e-003	2.027228e-005
7.000000	4.725447e-003	2.334159e-005
8.000000	6.002130e-003	2.630642e-005
9.000000	7.333580e-003	2.907816e-005
10.000000	8.502230e-003	3.130945e-005
11.000000	9.527912e-003	3.314422e-005
12.000000	1.041351e-002	3.465034e-005
13.000000	1.117631e-002	3.589701e-005
14.000000	1.153581e-002	3.646977e-005
15.000000	1.168673e-002	3.670756e-005
16.000000	1.169872e-002	3.672639e-005
17.000000	1.131225e-002	3.611465e-005
18.000000	1.085994e-002	3.538528e-005
19.000000	1.021577e-002	3.431979e-005
20.000000	9.404890e-003	3.292955e-005
21.000000	8.622831e-003	3.153072e-005
22.000000	7.805490e-003	2.999916e-005
23.000000	6.950102e-003	2.830770e-005
24.000000	6.031300e-003	2.637026e-005
25.000000	5.245090e-003	2.459152e-005
26.000000	4.501079e-003	2.278071e-005
27.000000	3.798113e-003	2.092632e-005
28.000000	3.276740e-003	1.943703e-005
29.000000	2.721585e-003	1.771413e-005
30.000000	2.201942e-003	1.593353e-005
31.000000	1.833914e-003	1.454114e-005
32.000000	1.495517e-003	1.313121e-005
33.000000	1.188942e-003	1.170818e-005
34.000000	9.693017e-004	1.057154e-005
35.000000	7.570400e-004	9.342613e-006
36.000000	6.161471e-004	8.428517e-006
37.000000	4.814802e-004	7.450719e-006
38.000000	3.593807e-004	6.437042e-006
39.000000	2.843224e-004	5.725514e-006
40.000000	2.176807e-004	5.009783e-006
41.000000	1.672959e-004	4.391892e-006
42.000000	1.217536e-004	3.746708e-006
43.000000	1.029602e-004	3.445432e-006
44.000000	7.598071e-005	2.959788e-006
45.000000	5.222953e-005	2.453957e-006
46.000000	4.519642e-005	2.282764e-006
47.000000	3.343612e-005	1.963437e-006
48.000000	2.375118e-005	1.654823e-006
49.000000	1.602628e-005	1.359331e-006
50.000000	1.083792e-005	1.117846e-006
51.000000	8.416680e-006	9.850978e-007
52.000000	6.571928e-006	8.704731e-007
53.000000	5.418958e-006	7.904363e-007
54.000000	3.343612e-006	6.208932e-007
55.000000	3.689503e-006	6.522182e-007
56.000000	1.729455e-006	4.465433e-007
57.000000	1.498861e-006	4.157092e-007
58.000000	8.070789e-007	3.050471e-007
59.000000	9.223758e-007	3.261091e-007
60.000000	4.611879e-007	2.305940e-007
61.000000	5.764849e-007	2.578119e-007
62.000000	1.152970e-007	1.152970e-007
63.000000	1.152970e-007	1.152970e-007
64.000000	2.305940e-007	1.630546e-007
65.000000	0.000000e+000	0.000000e+000
66.000000	0.000000e+000	0.000000e+000
67.000000	0.000000e+000	0.000000e+000
68.000000	0.000000e+000	0.000000e+000
69.000000	1.152970e-007	1.152970e-007
70.000000	0.000000e+000	0.000000e+000
71.000000	0.000000e+000	0.000000e+000
72.000000	0.000000e+000	0.000000e+000
73.000000	0.000000e+000	0.000000e+000
74.000000	0.000000e+000	0.000000e+000
75.000000	0.000000e+000	0.000000e+000
76.000000	0.000000e+000	0.000000e+000
77.000000	0.000000e+000	0.000000e+000
78.000000	0.000000e+000	0.000000e+000
79.000000	0.000000e+000	0.000000e+000
80.000000	0.000000e+000	0.000000e+000
81.000000	0.000000e+000	0.000000e+000
82.000000	0.000000e+000	0.000000e+000
83.000000	0.000000e+000	0.000000e+000
84.000000	0.000000e+000	0.000000e+000
85.000000	0.000000e+000	0.000000e+000
86.000000	0.000000e+000	0.000000e+000
87.000000	0.000000e+000	0.000000e+000
88.000000	0.000000e+000	0.000000e+000
89.000000	0.000000e+000	0.000000e+000
90.000000	0.000000e+000	0.000000e+000
91.000000	0.000000e+000	0.000000e+000
92.000000	0.000000e+000	0.000000e+000
93.000000	0.000000e+000	0.000000e+000
94.000000	0.000000e+000	0.000000e+000
95.000000	0.000000e+000	0.000000e+000
96.000000	0.000000e+000	0.000000e+000
97.000000	0.000000e+000	0.000000e+000
98.000000	0.000000e+000	0.000000e+000
99.000000	0.000000e+000	0.000000e+000
20-40% data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	6.764474e-004	8.831327e-006
1.000000	1.966390e-003	1.505719e-005
2.000000	3.522438e-003	2.015258e-005
3.000000	5.499205e-003	2.518018e-005
4.000000	7.684544e-003	2.976583e-005
5.000000	9.806585e-003	3.362543e-005
6.000000	1.184434e-002	3.695426e-005
7.000000	1.349321e-002	3.944269e-005
8.000000	1.480021e-002	4.130883e-005
9.000000	1.554561e-002	4.233629e-005
10.000000	1.572063e-002	4.257395e-005
11.000000	1.557870e-002	4.238133e-005
12.000000	1.494353e-002	4.150835e-005
13.000000	1.399290e-002	4.016640e-005
14.000000	1.288813e-002	3.854818e-005
15.000000	1.164523e-002	3.664232e-005
16.000000	1.027700e-002	3.442247e-005
17.000000	9.018991e-003	3.224690e-005
18.000000	7.678664e-003	2.975444e-005
19.000000	6.447753e-003	2.726548e-005
