Au+Au 62.4 GeV:
(Npart/2)^2/3	error	S/(Npart/2)^2/3[fm^2]	error
 3.89	 0.41	 4.13	 0.09
 5.79	 0.51	 4.29	 0.04
 8.31	 0.54	 4.31	 0.03
11.33	 0.51	 4.29	 0.04
14.84	 0.44	 4.29	 0.07
18.89	 0.41	 4.32	 0.07
23.64	 0.31	 4.43	 0.08
27.84	 0.27	 4.57	 0.08
31.08	 0.17	 4.75	 0.11
Au+Au 200 GeV:
(Npart/2)^2/3	error	S/(Npart/2)^2/3[fm^2]	error
 3.96	 0.43	 4.50	 0.07
 5.91	 0.50	 4.61	 0.04
 8.47	 0.54	 4.58	 0.02
11.53	 0.52	 4.52	 0.03
15.08	 0.44	 4.48	 0.06
19.15	 0.41	 4.50	 0.07
23.94	 0.31	 4.59	 0.08
28.14	 0.26	 4.73	 0.08
31.32	 0.14	 4.91	 0.12
pp 200 GeV:
(Npart/2)^2/3	error	S/(Npart/2)^2/3[fm^2]	error
 1.00	 0.00	 4.10	 0.20
