Au+Au 62.4 GeV:
Ncoll/(Npart/2)	error	(dN_pi/dy)/S[fm^-2]	error
 1.84	 0.08	 0.92	 0.14
 2.15	 0.09	 1.19	 0.16
 2.55	 0.09	 1.49	 0.17
 3.00	 0.11	 1.79	 0.17
 3.47	 0.13	 2.11	 0.18
 3.97	 0.15	 2.45	 0.19
 4.45	 0.21	 2.76	 0.22
 4.83	 0.25	 3.01	 0.22
 5.14	 0.29	 3.18	 0.24
Au+Au 200 GeV:
Ncoll/(Npart/2)	error	(dN_pi/dy)/S[fm^-2]	error
 1.91	 0.09	 1.22	 0.18
 2.26	 0.09	 1.55	 0.18
 2.71	 0.10	 1.87	 0.19
 3.23	 0.12	 2.25	 0.20
 3.78	 0.13	 2.65	 0.23
 4.35	 0.15	 3.15	 0.26
 4.93	 0.21	 3.55	 0.28
 5.39	 0.26	 3.89	 0.31
 5.77	 0.30	 4.22	 0.34
pp 200 GeV:
Ncoll/(Npart/2)	error	(dN_pi/dy)/S[fm^-2]	error
 1.00	 0.00	 0.70	 0.06
