pp collisions 200 GeV pbar energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	-0.121500	0.000000
0.176000	-0.084500	0.010703
0.208000	-0.088919	0.005656
0.240000	-0.071452	0.002863
0.272000	-0.059784	0.001859
0.304000	-0.045919	0.001484
0.336000	-0.037892	0.001209
0.368000	-0.034105	0.001053
0.400000	-0.027571	0.000872
0.432000	-0.022890	0.000833
0.464000	-0.018688	0.000834
0.496000	-0.016465	0.000701
0.528000	-0.012991	0.000890
0.560000	-0.013751	0.000755
0.592000	-0.010560	0.000729
0.624000	-0.009177	0.000684
0.656000	-0.006986	0.000824
0.688000	-0.006955	0.001035
0.720000	-0.005724	0.000812
0.752000	-0.004849	0.000968
0.784000	-0.002680	0.001717
0.816000	-0.004201	0.001219
0.848000	-0.003255	0.001135
0.880000	-0.004715	0.002088
0.912000	-0.002696	0.001535
0.944000	-0.005576	0.001805
0.976000	-0.003824	0.002277
1.008000	0.000127	0.003255
1.040000	-0.003350	0.003101
1.072000	0.005750	0.003462
1.104000	0.000709	0.002749
1.136000	0.002020	0.002361
1.168000	-0.002682	0.002544
1.200000	-0.001803	0.004888
1.232000	0.000379	0.002659
1.264000	0.003620	0.004775
1.296000	0.002500	0.003782
1.328000	0.007935	0.004303
1.360000	-0.002625	0.005344
1.392000	0.006333	0.004861
1.424000	0.006357	0.004142
1.456000	0.005147	0.008192
1.488000	0.000147	0.003752
1.520000	-0.004300	0.006934
1.552000	-0.002250	0.005422
1.584000	0.008571	0.007726
1.616000	0.005346	0.005484
1.648000	0.008773	0.009394
1.680000	0.010300	0.004804
1.712000	0.002045	0.007807
1.744000	0.002389	0.007906
1.776000	-0.001300	0.006257
1.808000	-0.016625	0.008046
1.840000	0.011833	0.006452
1.872000	0.007192	0.006887
1.904000	-0.008357	0.009186
1.936000	0.027667	0.037554
1.968000	0.000167	0.032817
pp collisions 200 GeV kaon energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	-0.044500	0.007369
0.176000	-0.034591	0.001708
0.208000	-0.026587	0.001057
0.240000	-0.019419	0.000687
0.272000	-0.014390	0.000528
0.304000	-0.010530	0.000429
0.336000	-0.008844	0.000340
0.368000	-0.006380	0.000381
0.400000	-0.005716	0.000350
0.432000	-0.004497	0.000329
0.464000	-0.004295	0.000347
0.496000	-0.002642	0.000377
0.528000	-0.002027	0.000519
0.560000	-0.001739	0.000414
0.592000	-0.002500	0.000532
0.624000	-0.001464	0.000577
0.656000	-0.000611	0.000527
0.688000	-0.001657	0.000801
0.720000	-0.000902	0.000791
0.752000	0.000723	0.000759
0.784000	0.001300	0.001025
0.816000	0.000518	0.001437
0.848000	-0.000089	0.000912
0.880000	0.001019	0.001008
0.912000	0.002913	0.001518
0.944000	0.002279	0.001890
0.976000	0.004484	0.002923
1.008000	-0.000663	0.001736
1.040000	0.001924	0.003406
1.072000	-0.010240	0.008141
1.104000	0.002222	0.002193
1.136000	0.002155	0.002838
1.168000	-0.001271	0.002492
1.200000	-0.004342	0.002314
1.232000	0.004048	0.002321
1.264000	0.000382	0.003434
1.296000	0.005060	0.006443
1.328000	-0.001460	0.004867
1.360000	0.002079	0.003707
1.392000	0.010591	0.004513
1.424000	0.017500	0.011741
1.456000	0.004500	0.008027
1.488000	-0.000571	0.003435
1.520000	0.003136	0.006325
1.552000	0.018111	0.008418
1.584000	-0.005625	0.005236
1.616000	-0.004417	0.009913
1.648000	0.007682	0.005748
1.680000	0.014654	0.005446
1.712000	0.003833	0.005573
1.744000	-0.045929	0.035836
1.776000	-0.005682	0.017537
1.808000	-0.005643	0.003285
1.840000	0.028500	0.021479
1.872000	0.033500	0.006242
1.904000	-0.018500	0.015692
1.936000	-0.017750	0.008792
1.968000	0.109100	0.072420
pp collisions 200 GeV pion energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	-0.001086	0.000494
0.144000	0.000526	0.000049
0.176000	0.000346	0.000036
0.208000	0.000398	0.000037
0.240000	0.000414	0.000038
0.272000	0.000348	0.000042
0.304000	0.000427	0.000049
0.336000	0.000509	0.000054
0.368000	0.000310	0.000068
0.400000	0.000576	0.000082
0.432000	0.000718	0.000094
0.464000	0.000491	0.000106
0.496000	0.000701	0.000112
0.528000	0.000756	0.000134
0.560000	0.000490	0.000167
0.592000	0.000592	0.000194
0.624000	0.000313	0.000232
0.656000	0.001183	0.000226
0.688000	0.000591	0.000298
0.720000	0.001427	0.000317
0.752000	0.001012	0.000325
0.784000	0.001785	0.000397
0.816000	0.000435	0.000521
0.848000	0.001762	0.000622
0.880000	0.000996	0.000567
0.912000	0.001546	0.000646
0.944000	0.002312	0.000827
0.976000	0.002584	0.000925
1.008000	0.003489	0.001257
1.040000	0.003299	0.001211
1.072000	0.002587	0.001348
1.104000	0.001878	0.001257
1.136000	0.001284	0.001509
1.168000	0.002424	0.001275
1.200000	0.002115	0.001432
1.232000	0.000951	0.001581
1.264000	-0.000411	0.001865
1.296000	0.003242	0.002400
1.328000	0.007533	0.002474
1.360000	0.004962	0.002213
1.392000	0.003052	0.002881
1.424000	-0.003845	0.002712
1.456000	0.001883	0.002262
1.488000	0.012500	0.004923
1.520000	0.010333	0.005471
1.552000	-0.004354	0.003830
1.584000	0.000989	0.005295
1.616000	0.011500	0.005108
1.648000	0.008105	0.006089
1.680000	0.005477	0.011368
1.712000	0.004820	0.008370
1.744000	0.008571	0.006196
1.776000	0.007532	0.003986
1.808000	0.002109	0.005326
1.840000	0.014684	0.008165
1.872000	-0.002929	0.007813
1.904000	0.015912	0.015074
1.936000	-0.002038	0.006533
1.968000	0.003750	0.012365
Au+Au collisions 62.4 GeV pbar energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	-0.155500	0.000000
0.176000	-0.115056	0.005755
0.208000	-0.096625	0.001605
0.240000	-0.079863	0.001129
0.272000	-0.065198	0.000895
0.304000	-0.052502	0.000634
0.336000	-0.043430	0.000588
0.368000	-0.035624	0.000514
0.400000	-0.029241	0.000427
0.432000	-0.024749	0.000410
0.464000	-0.020683	0.000429
0.496000	-0.017894	0.000384
0.528000	-0.014819	0.000399
0.560000	-0.013926	0.000418
0.592000	-0.011062	0.000367
0.624000	-0.010229	0.000419
0.656000	-0.008460	0.000628
0.688000	-0.006984	0.000401
0.720000	-0.006250	0.000432
0.752000	-0.006131	0.000607
0.784000	-0.005771	0.000524
0.816000	-0.004934	0.000463
0.848000	-0.003472	0.000517
0.880000	-0.003896	0.000604
0.912000	-0.003565	0.000695
0.944000	-0.002366	0.000627
0.976000	-0.002850	0.000587
1.008000	-0.003352	0.000661
1.040000	-0.001714	0.000792
1.072000	-0.002190	0.000771
1.104000	-0.000563	0.000955
1.136000	-0.001675	0.000824
1.168000	-0.001705	0.000739
1.200000	-0.001305	0.000971
1.232000	-0.000201	0.000660
1.264000	-0.000861	0.000933
1.296000	-0.002192	0.000979
1.328000	-0.000361	0.001008
1.360000	-0.000954	0.000939
1.392000	0.000048	0.001378
1.424000	-0.001610	0.000993
1.456000	-0.000557	0.001260
1.488000	-0.001975	0.001337
1.520000	0.001679	0.001064
1.552000	0.000551	0.001155
1.584000	-0.000241	0.001186
1.616000	-0.000696	0.001228
1.648000	-0.002417	0.001491
1.680000	-0.001927	0.001509
1.712000	0.000106	0.001557
1.744000	-0.000275	0.001285
1.776000	0.002804	0.001500
1.808000	0.000906	0.001272
1.840000	0.003502	0.001551
1.872000	0.001541	0.001403
1.904000	0.001959	0.001346
1.936000	0.003321	0.001325
1.968000	0.010398	0.001314
Au+Au collisions 62.4 GeV kaon energy loss:
p^meas[GeV/c]	pt^meas-pt^MC[GeV/c]	error
0.016000	0.000000	0.000000
0.048000	0.000000	0.000000
0.080000	0.000000	0.000000
0.112000	0.000000	0.000000
0.144000	-0.053278	0.003284
0.176000	-0.036877	0.001190
0.208000	-0.026902	0.000547
0.240000	-0.020235	0.000439
0.272000	-0.014568	0.000354
