pp collisions 200 GeV vertex finding efficiency:
Nglob	Efficiency	error
0.000000	0.000000	0.000722
1.000000	0.382703	0.004267
2.000000	0.525469	0.004004
3.000000	0.630087	0.003516
4.000000	0.679016	0.003224
5.000000	0.715669	0.003089
6.000000	0.751303	0.003029
7.000000	0.772535	0.003067
8.000000	0.787898	0.003165
9.000000	0.815564	0.003231
10.000000	0.844214	0.003266
11.000000	0.854851	0.003410
12.000000	0.875591	0.003475
13.000000	0.892126	0.003485
14.000000	0.911067	0.003423
15.000000	0.927769	0.003373
16.000000	0.930789	0.003559
17.000000	0.939143	0.003660
18.000000	0.951637	0.003494
19.000000	0.945799	0.003938
20.000000	0.965378	0.003493
21.000000	0.967251	0.003666
22.000000	0.968090	0.003948
23.000000	0.965946	0.004352
24.000000	0.984762	0.003224
25.000000	0.969489	0.004787
26.000000	0.965351	0.006174
27.000000	0.966986	0.005973
28.000000	0.979461	0.005108
29.000000	0.979528	0.005860
30.000000	0.980354	0.006765
31.000000	0.985185	0.006026
32.000000	0.964467	0.010049
33.000000	0.985348	0.007299
34.000000	1.000000	0.000000
35.000000	1.000000	0.000000
36.000000	0.961538	0.015550
37.000000	1.000000	0.000000
38.000000	0.958763	0.020405
39.000000	1.000000	0.000000
40.000000	1.000000	0.000000
41.000000	0.971429	0.020058
42.000000	1.000000	0.000000
43.000000	1.000000	0.000000
44.000000	1.000000	0.000000
45.000000	1.000000	0.000000
46.000000	1.000000	0.000000
47.000000	1.000000	0.000000
48.000000	1.000000	0.000000
49.000000	1.000000	0.000000
50.000000	1.000000	0.000000
51.000000	0.800000	0.134164
52.000000	1.000000	0.000000
53.000000	1.000000	0.000000
54.000000	1.000000	0.000000
55.000000	1.000000	0.000000
56.000000	1.000000	0.000000
57.000000	1.000000	0.000000
58.000000	1.000000	0.000000
59.000000	1.000000	0.000000
60.000000	1.000000	0.000000
61.000000	1.000000	0.000000
62.000000	1.000000	0.000000
63.000000	1.000000	0.000000
64.000000	0.000000	0.000000
65.000000	1.000000	0.000000
66.000000	0.000000	0.000000
67.000000	1.000000	0.000000
68.000000	1.000000	0.000000
69.000000	0.000000	0.000000
70.000000	0.000000	0.000000
71.000000	1.000000	0.000000
72.000000	0.000000	0.000000
73.000000	0.000000	0.000000
74.000000	0.000000	0.000000
75.000000	0.000000	0.000000
76.000000	0.000000	0.000000
77.000000	0.000000	0.000000
78.000000	0.000000	0.000000
79.000000	0.000000	0.000000
80.000000	0.000000	0.000000
81.000000	0.000000	0.000000
82.000000	0.000000	0.000000
83.000000	0.000000	0.000000
84.000000	0.000000	0.000000
85.000000	0.000000	0.000000
86.000000	0.000000	0.000000
87.000000	0.000000	0.000000
88.000000	0.000000	0.000000
89.000000	0.000000	0.000000
90.000000	0.000000	0.000000
91.000000	0.000000	0.000000
92.000000	0.000000	0.000000
93.000000	0.000000	0.000000
94.000000	0.000000	0.000000
95.000000	0.000000	0.000000
96.000000	0.000000	0.000000
97.000000	0.000000	0.000000
98.000000	0.000000	0.000000
99.000000	0.000000	0.000000
100.000000	0.000000	0.000000
pp collisions 200 GeV fake vertex rate:
Nglob	FakeRate	error
0.000000	0.025372	0.000510
1.000000	0.075668	0.003017
2.000000	0.113655	0.002831
3.000000	0.114647	0.002486
4.000000	0.118518	0.002280
5.000000	0.116804	0.002184
6.000000	0.107259	0.002142
7.000000	0.101594	0.002169
8.000000	0.097764	0.002238
9.000000	0.085679	0.002285
10.000000	0.073245	0.002309
11.000000	0.068195	0.002411
12.000000	0.058760	0.002457
13.000000	0.051320	0.002464
14.000000	0.042292	0.002420
15.000000	0.034321	0.002385
16.000000	0.033236	0.002517
17.000000	0.028202	0.002588
18.000000	0.022716	0.002471
19.000000	0.026384	0.002785
20.000000	0.016134	0.002470
21.000000	0.015205	0.002592
22.000000	0.015016	0.002792
23.000000	0.016216	0.003077
24.000000	0.006984	0.002280
25.000000	0.015256	0.003385
26.000000	0.014437	0.004366
27.000000	0.015974	0.004223
28.000000	0.010270	0.003612
29.000000	0.009449	0.004144
30.000000	0.007859	0.004784
31.000000	0.007407	0.004261
32.000000	0.015228	0.007105
33.000000	0.007326	0.005161
34.000000	0.000000	0.000000
35.000000	0.000000	0.000000
36.000000	0.019231	0.010996
37.000000	0.000000	0.000000
38.000000	0.020619	0.014428
39.000000	0.000000	0.000000
40.000000	0.000000	0.000000
41.000000	0.014286	0.014183
42.000000	0.000000	0.000000
43.000000	0.000000	0.000000
44.000000	0.000000	0.000000
45.000000	0.000000	0.000000
46.000000	0.000000	0.000000
47.000000	0.000000	0.000000
48.000000	0.000000	0.000000
49.000000	0.000000	0.000000
50.000000	0.000000	0.000000
51.000000	0.100000	0.094868
52.000000	0.000000	0.000000
53.000000	0.000000	0.000000
54.000000	0.000000	0.000000
55.000000	0.000000	0.000000
56.000000	0.000000	0.000000
57.000000	0.000000	0.000000
58.000000	0.000000	0.000000
59.000000	0.000000	0.000000
60.000000	0.000000	0.000000
61.000000	0.000000	0.000000
62.000000	0.000000	0.000000
63.000000	0.000000	0.000000
64.000000	0.000000	0.000000
65.000000	0.000000	0.000000
66.000000	0.000000	0.000000
67.000000	0.000000	0.000000
68.000000	0.000000	0.000000
69.000000	0.000000	0.000000
70.000000	0.000000	0.000000
71.000000	0.000000	0.000000
72.000000	0.000000	0.000000
73.000000	0.000000	0.000000
74.000000	0.000000	0.000000
