d+Au 200 GeV MB efficiencies:
pi- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.185133	0.002016
0.175000	0.668184	0.002298
0.225000	0.734840	0.002152
0.275000	0.757919	0.002149
0.325000	0.776473	0.002230
0.375000	0.800374	0.002309
0.425000	0.813399	0.002452
0.475000	0.819677	0.002639
0.525000	0.827554	0.002869
0.575000	0.825429	0.003208
0.625000	0.829838	0.003528
0.675000	0.836271	0.003848
0.725000	0.837644	0.004291
0.775000	0.848926	0.004658
0.825000	0.836131	0.005362
0.875000	0.822188	0.006120
0.925000	0.831036	0.006710
0.975000	0.837982	0.007203
1.025000	0.835461	0.008062
1.075000	0.867365	0.008181
1.125000	0.822742	0.009877
1.175000	0.838499	0.010510
1.225000	0.840467	0.011421
1.275000	0.845252	0.012383
1.325000	0.867052	0.012907
1.375000	0.810316	0.015992
1.425000	0.875887	0.013883
1.475000	0.854839	0.015817
1.525000	0.870886	0.016872
1.575000	0.842975	0.019096
1.625000	0.826389	0.022320
1.675000	0.869369	0.022618
1.725000	0.824390	0.026574
1.775000	0.883333	0.020722
1.825000	0.904494	0.022030
1.875000	0.884848	0.024850
1.925000	0.829787	0.031650
1.975000	0.795082	0.036544
K- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.025379	0.000768
0.225000	0.177086	0.001861
0.275000	0.344960	0.002384
0.325000	0.418507	0.002640
0.375000	0.471482	0.002883
0.425000	0.516954	0.003145
0.475000	0.551220	0.003414
0.525000	0.583203	0.003745
0.575000	0.599198	0.004142
0.625000	0.615627	0.004566
0.675000	0.648598	0.004965
0.725000	0.636101	0.005599
0.775000	0.651754	0.006197
0.825000	0.663944	0.006842
0.875000	0.650633	0.007631
0.925000	0.676012	0.008380
0.975000	0.644195	0.009359
1.025000	0.679372	0.010148
1.075000	0.698413	0.011069
1.125000	0.698052	0.011874
1.175000	0.726531	0.012730
1.225000	0.727660	0.013884
1.275000	0.685279	0.015901
1.325000	0.711957	0.017215
1.375000	0.753165	0.017588
1.425000	0.658730	0.019965
1.475000	0.773585	0.018792
1.525000	0.807339	0.019844
1.575000	0.770270	0.022079
1.625000	0.811765	0.023034
1.675000	0.764706	0.028469
1.725000	0.759259	0.029860
1.775000	0.767857	0.027253
1.825000	0.781250	0.030986
1.875000	0.725000	0.034761
1.925000	0.809524	0.033069
1.975000	0.833333	0.033741
pbar efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.012346	0.000538
0.275000	0.165400	0.001864
0.325000	0.448573	0.002662
0.375000	0.717429	0.002601
0.425000	0.770601	0.002646
0.475000	0.792285	0.002785
0.525000	0.781174	0.003140
0.575000	0.799186	0.003386
0.625000	0.790661	0.003819
0.675000	0.798635	0.004170
0.725000	0.805613	0.004605
0.775000	0.794016	0.005260
0.825000	0.807305	0.005713
0.875000	0.802276	0.006375
0.925000	0.806240	0.007077
0.975000	0.770161	0.008224
1.025000	0.805556	0.008606
1.075000	0.830688	0.009045
1.125000	0.820000	0.009936
1.175000	0.823944	0.010878
1.225000	0.803347	0.012397
1.275000	0.798913	0.013724
1.325000	0.792079	0.015427
1.375000	0.797688	0.016387
1.425000	0.790123	0.017147
1.475000	0.852941	0.015902
1.525000	0.850000	0.017966
1.575000	0.827586	0.019826
1.625000	0.814815	0.022890
1.675000	0.779661	0.027818
1.725000	0.830769	0.026188
1.775000	0.888889	0.020286
1.825000	0.790698	0.030492
1.875000	0.863636	0.026716
1.925000	0.756098	0.036165
1.975000	0.875000	0.029942
