proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.050000	0.000768	0.000029
0.150000	0.001797	0.000045
0.250000	0.002712	0.000055
0.350000	0.003372	0.000062
0.450000	0.003756	0.000065
0.550000	0.003991	0.000067
0.650000	0.003970	0.000067
0.750000	0.004021	0.000067
0.850000	0.003842	0.000066
0.950000	0.003626	0.000064
1.050000	0.003389	0.000062
1.150000	0.003274	0.000061
1.250000	0.003148	0.000060
1.350000	0.003065	0.000059
1.450000	0.003000	0.000058
1.550000	0.002886	0.000057
1.650000	0.002843	0.000057
1.750000	0.002920	0.000058
1.850000	0.002931	0.000058
1.950000	0.002941	0.000058
2.050000	0.003034	0.000059
2.150000	0.003095	0.000059
2.250000	0.003242	0.000061
2.350000	0.003202	0.000060
2.450000	0.003297	0.000061
2.550000	0.003333	0.000061
2.650000	0.003292	0.000061
2.750000	0.003329	0.000061
2.850000	0.003445	0.000062
2.950000	0.003514	0.000063
3.050000	0.003524	0.000063
3.150000	0.003591	0.000064
3.250000	0.003606	0.000064
3.350000	0.003587	0.000064
3.450000	0.003590	0.000064
3.550000	0.003565	0.000064
3.650000	0.003643	0.000064
3.750000	0.003568	0.000064
3.850000	0.003663	0.000064
3.950000	0.003356	0.000062
4.050000	0.002838	0.000057
4.150000	0.003126	0.000059
4.250000	0.003299	0.000061
4.350000	0.003434	0.000062
4.450000	0.003555	0.000063
4.550000	0.003468	0.000063
4.650000	0.003597	0.000064
4.750000	0.003575	0.000064
4.850000	0.003493	0.000063
4.950000	0.003669	0.000064
5.050000	0.003634	0.000064
5.150000	0.003605	0.000064
5.250000	0.003703	0.000065
5.350000	0.003585	0.000064
5.450000	0.003724	0.000065
5.550000	0.003590	0.000064
5.650000	0.003641	0.000064
5.750000	0.003632	0.000064
5.850000	0.003666	0.000064
5.950000	0.003676	0.000065
6.050000	0.003643	0.000064
6.150000	0.003758	0.000065
6.250000	0.003701	0.000065
6.350000	0.003618	0.000064
6.450000	0.003674	0.000065
6.550000	0.003598	0.000064
6.650000	0.003700	0.000065
6.750000	0.003698	0.000065
6.850000	0.003735	0.000065
6.950000	0.003785	0.000065
7.050000	0.003735	0.000065
7.150000	0.003771	0.000065
7.250000	0.003837	0.000066
7.350000	0.003899	0.000066
7.450000	0.003718	0.000065
7.550000	0.003672	0.000064
7.650000	0.003778	0.000065
7.750000	0.003703	0.000065
7.850000	0.003795	0.000066
7.950000	0.003701	0.000065
8.050000	0.003788	0.000066
8.150000	0.003612	0.000064
8.250000	0.003779	0.000065
8.350000	0.003705	0.000065
8.450000	0.003724	0.000065
8.550000	0.003784	0.000065
8.650000	0.003788	0.000066
8.750000	0.003826	0.000066
8.850000	0.003724	0.000065
8.950000	0.003683	0.000065
9.050000	0.003606	0.000064
9.150000	0.003788	0.000066
9.250000	0.003606	0.000064
9.350000	0.003563	0.000064
9.450000	0.003770	0.000065
9.550000	0.003617	0.000064
9.650000	0.003637	0.000064
9.750000	0.003706	0.000065
9.850000	0.003600	0.000064
9.950000	0.003706	0.000065
10.050000	0.003715	0.000065
10.150000	0.003659	0.000064
10.250000	0.003754	0.000065
10.350000	0.003725	0.000065
10.450000	0.003712	0.000065
10.550000	0.003776	0.000065
10.650000	0.003732	0.000065
10.750000	0.003658	0.000064
10.850000	0.003848	0.000066
10.950000	0.003709	0.000065
11.050000	0.003763	0.000065
11.150000	0.003706	0.000065
11.250000	0.003728	0.000065
11.350000	0.003622	0.000064
11.450000	0.003740	0.000065
11.550000	0.003840	0.000066
11.650000	0.003689	0.000065
11.750000	0.003690	0.000065
11.850000	0.003735	0.000065
11.950000	0.003643	0.000064
12.050000	0.003603	0.000064
12.150000	0.003691	0.000065
12.250000	0.003806	0.000066
12.350000	0.003709	0.000065
12.450000	0.003723	0.000065
12.550000	0.003600	0.000064
12.650000	0.003722	0.000065
12.750000	0.003746	0.000065
12.850000	0.003706	0.000065
12.950000	0.003631	0.000064
13.050000	0.003731	0.000065
13.150000	0.003699	0.000065
13.250000	0.003769	0.000065
13.350000	0.003554	0.000063
13.450000	0.003703	0.000065
13.550000	0.003719	0.000065
13.650000	0.003609	0.000064
13.750000	0.003706	0.000065
13.850000	0.003480	0.000063
13.950000	0.003663	0.000064
14.050000	0.003710	0.000065
14.150000	0.003596	0.000064
14.250000	0.003766	0.000065
14.350000	0.003763	0.000065
14.450000	0.003674	0.000065
14.550000	0.003736	0.000065
14.650000	0.003620	0.000064
14.750000	0.003680	0.000065
14.850000	0.003666	0.000064
14.950000	0.003729	0.000065
15.050000	0.003626	0.000064
15.150000	0.003589	0.000064
15.250000	0.003561	0.000064
15.350000	0.003586	0.000064
15.450000	0.003620	0.000064
15.550000	0.003645	0.000064
15.650000	0.003595	0.000064
15.750000	0.003632	0.000064
15.850000	0.003353	0.000062
15.950000	0.003588	0.000064
16.050000	0.003568	0.000064
16.150000	0.003494	0.000063
16.250000	0.003545	0.000063
16.350000	0.003569	0.000064
16.450000	0.003452	0.000063
16.550000	0.003463	0.000063
