proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.075349	0.001551
0.120000	0.205047	0.002558
0.200000	0.280556	0.002992
0.280000	0.296449	0.003076
0.360000	0.269865	0.002935
0.440000	0.228855	0.002703
0.520000	0.182580	0.002414
0.600000	0.145879	0.002158
0.680000	0.113709	0.001905
0.760000	0.093636	0.001729
0.840000	0.078668	0.001584
0.920000	0.064051	0.001430
1.000000	0.052211	0.001291
1.080000	0.048828	0.001248
1.160000	0.045701	0.001208
1.240000	0.040563	0.001138
1.320000	0.035935	0.001071
1.400000	0.033669	0.001037
1.480000	0.031914	0.001009
1.560000	0.028882	0.000960
1.640000	0.027701	0.000940
1.720000	0.025627	0.000904
1.800000	0.023425	0.000865
1.880000	0.024861	0.000891
1.960000	0.022659	0.000850
2.040000	0.021255	0.000824
2.120000	0.021829	0.000835
2.200000	0.020616	0.000811
2.280000	0.020744	0.000814
2.360000	0.019723	0.000793
2.440000	0.019212	0.000783
2.520000	0.018606	0.000771
2.600000	0.017872	0.000755
2.680000	0.018159	0.000761
2.760000	0.015957	0.000714
2.840000	0.016148	0.000718
2.920000	0.016276	0.000721
3.000000	0.018765	0.000774
3.080000	0.016021	0.000715
3.160000	0.017234	0.000742
3.240000	0.016723	0.000731
3.320000	0.015925	0.000713
3.400000	0.015000	0.000692
3.480000	0.016372	0.000723
3.560000	0.015223	0.000697
3.640000	0.015670	0.000707
3.720000	0.014904	0.000690
3.800000	0.014744	0.000686
3.880000	0.014521	0.000681
3.960000	0.016276	0.000721
4.040000	0.015414	0.000701
4.120000	0.015574	0.000705
4.200000	0.014904	0.000690
4.280000	0.015000	0.000692
4.360000	0.014744	0.000686
4.440000	0.014266	0.000675
4.520000	0.014712	0.000685
4.600000	0.014202	0.000673
4.680000	0.014840	0.000688
4.760000	0.014521	0.000681
4.840000	0.013340	0.000652
4.920000	0.013117	0.000647
5.000000	0.013500	0.000656
5.080000	0.014457	0.000679
5.160000	0.013946	0.000667
5.240000	0.013883	0.000666
5.320000	0.014234	0.000674
5.400000	0.013883	0.000666
5.480000	0.013021	0.000645
5.560000	0.013308	0.000652
5.640000	0.013308	0.000652
5.720000	0.012989	0.000644
5.800000	0.014266	0.000675
5.880000	0.014138	0.000672
5.960000	0.012670	0.000636
6.040000	0.013436	0.000655
6.120000	0.014297	0.000675
6.200000	0.012415	0.000629
6.280000	0.012446	0.000630
6.360000	0.013308	0.000652
6.440000	0.013468	0.000656
6.520000	0.012798	0.000639
6.600000	0.013914	0.000666
6.680000	0.013308	0.000652
6.760000	0.013404	0.000654
6.840000	0.012798	0.000639
6.920000	0.013532	0.000657
7.000000	0.012893	0.000641
7.080000	0.013563	0.000658
7.160000	0.012478	0.000631
7.240000	0.012191	0.000624
7.320000	0.014266	0.000675
7.400000	0.013723	0.000662
7.480000	0.013404	0.000654
7.560000	0.012702	0.000637
7.640000	0.012798	0.000639
7.720000	0.012000	0.000619
7.800000	0.012861	0.000641
7.880000	0.013723	0.000662
7.960000	0.012095	0.000621
8.040000	0.012319	0.000627
8.120000	0.012319	0.000627
8.200000	0.011968	0.000618
8.280000	0.011106	0.000595
8.360000	0.012829	0.000640
8.440000	0.013500	0.000656
8.520000	0.011712	0.000611
8.600000	0.013117	0.000647
8.680000	0.010755	0.000586
8.760000	0.012925	0.000642
8.840000	0.011872	0.000616
8.920000	0.012287	0.000626
9.000000	0.013053	0.000645
9.080000	0.012383	0.000629
9.160000	0.011617	0.000609
9.240000	0.011712	0.000611
9.320000	0.010883	0.000589
9.400000	0.012510	0.000632
9.480000	0.012957	0.000643
9.560000	0.011361	0.000602
9.640000	0.012734	0.000637
9.720000	0.011776	0.000613
9.800000	0.011776	0.000613
9.880000	0.012510	0.000632
9.960000	0.011585	0.000608
10.040000	0.012702	0.000637
10.120000	0.012032	0.000620
10.200000	0.011872	0.000616
10.280000	0.012478	0.000631
10.360000	0.011968	0.000618
10.440000	0.012095	0.000621
10.520000	0.011298	0.000600
10.600000	0.012702	0.000637
10.680000	0.011808	0.000614
10.760000	0.011329	0.000601
10.840000	0.012446	0.000630
10.920000	0.011712	0.000611
11.000000	0.012159	0.000623
11.080000	0.010564	0.000581
11.160000	0.011234	0.000599
11.240000	0.011298	0.000600
11.320000	0.011649	0.000610
11.400000	0.011425	0.000604
11.480000	0.011457	0.000605
11.560000	0.011872	0.000616
11.640000	0.011617	0.000609
11.720000	0.011712	0.000611
11.800000	0.010819	0.000588
11.880000	0.011106	0.000595
11.960000	0.010883	0.000589
12.040000	0.012191	0.000624
12.120000	0.011521	0.000606
12.200000	0.011617	0.000609
12.280000	0.010851	0.000588
12.360000	0.010627	0.000582
12.440000	0.010468	0.000578
12.520000	0.011457	0.000605
12.600000	0.011521	0.000606
12.680000	0.011329	0.000601
12.760000	0.011393	0.000603
12.840000	0.010819	0.000588
12.920000	0.011361	0.000602
13.000000	0.010691	0.000584
13.080000	0.011042	0.000594
13.160000	0.010723	0.000585
13.240000	0.010564	0.000581
13.320000	0.010404	0.000576
13.400000	0.010181	0.000570
13.480000	0.011202	0.000598
13.560000	0.010595	0.000582
13.640000	0.010915	0.000590
13.720000	0.010755	0.000586
13.800000	0.010627	0.000582
13.880000	0.011074	0.000594
13.960000	0.011712	0.000611
14.040000	0.010723	0.000585
14.120000	0.009606	0.000554
14.200000	0.010691	0.000584
14.280000	0.010340	0.000574
14.360000	0.010053	0.000566
14.440000	0.010244	0.000572
14.520000	0.010308	0.000574
14.600000	0.009989	0.000565
14.680000	0.010755	0.000586
14.760000	0.010723	0.000585
14.840000	0.010436	0.000577
14.920000	0.011042	0.000594
15.000000	0.010627	0.000582
15.080000	0.010212	0.000571
15.160000	0.010723	0.000585
15.240000	0.010691	0.000584
15.320000	0.010053	0.000566
15.400000	0.011042	0.000594
15.480000	0.009574	0.000553
15.560000	0.010085	0.000567
15.640000	0.009734	0.000557
15.720000	0.010244	0.000572
15.800000	0.009925	0.000563
15.880000	0.010787	0.000587
15.960000	0.010532	0.000580
16.040000	0.010212	0.000571
16.120000	0.010500	0.000579
16.200000	0.009702	0.000556
16.280000	0.010181	0.000570
16.360000	0.009702	0.000556
16.440000	0.010595	0.000582
16.520000	0.009447	0.000549
16.600000	0.011521	0.000606
16.680000	0.010468	0.000578
16.760000	0.009861	0.000561
16.840000	0.009383	0.000547
16.920000	0.009319	0.000545
17.000000	0.009702	0.000556
17.080000	0.009702	0.000556
17.160000	0.009351	0.000546
17.240000	0.008968	0.000535
17.320000	0.009574	0.000553
17.400000	0.009893	0.000562
17.480000	0.009000	0.000536
17.560000	0.009255	0.000543
17.640000	0.010532	0.000580
17.720000	0.010021	0.000566
17.800000	0.009064	0.000538
17.880000	0.010436	0.000577
17.960000	0.009319	0.000545
18.040000	0.009638	0.000555
18.120000	0.008713	0.000527
18.200000	0.009957	0.000564
18.280000	0.008553	0.000522
18.360000	0.010053	0.000566
18.440000	0.009127	0.000540
18.520000	0.009670	0.000556
18.600000	0.009989	0.000565
18.680000	0.010085	0.000567
18.760000	0.009127	0.000540
18.840000	0.009989	0.000565
18.920000	0.009989	0.000565
19.000000	0.009095	0.000539
19.080000	0.009095	0.000539
19.160000	0.009670	0.000556
19.240000	0.009415	0.000548
19.320000	0.009319	0.000545
19.400000	0.009478	0.000550
19.480000	0.008776	0.000529
19.560000	0.010053	0.000566
19.640000	0.009032	0.000537
19.720000	0.009000	0.000536
19.800000	0.008330	0.000516
19.880000	0.009670	0.000556
19.960000	0.008649	0.000525
pbar dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.030988	0.000994
0.120000	0.086997	0.001666
0.200000	0.120922	0.001964
0.280000	0.123826	0.001988
0.360000	0.114922	0.001915
0.440000	0.101040	0.001796
0.520000	0.082434	0.001622
0.600000	0.064753	0.001438
0.680000	0.052147	0.001290
0.760000	0.041201	0.001147
0.840000	0.035871	0.001070
0.920000	0.029840	0.000976
1.000000	0.024669	0.000887
1.080000	0.022404	0.000846
1.160000	0.019787	0.000795
1.240000	0.017329	0.000744
1.320000	0.016180	0.000719
1.400000	0.014872	0.000689
1.480000	0.013691	0.000661
1.560000	0.010819	0.000588
1.640000	0.010978	0.000592
1.720000	0.010276	0.000573
1.800000	0.009319	0.000545
1.880000	0.008010	0.000506
1.960000	0.007851	0.000501
2.040000	0.007308	0.000483
2.120000	0.007053	0.000474
2.200000	0.007085	0.000476
2.280000	0.005138	0.000405
2.360000	0.004947	0.000397
2.440000	0.005138	0.000405
2.520000	0.004947	0.000397
2.600000	0.003511	0.000335
2.680000	0.004117	0.000362
2.760000	0.003064	0.000313
2.840000	0.003606	0.000339
2.920000	0.003159	0.000318
3.000000	0.002553	0.000285
3.080000	0.002872	0.000303
3.160000	0.002777	0.000298
3.240000	0.002553	0.000285
3.320000	0.002106	0.000259
3.400000	0.001947	0.000249
3.480000	0.001883	0.000245
3.560000	0.001404	0.000212
3.640000	0.002011	0.000253
3.720000	0.001947	0.000249
3.800000	0.001372	0.000209
3.880000	0.001468	0.000216
3.960000	0.001277	0.000202
4.040000	0.001117	0.000189
4.120000	0.001277	0.000202
4.200000	0.001085	0.000186
4.280000	0.001021	0.000181
4.360000	0.000957	0.000175
4.440000	0.000702	0.000150
4.520000	0.001149	0.000191
4.600000	0.001245	0.000199
4.680000	0.000862	0.000166
4.760000	0.000447	0.000119
4.840000	0.000670	0.000146
4.920000	0.000798	0.000160
5.000000	0.000926	0.000172
5.080000	0.000702	0.000150
5.160000	0.000734	0.000153
5.240000	0.000606	0.000139
5.320000	0.000447	0.000119
5.400000	0.000447	0.000119
5.480000	0.000543	0.000132
5.560000	0.000319	0.000101
5.640000	0.000670	0.000146
5.720000	0.000383	0.000111
5.800000	0.000479	0.000124
5.880000	0.000415	0.000115
5.960000	0.000447	0.000119
6.040000	0.000351	0.000106
6.120000	0.000255	0.000090
6.200000	0.000255	0.000090
6.280000	0.000287	0.000096
6.360000	0.000543	0.000132
6.440000	0.000255	0.000090
6.520000	0.000319	0.000101
6.600000	0.000351	0.000106
6.680000	0.000223	0.000084
6.760000	0.000255	0.000090
6.840000	0.000223	0.000084
6.920000	0.000351	0.000106
7.000000	0.000191	0.000078
7.080000	0.000287	0.000096
7.160000	0.000128	0.000064
7.240000	0.000128	0.000064
7.320000	0.000191	0.000078
7.400000	0.000096	0.000055
7.480000	0.000223	0.000084
7.560000	0.000383	0.000111
7.640000	0.000096	0.000055
7.720000	0.000255	0.000090
7.800000	0.000128	0.000064
7.880000	0.000096	0.000055
7.960000	0.000128	0.000064
8.040000	0.000191	0.000078
8.120000	0.000160	0.000071
8.200000	0.000000	0.000000
8.280000	0.000096	0.000055
8.360000	0.000191	0.000078
8.440000	0.000223	0.000084
8.520000	0.000064	0.000045
8.600000	0.000096	0.000055
8.680000	0.000128	0.000064
8.760000	0.000160	0.000071
8.840000	0.000064	0.000045
8.920000	0.000287	0.000096
9.000000	0.000223	0.000084
9.080000	0.000160	0.000071
9.160000	0.000160	0.000071
9.240000	0.000160	0.000071
9.320000	0.000000	0.000000
9.400000	0.000128	0.000064
9.480000	0.000160	0.000071
9.560000	0.000160	0.000071
9.640000	0.000191	0.000078
9.720000	0.000032	0.000032
9.800000	0.000096	0.000055
9.880000	0.000160	0.000071
9.960000	0.000064	0.000045
10.040000	0.000096	0.000055
10.120000	0.000128	0.000064
10.200000	0.000128	0.000064
10.280000	0.000191	0.000078
10.360000	0.000128	0.000064
10.440000	0.000032	0.000032
10.520000	0.000160	0.000071
10.600000	0.000032	0.000032
10.680000	0.000032	0.000032
10.760000	0.000160	0.000071
10.840000	0.000032	0.000032
10.920000	0.000160	0.000071
11.000000	0.000064	0.000045
11.080000	0.000096	0.000055
11.160000	0.000064	0.000045
11.240000	0.000191	0.000078
11.320000	0.000064	0.000045
