d+Au 200 GeV pion background:
all background:
pt[GeV/c]	background[%]	error
0.21	16.46	 0.29
0.23	15.36	 0.28
0.25	14.54	 0.27
0.27	13.54	 0.26
0.29	12.78	 0.26
0.31	12.66	 0.27
0.33	12.03	 0.26
0.35	11.30	 0.26
0.37	11.20	 0.27
0.39	10.83	 0.27
0.41	10.51	 0.27
0.43	 9.52	 0.27
0.45	 9.29	 0.27
0.47	 8.92	 0.28
0.49	 9.26	 0.29
0.51	 9.01	 0.30
0.53	 7.65	 0.28
0.55	 8.44	 0.31
0.57	 7.96	 0.32
0.59	 7.52	 0.32
0.61	 7.49	 0.33
0.63	 6.74	 0.33
0.65	 7.25	 0.35
0.67	 7.53	 0.37
0.69	 7.12	 0.38
0.71	 7.77	 0.42
0.73	 5.85	 0.37
0.75	 6.71	 0.42
0.77	 6.54	 0.43
0.79	 6.18	 0.44
0.81	 6.43	 0.47
0.83	 7.15	 0.52
0.85	 7.66	 0.57
0.87	 6.77	 0.56
0.89	 6.06	 0.54
0.91	 6.34	 0.57
0.93	 6.57	 0.62
0.95	 6.71	 0.66
0.97	 6.31	 0.66
0.99	 5.76	 0.64
1.01	 5.69	 0.66
1.03	 5.33	 0.67
1.05	 4.50	 0.63
1.07	 5.48	 0.73
1.09	 5.19	 0.75
1.11	 5.53	 0.80
1.13	 5.78	 0.86
1.15	 6.10	 0.92
1.17	 7.65	 1.06
1.19	 5.09	 0.87
1.21	 5.74	 0.95
1.23	 5.80	 0.99
1.25	 4.51	 0.91
1.27	 5.22	 1.07
1.29	 6.31	 1.17
1.31	 5.69	 1.15
1.33	 3.50	 0.92
1.35	 7.07	 1.38
1.37	 5.65	 1.30
1.39	 4.97	 1.20
1.41	 5.83	 1.31
1.43	 4.56	 1.20
1.45	 4.62	 1.22
1.47	 5.12	 1.36
1.49	 3.21	 1.09
1.51	 2.17	 0.90
1.53	 4.63	 1.37
1.55	 8.84	 1.97
1.57	 7.08	 1.89
1.59	 4.37	 1.58
1.61	 6.08	 1.89
1.63	 4.79	 1.63
