Au+Au 62.4 GeV:
Npart	error	Bj_energy_density*tau[GeV/fm^2]	error
 15.3	2.4	0.86	0.12
 27.8	3.7	1.17	0.14
 47.9	4.7	1.51	0.15
 76.3	5.2	1.88	0.16
114.3	5.1	2.29	0.18
164.1	5.4	2.75	0.19
229.8	4.6	3.09	0.22
293.9	4.2	3.42	0.23
346.5	2.8	3.59	0.25
Au+Au 130 GeV:
Npart	error	Bj_energy_density*tau[GeV/fm^2]	error
 22.6	5.1	1.47	0.27
 61.0	7.8	2.02	0.22
100.9	8.4	2.52	0.22
141.9	8.4	3.00	0.25
187.7	7.5	3.36	0.25
237.8	6.8	3.71	0.28
289.0	5.4	3.89	0.26
344.3	3.1	4.27	0.29
Au+Au 200 GeV:
Npart	error	Bj_energy_density*tau[GeV/fm^2]	error
 15.7	2.6	1.22	0.17
 28.8	3.7	1.63	0.18
 49.3	4.7	2.05	0.19
 78.3	5.3	2.49	0.20
117.1	5.2	3.00	0.23
167.6	5.4	3.63	0.27
234.3	4.6	4.15	0.30
298.6	4.1	4.69	0.34
350.6	2.4	5.13	0.38
