Optical Glauber:
b[fm]	dsigma/db[barn/fm]
0.010000	0.000628
0.030000	0.001885
0.050000	0.003142
0.070000	0.004398
0.090000	0.005655
0.110000	0.006912
0.130000	0.008168
0.150000	0.009425
0.170000	0.010681
0.190000	0.011938
0.210000	0.013195
0.230000	0.014451
0.250000	0.015708
0.270000	0.016965
0.290000	0.018221
0.310000	0.019478
0.330000	0.020735
0.350000	0.021991
0.370000	0.023248
0.390000	0.024504
0.410000	0.025761
0.430000	0.027018
0.450000	0.028274
0.470000	0.029531
0.490000	0.030788
0.510000	0.032044
0.530000	0.033301
0.550000	0.034558
0.570000	0.035814
0.590000	0.037071
0.610000	0.038327
0.630000	0.039584
0.650000	0.040841
0.670000	0.042097
0.690000	0.043354
0.710000	0.044611
0.730000	0.045867
0.750000	0.047124
0.770000	0.048381
0.790000	0.049637
0.810000	0.050894
0.830000	0.052150
0.850000	0.053407
0.870000	0.054664
0.890000	0.055920
0.910000	0.057177
0.930000	0.058434
0.950000	0.059690
0.970000	0.060947
0.990000	0.062204
1.010000	0.063460
1.030000	0.064717
1.050000	0.065973
1.070000	0.067230
1.090000	0.068487
1.110000	0.069743
1.130000	0.071000
1.150000	0.072257
1.170000	0.073513
1.190000	0.074770
1.210000	0.076027
1.230000	0.077283
1.250000	0.078540
1.270000	0.079796
1.290000	0.081053
1.310000	0.082310
1.330000	0.083566
1.350000	0.084823
1.370000	0.086080
1.390000	0.087336
1.410000	0.088593
1.430000	0.089850
1.450000	0.091106
1.470000	0.092363
1.490000	0.093619
1.510000	0.094876
1.530000	0.096133
1.550000	0.097389
1.570000	0.098646
1.590000	0.099903
1.610000	0.101159
1.630000	0.102416
1.650000	0.103673
1.670000	0.104929
1.690000	0.106186
1.710000	0.107442
1.730000	0.108699
1.750000	0.109956
1.770000	0.111212
1.790000	0.112469
1.810000	0.113726
1.830000	0.114982
1.850000	0.116239
1.870000	0.117496
1.890000	0.118752
1.910000	0.120009
1.930000	0.121265
1.950000	0.122522
1.970000	0.123779
1.990000	0.125035
2.010000	0.126292
2.030000	0.127549
2.050000	0.128805
2.070000	0.130062
2.090000	0.131319
2.110000	0.132575
2.130000	0.133832
2.150000	0.135088
2.170000	0.136345
2.190000	0.137602
2.210000	0.138858
2.230000	0.140115
2.250000	0.141372
2.270000	0.142628
2.290000	0.143885
2.310000	0.145142
2.330000	0.146398
2.350000	0.147655
2.370000	0.148911
2.390000	0.150168
2.410000	0.151425
2.430000	0.152681
2.450000	0.153938
2.470000	0.155195
2.490000	0.156451
2.510000	0.157708
2.530000	0.158965
2.550000	0.160221
2.570000	0.161478
2.590000	0.162735
2.610000	0.163991
2.630000	0.165248
2.650000	0.166504
2.670000	0.167761
2.690000	0.169018
2.710000	0.170274
2.730000	0.171531
2.750000	0.172788
2.770000	0.174044
2.790000	0.175301
2.810000	0.176558
2.830000	0.177814
2.850000	0.179071
2.870000	0.180327
2.890000	0.181584
2.910000	0.182841
2.930000	0.184097
2.950000	0.185354
2.970000	0.186611
2.990000	0.187867
3.010000	0.189124
3.030000	0.190381
3.050000	0.191637
3.070000	0.192894
3.090000	0.194150
3.110000	0.195407
3.130000	0.196664
3.150000	0.197920
3.170000	0.199177
3.190000	0.200434
3.210000	0.201690
3.230000	0.202947
3.250000	0.204204
3.270000	0.205460
3.290000	0.206717
3.310000	0.207973
3.330000	0.209230
3.350000	0.210487
3.370000	0.211743
3.390000	0.213000
3.410000	0.214257
3.430000	0.215513
3.450000	0.216770
3.470000	0.218027
3.490000	0.219283
3.510000	0.220540
3.530000	0.221796
3.550000	0.223053
3.570000	0.224310
3.590000	0.225566
3.610000	0.226823
3.630000	0.228080
3.650000	0.229336
3.670000	0.230593
3.690000	0.231850
3.710000	0.233106
3.730000	0.234363
3.750000	0.235619
3.770000	0.236876
3.790000	0.238133
3.810000	0.239389
3.830000	0.240646
3.850000	0.241903
3.870000	0.243159
3.890000	0.244416
3.910000	0.245673
3.930000	0.246929
3.950000	0.248186
3.970000	0.249442
3.990000	0.250699
4.010000	0.251956
4.030000	0.253212
4.050000	0.254469
4.070000	0.255726
4.090000	0.256982
4.110000	0.258239
4.130000	0.259496
4.150000	0.260752
4.170000	0.262009
4.190000	0.263265
4.210000	0.264522
4.230000	0.265779
4.250000	0.267035
4.270000	0.268292
4.290000	0.269549
4.310000	0.270805
4.330000	0.272062
4.350000	0.273319
4.370000	0.274575
4.390000	0.275832
4.410000	0.277088
4.430000	0.278345
4.450000	0.279602
4.470000	0.280858
4.490000	0.282115
4.510000	0.283372
4.530000	0.284628
4.550000	0.285885
4.570000	0.287142
4.590000	0.288398
4.610000	0.289655
4.630000	0.290911
4.650000	0.292168
4.670000	0.293425
4.690000	0.294681
4.710000	0.295938
4.730000	0.297195
4.750000	0.298451
4.770000	0.299708
4.790000	0.300965
4.810000	0.302221
4.830000	0.303478
4.850000	0.304734
4.870000	0.305991
4.890000	0.307248
4.910000	0.308504
4.930000	0.309761
4.950000	0.311018
4.970000	0.312274
4.990000	0.313531
5.010000	0.314788
5.030000	0.316044
5.050000	0.317301
5.070000	0.318557
5.090000	0.319814
5.110000	0.321071
5.130000	0.322327
5.150000	0.323584
5.170000	0.324841
5.190000	0.326097
5.210000	0.327354
5.230000	0.328611
5.250000	0.329867
5.270000	0.331124
5.290000	0.332381
5.310000	0.333637
5.330000	0.334894
5.350000	0.336150
5.370000	0.337407
5.390000	0.338664
5.410000	0.339920
5.430000	0.341177
5.450000	0.342434
5.470000	0.343690
5.490000	0.344947
5.510000	0.346204
5.530000	0.347460
5.550000	0.348717
5.570000	0.349973
5.590000	0.351230
5.610000	0.352487
5.630000	0.353743
5.650000	0.355000
5.670000	0.356257
5.690000	0.357513
5.710000	0.358770
5.730000	0.360027
5.750000	0.361283
5.770000	0.362540
5.790000	0.363796
5.810000	0.365053
5.830000	0.366310
5.850000	0.367566
5.870000	0.368823
5.890000	0.370080
5.910000	0.371336
5.930000	0.372593
5.950000	0.373850
5.970000	0.375106
5.990000	0.376363
6.010000	0.377619
6.030000	0.378876
6.050000	0.380133
6.070000	0.381389
6.090000	0.382646
6.110000	0.383903
6.130000	0.385159
6.150000	0.386416
6.170000	0.387673
6.190000	0.388929
6.210000	0.390186
6.230000	0.391442
6.250000	0.392699
6.270000	0.393956
6.290000	0.395212
6.310000	0.396469
6.330000	0.397726
6.350000	0.398982
6.370000	0.400239
6.390000	0.401496
6.410000	0.402752
6.430000	0.404009
6.450000	0.405265
6.470000	0.406522
6.490000	0.407779
6.510000	0.409035
6.530000	0.410292
6.550000	0.411549
6.570000	0.412805
6.590000	0.414062
6.610000	0.415319
6.630000	0.416575
6.650000	0.417832
6.670000	0.419088
6.690000	0.420345
6.710000	0.421602
6.730000	0.422858
6.750000	0.424115
6.770000	0.425372
6.790000	0.426628
6.810000	0.427885
6.830000	0.429142
6.850000	0.430398
6.870000	0.431655
6.890000	0.432911
6.910000	0.434168
6.930000	0.435425
6.950000	0.436681
6.970000	0.437938
6.990000	0.439195
7.010000	0.440451
7.030000	0.441708
7.050000	0.442965
7.070000	0.444221
7.090000	0.445478
7.110000	0.446734
7.130000	0.447991
7.150000	0.449248
7.170000	0.450504
7.190000	0.451761
7.210000	0.453018
7.230000	0.454274
7.250000	0.455531
7.270000	0.456788
7.290000	0.458044
7.310000	0.459301
7.330000	0.460557
7.350000	0.461814
7.370000	0.463071
7.390000	0.464327
7.410000	0.465584
7.430000	0.466841
7.450000	0.468097
7.470000	0.469354
7.490000	0.470611
7.510000	0.471867
7.530000	0.473124
7.550000	0.474380
7.570000	0.475637
7.590000	0.476894
7.610000	0.478150
7.630000	0.479407
7.650000	0.480664
7.670000	0.481920
7.690000	0.483177
7.710000	0.484434
7.730000	0.485690
7.750000	0.486947
7.770000	0.488203
7.790000	0.489460
7.810000	0.490717
7.830000	0.491973
7.850000	0.493230
7.870000	0.494487
7.890000	0.495743
7.910000	0.497000
7.930000	0.498257
7.950000	0.499513
7.970000	0.500770
7.990000	0.502027
8.010000	0.503283
8.030000	0.504540
8.050000	0.505796
8.070000	0.507053
8.090000	0.508310
8.110000	0.509566
8.130000	0.510823
8.150000	0.512080
8.170000	0.513336
8.190000	0.514593
8.210000	0.515850
8.230000	0.517106
8.250000	0.518363
8.270000	0.519619
8.290000	0.520876
8.310000	0.522133
8.330000	0.523389
8.350000	0.524646
8.370000	0.525903
8.390000	0.527159
8.410000	0.528416
8.430000	0.529673
8.450000	0.530929
8.470000	0.532186
8.490000	0.533442
8.510000	0.534699
8.530000	0.535956
8.550000	0.537212
8.570000	0.538469
8.590000	0.539726
8.610000	0.540982
8.630000	0.542239
8.650000	0.543496
8.670000	0.544752
8.690000	0.546009
