Min. bias data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	0.045798	0.000077
1.000000	0.074046	0.000097
2.000000	0.065098	0.000088
3.000000	0.062249	0.000085
4.000000	0.060052	0.000083
5.000000	0.057812	0.000081
6.000000	0.055675	0.000079
7.000000	0.053309	0.000078
8.000000	0.051188	0.000076
9.000000	0.048557	0.000074
10.000000	0.045845	0.000072
11.000000	0.042958	0.000070
12.000000	0.039944	0.000067
13.000000	0.036967	0.000065
14.000000	0.033779	0.000062
15.000000	0.030696	0.000059
16.000000	0.027735	0.000056
17.000000	0.024732	0.000053
18.000000	0.021900	0.000050
19.000000	0.019231	0.000047
20.000000	0.016672	0.000043
21.000000	0.014457	0.000040
22.000000	0.012454	0.000038
23.000000	0.010581	0.000035
24.000000	0.008856	0.000032
25.000000	0.007440	0.000029
26.000000	0.006156	0.000026
27.000000	0.005068	0.000024
28.000000	0.004238	0.000022
29.000000	0.003439	0.000020
30.000000	0.002749	0.000018
31.000000	0.002232	0.000016
32.000000	0.001783	0.000014
33.000000	0.001401	0.000013
34.000000	0.001126	0.000011
35.000000	0.000870	0.000010
36.000000	0.000693	0.000009
37.000000	0.000533	0.000008
38.000000	0.000400	0.000007
39.000000	0.000316	0.000006
40.000000	0.000237	0.000005
41.000000	0.000180	0.000005
42.000000	0.000132	0.000004
43.000000	0.000108	0.000004
44.000000	0.000080	0.000003
45.000000	0.000056	0.000003
46.000000	0.000047	0.000002
47.000000	0.000035	0.000002
48.000000	0.000025	0.000002
49.000000	0.000017	0.000001
50.000000	0.000011	0.000001
51.000000	0.000008	0.000001
52.000000	0.000007	0.000001
53.000000	0.000006	0.000001
54.000000	0.000004	0.000001
55.000000	0.000004	0.000001
56.000000	0.000002	0.000000
57.000000	0.000002	0.000000
58.000000	0.000001	0.000000
59.000000	0.000001	0.000000
60.000000	0.000000	0.000000
61.000000	0.000001	0.000000
62.000000	0.000000	0.000000
63.000000	0.000000	0.000000
64.000000	0.000000	0.000000
65.000000	0.000000	0.000000
66.000000	0.000000	0.000000
67.000000	0.000000	0.000000
68.000000	0.000000	0.000000
69.000000	0.000000	0.000000
70.000000	0.000000	0.000000
71.000000	0.000000	0.000000
72.000000	0.000000	0.000000
73.000000	0.000000	0.000000
74.000000	0.000000	0.000000
75.000000	0.000000	0.000000
76.000000	0.000000	0.000000
77.000000	0.000000	0.000000
78.000000	0.000000	0.000000
79.000000	0.000000	0.000000
80.000000	0.000000	0.000000
81.000000	0.000000	0.000000
82.000000	0.000000	0.000000
83.000000	0.000000	0.000000
84.000000	0.000000	0.000000
85.000000	0.000000	0.000000
86.000000	0.000000	0.000000
87.000000	0.000000	0.000000
88.000000	0.000000	0.000000
89.000000	0.000000	0.000000
90.000000	0.000000	0.000000
91.000000	0.000000	0.000000
92.000000	0.000000	0.000000
93.000000	0.000000	0.000000
94.000000	0.000000	0.000000
95.000000	0.000000	0.000000
96.000000	0.000000	0.000000
97.000000	0.000000	0.000000
98.000000	0.000000	0.000000
99.000000	0.000000	0.000000
0-20% data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	0.000206	0.000005
1.000000	0.000502	0.000008
2.000000	0.000744	0.000009
3.000000	0.001120	0.000011
4.000000	0.001727	0.000014
5.000000	0.002535	0.000017
6.000000	0.003564	0.000020
7.000000	0.004725	0.000023
8.000000	0.006002	0.000026
9.000000	0.007334	0.000029
10.000000	0.008502	0.000031
11.000000	0.009528	0.000033
12.000000	0.010414	0.000035
13.000000	0.011176	0.000036
14.000000	0.011536	0.000036
15.000000	0.011687	0.000037
16.000000	0.011699	0.000037
17.000000	0.011312	0.000036
18.000000	0.010860	0.000035
19.000000	0.010216	0.000034
20.000000	0.009405	0.000033
21.000000	0.008623	0.000032
22.000000	0.007805	0.000030
23.000000	0.006950	0.000028
24.000000	0.006031	0.000026
25.000000	0.005245	0.000025
26.000000	0.004501	0.000023
27.000000	0.003798	0.000021
28.000000	0.003277	0.000019
29.000000	0.002722	0.000018
30.000000	0.002202	0.000016
31.000000	0.001834	0.000015
32.000000	0.001496	0.000013
33.000000	0.001189	0.000012
34.000000	0.000969	0.000011
35.000000	0.000757	0.000009
36.000000	0.000616	0.000008
37.000000	0.000481	0.000007
38.000000	0.000359	0.000006
39.000000	0.000284	0.000006
40.000000	0.000218	0.000005
41.000000	0.000167	0.000004
42.000000	0.000122	0.000004
43.000000	0.000103	0.000003
44.000000	0.000076	0.000003
45.000000	0.000052	0.000002
46.000000	0.000045	0.000002
47.000000	0.000033	0.000002
48.000000	0.000024	0.000002
49.000000	0.000016	0.000001
50.000000	0.000011	0.000001
51.000000	0.000008	0.000001
52.000000	0.000007	0.000001
53.000000	0.000005	0.000001
54.000000	0.000003	0.000001
55.000000	0.000004	0.000001
56.000000	0.000002	0.000000
57.000000	0.000001	0.000000
58.000000	0.000001	0.000000
59.000000	0.000001	0.000000
60.000000	0.000000	0.000000
61.000000	0.000001	0.000000
62.000000	0.000000	0.000000
63.000000	0.000000	0.000000
64.000000	0.000000	0.000000
65.000000	0.000000	0.000000
66.000000	0.000000	0.000000
67.000000	0.000000	0.000000
68.000000	0.000000	0.000000
69.000000	0.000000	0.000000
70.000000	0.000000	0.000000
71.000000	0.000000	0.000000
72.000000	0.000000	0.000000
73.000000	0.000000	0.000000
74.000000	0.000000	0.000000
75.000000	0.000000	0.000000
76.000000	0.000000	0.000000
77.000000	0.000000	0.000000
78.000000	0.000000	0.000000
79.000000	0.000000	0.000000
80.000000	0.000000	0.000000
81.000000	0.000000	0.000000
82.000000	0.000000	0.000000
83.000000	0.000000	0.000000
84.000000	0.000000	0.000000
85.000000	0.000000	0.000000
86.000000	0.000000	0.000000
87.000000	0.000000	0.000000
88.000000	0.000000	0.000000
89.000000	0.000000	0.000000
90.000000	0.000000	0.000000
91.000000	0.000000	0.000000
92.000000	0.000000	0.000000
93.000000	0.000000	0.000000
94.000000	0.000000	0.000000
95.000000	0.000000	0.000000
96.000000	0.000000	0.000000
97.000000	0.000000	0.000000
98.000000	0.000000	0.000000
99.000000	0.000000	0.000000
20-40% data:
N{{ch}^{raw}(|eta|<0.5)	dN_{evt}/dN_{ch}^{raw}/N_{evt}	stat.error
0.000000	0.000676	0.000009
1.000000	0.001966	0.000015
2.000000	0.003522	0.000020
3.000000	0.005499	0.000025
4.000000	0.007685	0.000030
5.000000	0.009807	0.000034
6.000000	0.011844	0.000037
7.000000	0.013493	0.000039
8.000000	0.014800	0.000041
9.000000	0.015546	0.000042
10.000000	0.015721	0.000043
11.000000	0.015579	0.000042
12.000000	0.014944	0.000042
13.000000	0.013993	0.000040
14.000000	0.012888	0.000039
15.000000	0.011645	0.000037
16.000000	0.010277	0.000034
17.000000	0.009019	0.000032
18.000000	0.007679	0.000030
19.000000	0.006448	0.000027
20.000000	0.005415	0.000025
21.000000	0.004431	0.000023
22.000000	0.003615	0.000020
23.000000	0.002890	0.000018
24.000000	0.002298	0.000016
25.000000	0.001822	0.000014
26.000000	0.001395	0.000013
27.000000	0.001088	0.000011
28.000000	0.000840	0.000010
29.000000	0.000643	0.000009
30.000000	0.000492	0.000008
31.000000	0.000364	0.000006
32.000000	0.000267	0.000006
33.000000	0.000196	0.000005
34.000000	0.000148	0.000004
35.000000	0.000109	0.000004
36.000000	0.000078	0.000003
37.000000	0.000052	0.000002
38.000000	0.000042	0.000002
39.000000	0.000032	0.000002
40.000000	0.000021	0.000002
41.000000	0.000014	0.000001
42.000000	0.000011	0.000001
43.000000	0.000006	0.000001
44.000000	0.000004	0.000001
45.000000	0.000004	0.000001
46.000000	0.000002	0.000001
47.000000	0.000002	0.000001
48.000000	0.000002	0.000000
49.000000	0.000000	0.000000
50.000000	0.000000	0.000000
51.000000	0.000000	0.000000
52.000000	0.000000	0.000000
