pp collisions 200 GeV vertex finding efficiency:
Nprim	Efficiency	error
0.000000	0.000000	0.075295
1.000000	0.666813	0.058032
2.000000	0.755624	0.049696
3.000000	0.815925	0.043131
4.000000	0.852787	0.038573
5.000000	0.877172	0.035235
6.000000	0.895778	0.032459
7.000000	0.910199	0.030131
8.000000	0.922469	0.027999
9.000000	0.931426	0.026333
10.000000	0.940758	0.024477
11.000000	0.944740	0.023642
12.000000	0.949022	0.022710
13.000000	0.949922	0.022510
14.000000	0.953335	0.021732
15.000000	0.954447	0.021473
16.000000	0.951886	0.022073
17.000000	0.951269	0.022217
18.000000	0.951826	0.022095
19.000000	0.953817	0.021637
20.000000	0.948868	0.022773
21.000000	0.943372	0.023976
22.000000	0.939686	0.024752
23.000000	0.951125	0.022295
24.000000	0.950179	0.022519
25.000000	0.953167	0.021839
26.000000	0.943012	0.024128
27.000000	0.942460	0.024238
28.000000	0.918529	0.028909
29.000000	0.957309	0.020912
30.000000	0.938720	0.025095
31.000000	0.940722	0.024849
32.000000	0.948058	0.023254
33.000000	0.980481	0.014379
34.000000	0.941229	0.024606
35.000000	0.943286	0.024366
36.000000	0.902507	0.032331
37.000000	0.933972	0.027402
38.000000	0.995493	0.007945
39.000000	0.989566	0.010621
40.000000	0.928146	0.030545
41.000000	0.995873	0.010698
42.000000	0.950622	0.024778
43.000000	0.957828	0.021814
44.000000	0.000000	0.000000
45.000000	0.000000	0.000000
46.000000	0.964025	0.024746
47.000000	0.000000	0.000000
48.000000	0.000000	0.000000
49.000000	1.000000	0.014433
50.000000	1.000000	0.014358
51.000000	0.000000	0.000000
52.000000	0.000000	0.000000
53.000000	0.982961	0.019558
54.000000	0.000000	0.000000
55.000000	0.000000	0.000000
56.000000	0.000000	0.000000
57.000000	0.000000	0.000000
58.000000	0.000000	0.000000
59.000000	0.000000	0.000000
60.000000	0.000000	0.000000
61.000000	0.000000	0.000000
62.000000	0.000000	0.000000
63.000000	0.000000	0.000000
64.000000	0.000000	0.000000
65.000000	0.000000	0.000000
66.000000	0.000000	0.000000
67.000000	0.000000	0.000000
68.000000	0.000000	0.000000
69.000000	0.000000	0.000000
70.000000	0.000000	0.000000
71.000000	0.000000	0.000000
72.000000	0.000000	0.000000
73.000000	0.000000	0.000000
74.000000	0.000000	0.000000
75.000000	0.000000	0.000000
76.000000	0.000000	0.000000
77.000000	0.000000	0.000000
78.000000	0.000000	0.000000
79.000000	0.000000	0.000000
80.000000	0.000000	0.000000
81.000000	0.000000	0.000000
82.000000	0.000000	0.000000
83.000000	0.000000	0.000000
84.000000	0.000000	0.000000
85.000000	0.000000	0.000000
86.000000	0.000000	0.000000
87.000000	0.000000	0.000000
88.000000	0.000000	0.000000
89.000000	0.000000	0.000000
90.000000	0.000000	0.000000
91.000000	0.000000	0.000000
92.000000	0.000000	0.000000
93.000000	0.000000	0.000000
94.000000	0.000000	0.000000
95.000000	0.000000	0.000000
96.000000	0.000000	0.000000
97.000000	0.000000	0.000000
