pp MB collisions fake vertex correction:
pt[GeV/c]	correction	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	1.041318	0.004160
0.225000	1.034371	0.003730
0.275000	1.037215	0.003696
0.325000	1.037940	0.003775
0.375000	1.033408	0.003999
0.425000	1.033721	0.004270
0.475000	1.032314	0.004606
0.525000	1.030567	0.005023
0.575000	1.025002	0.005507
0.625000	1.022679	0.006071
0.675000	1.020689	0.006715
0.725000	1.014818	0.007493
0.775000	1.009620	0.008288
0.825000	1.006285	0.009259
0.875000	1.005331	0.010146
0.925000	0.999774	0.011388
0.975000	0.997827	0.012522
1.025000	0.991117	0.013809
1.075000	0.990010	0.015142
1.125000	0.993248	0.016529
1.175000	0.989993	0.017957
1.225000	0.989273	0.019402
1.275000	0.969718	0.021367
1.325000	0.967379	0.023018
1.375000	0.964147	0.024800
1.425000	0.947178	0.027212
1.475000	0.942217	0.030011
1.525000	0.950140	0.030509
1.575000	0.941870	0.032712
1.625000	0.932975	0.035750
1.675000	0.920705	0.037692
1.725000	0.950435	0.040056
1.775000	0.920437	0.042741
1.825000	0.900924	0.046479
1.875000	0.919353	0.048993
1.925000	0.892290	0.054834
1.975000	0.909577	0.054339
d+Au MB collisions fake vertex correction:
pt[GeV/c]	correction	error
0.050000	0.000000	0.000000
0.100000	0.000000	0.000000
0.150000	1.025956	0.002993
0.200000	1.024359	0.002517
0.250000	1.022533	0.002530
0.300000	1.021758	0.002625
0.350000	1.019481	0.002737
0.400000	1.018328	0.002909
0.450000	1.016460	0.003138
0.500000	1.015017	0.003396
0.550000	1.014076	0.003696
0.600000	1.012350	0.004026
0.650000	1.011059	0.004427
0.700000	1.011430	0.004899
0.750000	1.009072	0.005355
0.800000	1.006769	0.005959
0.850000	1.007872	0.006519
0.900000	1.006226	0.007220
0.950000	1.009467	0.007986
1.000000	1.008656	0.008825
1.050000	1.008967	0.009586
1.100000	1.006670	0.010387
1.150000	1.008406	0.011245
1.200000	1.009806	0.012318
1.250000	1.004763	0.013408
1.300000	1.014657	0.014435
1.350000	1.014780	0.015538
1.400000	1.012302	0.016743
1.450000	1.003382	0.017689
1.500000	0.996396	0.018702
1.550000	0.995753	0.020214
1.600000	0.995886	0.021246
1.650000	0.994212	0.022853
1.700000	0.989446	0.024159
1.750000	0.998120	0.025859
1.800000	0.983510	0.026780
1.850000	0.991266	0.028376
1.900000	0.970901	0.030545
1.950000	0.987277	0.032247
2.000000	0.973209	0.032718
2.050000	0.983612	0.034867
2.100000	0.943829	0.035405
2.150000	0.960824	0.039758
2.200000	0.973216	0.040271
2.250000	0.962963	0.045547
2.300000	0.964869	0.041924
2.350000	0.995695	0.050654
2.400000	1.009679	0.053553
2.450000	1.008003	0.053787
2.500000	0.984069	0.058153
2.550000	0.984684	0.057787
2.600000	0.997863	0.066905
2.650000	0.976723	0.064850
2.700000	1.012995	0.069371
2.750000	1.026816	0.077676
2.800000	0.963536	0.078585
2.850000	1.017351	0.091455
2.900000	1.025720	0.090929
2.950000	1.008828	0.091434
3.000000	1.025672	0.091465
3.050000	1.029758	0.104288
3.100000	1.013413	0.104668
3.150000	0.986071	0.109759
3.200000	1.021650	0.128462
3.250000	1.029758	0.136997
3.300000	0.937541	0.117322
3.350000	0.971744	0.117033
3.400000	1.029758	0.138853
3.450000	1.029758	0.136395
3.500000	1.010144	0.140088
3.550000	1.029758	0.156132
3.600000	1.029758	0.151830
3.650000	1.029758	0.172831
3.700000	0.936144	0.182924
3.750000	1.029758	0.183476
3.800000	1.029758	0.165961
3.850000	1.029758	0.169291
3.900000	1.029758	0.280265
3.950000	1.029758	0.217092
4.000000	1.029758	0.265882
4.050000	1.029758	0.224712
4.100000	1.029758	0.242716
4.150000	1.029758	0.317790
4.200000	1.029758	0.239414
4.250000	1.029758	0.236243
4.300000	1.029758	0.242716
4.350000	1.029758	0.285603
4.400000	1.029758	0.257440
4.450000	1.029758	0.728149
4.500000	0.972549	0.189900
4.550000	0.643599	0.164086
4.600000	1.029758	0.265882
4.650000	1.029758	0.334098
4.700000	1.029758	0.239414
4.750000	1.029758	0.325638
4.800000	1.029758	0.514879
4.850000	0.926782	0.301105
4.900000	1.029758	0.550429
4.950000	1.029758	0.343253
5.000000	0.686505	0.255845
5.050000	1.029758	0.420397
5.100000	1.029758	0.420397
5.150000	1.029758	0.353204
5.200000	1.029758	0.343253
5.250000	1.029758	0.353204
5.300000	1.029758	0.389212
5.350000	1.029758	0.420397
5.400000	1.029758	1.029758
5.450000	1.029758	0.594531
5.500000	1.029758	0.651276
5.550000	1.029758	0.728149
5.600000	1.029758	0.485433
5.650000	0.617855	0.451217
5.700000	1.029758	0.840794
5.750000	1.029758	0.460522
5.800000	1.029758	0.310484
5.850000	1.029758	0.840794
5.900000	1.029758	1.029758
5.950000	1.029758	0.651276
6.000000	1.029758	0.485433
6.050000	1.029758	0.651276
6.100000	1.029758	1.456298
6.150000	1.029758	0.728149
6.200000	1.029758	0.550429
6.250000	1.029758	0.403904
6.300000	1.029758	0.651276
6.350000	1.029758	0.651276
6.400000	1.029758	1.029758
6.450000	0.000000	0.000000
6.500000	0.000000	0.000000
6.550000	1.029758	1.029758
6.600000	1.029758	0.594531
6.650000	0.772319	0.589868
6.700000	1.029758	0.439090
6.750000	0.772319	0.589868
