pp 200 GeV MB efficiencies:
pi- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.202368	0.004660
0.175000	0.730527	0.004880
0.225000	0.792242	0.004333
0.275000	0.819662	0.004223
0.325000	0.835215	0.004353
0.375000	0.844037	0.004563
0.425000	0.859774	0.004809
0.475000	0.868253	0.005115
0.525000	0.869294	0.005676
0.575000	0.890137	0.005859
0.625000	0.883761	0.006687
0.675000	0.878115	0.007614
0.725000	0.889417	0.008169
0.775000	0.881399	0.009444
0.825000	0.896008	0.009893
0.875000	0.895332	0.011513
0.925000	0.860825	0.014348
0.975000	0.902240	0.013403
1.025000	0.872000	0.017252
1.075000	0.878378	0.018998
1.125000	0.863281	0.021472
1.175000	0.904762	0.020256
1.225000	0.883838	0.022771
1.275000	0.901163	0.022756
1.325000	0.857143	0.030343
1.375000	0.880000	0.032496
1.425000	0.831325	0.041103
1.475000	0.930233	0.027471
1.525000	0.873016	0.041948
1.575000	0.894737	0.040649
1.625000	0.920000	0.038367
1.675000	0.861111	0.057638
1.725000	0.891304	0.045892
1.775000	0.958333	0.040789
1.825000	0.904762	0.064056
1.875000	0.888889	0.052378
1.925000	1.000000	0.000000
1.975000	0.944444	0.053990
K- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.025148	0.001722
0.225000	0.207182	0.004329
0.275000	0.354535	0.005254
0.325000	0.460154	0.005848
0.375000	0.516937	0.006285
0.425000	0.552960	0.006886
0.475000	0.619847	0.007341
0.525000	0.620000	0.008173
0.575000	0.661017	0.008868
0.625000	0.658163	0.009897
0.675000	0.614706	0.011327
0.725000	0.708772	0.011834
0.775000	0.689320	0.013518
0.825000	0.687117	0.015028
0.875000	0.724832	0.016796
0.925000	0.677686	0.019373
0.975000	0.704545	0.020590
1.025000	0.675000	0.024187
1.075000	0.679487	0.027125
1.125000	0.700000	0.028641
1.175000	0.766667	0.029187
1.225000	0.720930	0.031876
1.275000	0.666667	0.035944
1.325000	0.807692	0.034174
1.375000	0.742857	0.043706
1.425000	0.428571	0.054319
1.475000	0.812500	0.042088
1.525000	0.846154	0.045457
1.575000	0.937500	0.032062
1.625000	0.777778	0.058794
1.675000	1.000000	0.000000
1.725000	0.714286	0.066607
1.775000	1.000000	0.000000
1.825000	0.846154	0.078733
1.875000	0.857143	0.058321
1.925000	0.666667	0.096225
1.975000	0.875000	0.077951
pbar efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.000000	0.000000
0.225000	0.002770	0.000561
0.275000	0.178571	0.004206
0.325000	0.677749	0.005483
0.375000	0.777506	0.005231
0.425000	0.807882	0.005457
0.475000	0.833747	0.005631
0.525000	0.835329	0.006245
0.575000	0.826087	0.007101
0.625000	0.817241	0.008064
0.675000	0.833333	0.008674
0.725000	0.831967	0.009739
0.775000	0.878307	0.009550
0.825000	0.854167	0.011439
0.875000	0.898649	0.011350
0.925000	0.863248	0.014242
0.975000	0.845361	0.016317
1.025000	0.926829	0.013448
1.075000	0.790698	0.023645
1.125000	0.887097	0.019780
1.175000	0.851852	0.024514
1.225000	0.909091	0.020430
1.275000	0.916667	0.021074
1.325000	0.956522	0.017683
1.375000	0.868421	0.033803
1.425000	0.809524	0.043102
1.475000	0.941176	0.025372
1.525000	0.956522	0.025693
1.575000	1.000000	0.000000
1.625000	0.800000	0.056569
1.675000	0.909091	0.047913
1.725000	1.000000	0.000000
1.775000	1.000000	0.000000
1.825000	0.916667	0.060312
1.875000	0.800000	0.066667
1.925000	0.833333	0.076073
1.975000	0.833333	0.087841
