Au+Au 200 GeV top 70-80% efficiencies:
pi- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.122449	0.027037
0.175000	0.707692	0.039891
0.225000	0.792308	0.035578
0.275000	0.751678	0.035394
0.325000	0.831250	0.029609
0.375000	0.824427	0.033241
0.425000	0.845588	0.030985
0.475000	0.808000	0.035229
0.525000	0.835366	0.028959
0.575000	0.892086	0.026317
0.625000	0.859259	0.029930
0.675000	0.863309	0.029137
0.725000	0.834483	0.030864
0.775000	0.851852	0.030575
0.825000	0.779310	0.034440
0.875000	0.807407	0.033939
0.925000	0.866197	0.028569
0.975000	0.793893	0.035342
1.025000	0.770270	0.034578
1.075000	0.769841	0.037500
1.125000	0.881890	0.028638
1.175000	0.842857	0.030758
1.225000	0.838235	0.031576
1.275000	0.846667	0.029419
1.325000	0.900826	0.027172
1.375000	0.870229	0.029361
1.425000	0.860000	0.028331
1.475000	0.844595	0.029780
1.525000	0.884892	0.027070
1.575000	0.884615	0.028021
1.625000	0.795031	0.031814
1.675000	0.848485	0.031208
1.725000	0.825806	0.030464
1.775000	0.828358	0.032574
1.825000	0.828767	0.031177
1.875000	0.862745	0.027820
1.925000	0.837838	0.030299
1.975000	0.903704	0.025389
K- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.007463	0.007407
0.225000	0.202114	0.031260
0.275000	0.371729	0.041406
0.325000	0.385883	0.040804
0.375000	0.501892	0.042215
0.425000	0.514359	0.041497
0.475000	0.528822	0.044897
0.525000	0.574447	0.042790
0.575000	0.586765	0.041222
0.625000	0.614643	0.042994
0.675000	0.594703	0.041776
0.725000	0.661494	0.041682
0.775000	0.610606	0.044522
0.825000	0.695652	0.039556
0.875000	0.722499	0.039531
0.925000	0.637445	0.042469
0.975000	0.649049	0.040355
1.025000	0.732054	0.039409
1.075000	0.695652	0.041202
1.125000	0.734604	0.040910
1.175000	0.713115	0.040943
1.225000	0.712577	0.036529
1.275000	0.690476	0.039299
1.325000	0.753294	0.037350
1.375000	0.712500	0.040903
1.425000	0.731419	0.041748
1.475000	0.745034	0.035742
1.525000	0.697716	0.040431
1.575000	0.737846	0.039964
1.625000	0.675826	0.041717
1.675000	0.783239	0.037475
1.725000	0.764689	0.038822
1.775000	0.646465	0.043841
1.825000	0.763116	0.035215
1.875000	0.823918	0.032855
1.925000	0.773438	0.036994
1.975000	0.789547	0.034151
pbar efficiency:
pt^MC[GeV/c]	efficiency	error
0.020000	0.000000	0.000000
0.060000	0.000000	0.000000
0.100000	0.000000	0.000000
0.140000	0.000000	0.000000
0.180000	0.000000	0.000000
0.220000	0.000000	0.000000
0.260000	0.015388	0.010714
0.300000	0.323218	0.041820
0.340000	0.768465	0.037766
0.380000	0.871215	0.031217
0.420000	0.843722	0.037317
0.460000	0.869048	0.029550
0.500000	0.885325	0.031356
0.540000	0.847091	0.030116
0.580000	0.824108	0.034468
0.620000	0.903356	0.027569
0.660000	0.857163	0.031052
0.700000	0.846665	0.031123
0.740000	0.811894	0.035405
0.780000	0.823461	0.037017
0.820000	0.813003	0.036030
0.860000	0.894368	0.029989
0.900000	0.803758	0.037142
0.940000	0.920236	0.024256
0.980000	0.830026	0.033503
1.020000	0.808949	0.036621
1.060000	0.839443	0.033222
1.100000	0.886905	0.031899
1.140000	0.857104	0.033098
1.180000	0.764067	0.039279
1.220000	0.841308	0.032720
1.260000	0.880544	0.028524
1.300000	0.816402	0.034379
1.340000	0.918737	0.022337
1.380000	0.793170	0.035831
1.420000	0.772242	0.041801
1.460000	0.813015	0.034487
1.500000	0.831749	0.033273
1.540000	0.871569	0.031439
1.580000	0.917500	0.027809
1.620000	0.805836	0.038289
1.660000	0.820043	0.033182
1.700000	0.842787	0.032392
1.740000	0.840370	0.034478
1.780000	0.788412	0.035697
1.820000	0.895973	0.028186
1.860000	0.795013	0.036659
1.900000	0.883059	0.029478
1.940000	0.802696	0.035652
1.980000	0.794897	0.034806
