Au+Au 200 GeV top 5% efficiencies:
pi- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.081370	0.004846
0.175000	0.546979	0.008854
0.225000	0.645282	0.008443
0.275000	0.664303	0.008291
0.325000	0.669154	0.008297
0.375000	0.700979	0.008135
0.425000	0.697896	0.008325
0.475000	0.700157	0.008119
0.525000	0.703094	0.008289
0.575000	0.708622	0.008060
0.625000	0.712389	0.008047
0.675000	0.713963	0.008124
0.725000	0.725055	0.007897
0.775000	0.727072	0.007908
0.825000	0.721135	0.008099
0.875000	0.732286	0.007771
0.925000	0.734578	0.007854
0.975000	0.744565	0.007798
1.025000	0.734687	0.007927
1.075000	0.758986	0.007662
1.125000	0.734978	0.007849
1.175000	0.742006	0.007747
1.225000	0.741541	0.007749
1.275000	0.759862	0.007558
1.325000	0.751609	0.007750
1.375000	0.757694	0.007712
1.425000	0.767355	0.007471
1.475000	0.758256	0.007666
1.525000	0.769600	0.007533
1.575000	0.764469	0.007465
1.625000	0.752235	0.007714
1.675000	0.751948	0.007624
1.725000	0.766901	0.007395
1.775000	0.771689	0.007323
1.825000	0.784247	0.007258
1.875000	0.769064	0.007420
1.925000	0.770023	0.007547
1.975000	0.775878	0.007419
K- efficiency:
pt^MC[GeV/c]	efficiency	error
0.025000	0.000000	0.000000
0.075000	0.000000	0.000000
0.125000	0.000000	0.000000
0.175000	0.005848	0.001453
0.225000	0.184838	0.007264
0.275000	0.327052	0.008706
0.325000	0.390682	0.009218
0.375000	0.453284	0.009510
0.425000	0.471042	0.009408
0.475000	0.491864	0.009632
0.525000	0.497151	0.009536
0.575000	0.524420	0.009466
0.625000	0.528516	0.009375
0.675000	0.558867	0.009357
0.725000	0.557724	0.009299
0.775000	0.566681	0.009428
0.825000	0.587635	0.009355
0.875000	0.571012	0.009408
0.925000	0.571736	0.009537
0.975000	0.600077	0.009297
1.025000	0.590407	0.009269
1.075000	0.604423	0.009214
1.125000	0.628781	0.009042
1.175000	0.635339	0.009230
1.225000	0.640132	0.009198
1.275000	0.634410	0.009100
1.325000	0.634428	0.009131
1.375000	0.656026	0.008955
1.425000	0.644201	0.009113
1.475000	0.646776	0.009070
1.525000	0.668630	0.008864
1.575000	0.665844	0.008823
1.625000	0.659326	0.008936
1.675000	0.659786	0.009107
1.725000	0.692673	0.008888
1.775000	0.674122	0.008720
1.825000	0.673658	0.008928
1.875000	0.683917	0.008731
1.925000	0.685967	0.008886
1.975000	0.697349	0.008739
pbar efficiency:
pt^MC[GeV/c]	efficiency	error
0.020000	0.000000	0.000000
0.060000	0.000000	0.000000
0.100000	0.000000	0.000000
0.140000	0.000000	0.000000
0.180000	0.000000	0.000000
0.220000	0.000000	0.000000
0.260000	0.019615	0.002760
0.300000	0.270284	0.008503
0.340000	0.686379	0.009518
0.380000	0.762347	0.008743
0.420000	0.796483	0.008435
0.460000	0.798411	0.008170
0.500000	0.809769	0.007947
0.540000	0.807524	0.008152
0.580000	0.793918	0.008290
0.620000	0.772489	0.008374
0.660000	0.760891	0.008688
0.700000	0.768236	0.008533
0.740000	0.755871	0.008737
0.780000	0.764118	0.008868
0.820000	0.752395	0.008713
0.860000	0.751816	0.008900
0.900000	0.767694	0.008603
0.940000	0.767157	0.008730
0.980000	0.768135	0.008593
1.020000	0.770121	0.008510
1.060000	0.748541	0.008812
1.100000	0.770435	0.008573
1.140000	0.756727	0.008901
1.180000	0.763381	0.008684
1.220000	0.772824	0.008563
1.260000	0.760275	0.008754
1.300000	0.755499	0.008794
1.340000	0.758972	0.008648
1.380000	0.778064	0.008657
1.420000	0.777416	0.008424
1.460000	0.756035	0.009004
1.500000	0.765401	0.008734
1.540000	0.747075	0.008827
1.580000	0.758387	0.008881
1.620000	0.766469	0.008651
1.660000	0.766216	0.008595
1.700000	0.766396	0.008719
1.740000	0.769393	0.008583
1.780000	0.765519	0.008734
1.820000	0.764983	0.008743
1.860000	0.766247	0.008569
1.900000	0.780979	0.008462
1.940000	0.799006	0.008247
1.980000	0.779424	0.008394
