proton dca distribution:
dca[cm]	dN/d(dca)[cm^-1]	error
0.040000	0.014074	0.000670
0.120000	0.043148	0.001173
0.200000	0.067658	0.001469
0.280000	0.089774	0.001693
0.360000	0.110007	0.001874
0.440000	0.127432	0.002017
0.520000	0.137422	0.002094
0.600000	0.133975	0.002068
0.680000	0.134485	0.002072
0.760000	0.132124	0.002053
0.840000	0.126220	0.002007
0.920000	0.121911	0.001972
1.000000	0.112497	0.001895
1.080000	0.107550	0.001853
1.160000	0.105125	0.001832
1.240000	0.096157	0.001752
1.320000	0.090955	0.001704
1.400000	0.085274	0.001650
1.480000	0.084668	0.001644
1.560000	0.078093	0.001579
1.640000	0.076849	0.001566
1.720000	0.078508	0.001583
1.800000	0.074551	0.001542
1.880000	0.072221	0.001518
1.960000	0.071104	0.001506
2.040000	0.071072	0.001506
2.120000	0.071966	0.001515
2.200000	0.071264	0.001508
2.280000	0.069764	0.001492
2.360000	0.073274	0.001529
2.440000	0.073274	0.001529
2.520000	0.076657	0.001564
2.600000	0.074455	0.001541
2.680000	0.077008	0.001568
2.760000	0.080327	0.001601
2.840000	0.075700	0.001554
2.920000	0.078221	0.001580
3.000000	0.079019	0.001588
3.080000	0.079019	0.001588
3.160000	0.079689	0.001595
3.240000	0.079625	0.001594
3.320000	0.083008	0.001628
3.400000	0.082657	0.001624
3.480000	0.083806	0.001635
3.560000	0.085625	0.001653
3.640000	0.084987	0.001647
3.720000	0.085019	0.001647
3.800000	0.089997	0.001695
3.880000	0.087955	0.001675
3.960000	0.086072	0.001657
4.040000	0.089263	0.001688
4.120000	0.086263	0.001659
4.200000	0.090317	0.001698
4.280000	0.088976	0.001685
4.360000	0.087349	0.001670
4.440000	0.092487	0.001718
4.520000	0.088402	0.001680
4.600000	0.088242	0.001678
4.680000	0.088306	0.001679
4.760000	0.089359	0.001689
4.840000	0.090508	0.001700
4.920000	0.089742	0.001692
5.000000	0.090572	0.001700
5.080000	0.091753	0.001711
5.160000	0.091274	0.001707
5.240000	0.091114	0.001705
5.320000	0.089136	0.001687
5.400000	0.088593	0.001681
5.480000	0.091497	0.001709
5.560000	0.090891	0.001703
5.640000	0.090923	0.001703
5.720000	0.090763	0.001702
5.800000	0.092327	0.001717
5.880000	0.092806	0.001721
5.960000	0.091051	0.001705
6.040000	0.093444	0.001727
6.120000	0.093189	0.001725
6.200000	0.091880	0.001712
6.280000	0.093157	0.001724
6.360000	0.098359	0.001772
6.440000	0.096827	0.001758
6.520000	0.094274	0.001735
6.600000	0.093955	0.001732
6.680000	0.095997	0.001750
6.760000	0.093061	0.001723
6.840000	0.092168	0.001715
6.920000	0.097561	0.001765
7.000000	0.100369	0.001790
7.080000	0.096125	0.001751
7.160000	0.099923	0.001786
7.240000	0.097689	0.001766
7.320000	0.093731	0.001730
7.400000	0.096316	0.001753
7.480000	0.096316	0.001753
7.560000	0.096284	0.001753
7.640000	0.094433	0.001736
7.720000	0.094944	0.001741
7.800000	0.096955	0.001759
7.880000	0.093572	0.001728
7.960000	0.094338	0.001735
8.040000	0.094465	0.001736
8.120000	0.096093	0.001751
8.200000	0.097784	0.001767
8.280000	0.094689	0.001738
8.360000	0.093859	0.001731
8.440000	0.093380	0.001726
8.520000	0.096476	0.001755
8.600000	0.095455	0.001745
8.680000	0.097338	0.001763
8.760000	0.093891	0.001731
8.840000	0.095327	0.001744
8.920000	0.094593	0.001737
9.000000	0.089423	0.001689
9.080000	0.096125	0.001751
9.160000	0.095327	0.001744
9.240000	0.091019	0.001704
9.320000	0.099827	0.001785
9.400000	0.092136	0.001715
9.480000	0.097816	0.001767
9.560000	0.096540	0.001755
9.640000	0.093668	0.001729
9.720000	0.094402	0.001736
9.800000	0.094976	0.001741
9.880000	0.098838	0.001776
9.960000	0.094242	0.001734
10.040000	0.093572	0.001728
10.120000	0.095614	0.001747
10.200000	0.095678	0.001747
10.280000	0.090604	0.001700
10.360000	0.094561	0.001737
10.440000	0.096572	0.001756
10.520000	0.094848	0.001740
10.600000	0.094370	0.001735
10.680000	0.094880	0.001740
10.760000	0.094274	0.001735
10.840000	0.093029	0.001723
10.920000	0.097050	0.001760
11.000000	0.094561	0.001737
11.080000	0.095104	0.001742
