Data points for pT spectra of K0 short
Au+Au 62.4 GeV


Centrality 0 - 5%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   14.6283			1.46912
0.5	   8.5531			0.30092
0.7	   6.16074			0.136928
0.9	   3.17765			0.0563084
1.1	   1.62651			0.0285319
1.3	   0.774821			0.0145264
1.5	   0.414636			0.00903769
1.7	   0.211459			0.00537955
1.9	   0.123464			0.00384829
2.25	   0.042296			0.000488087
2.75	   0.00752999			0.000248471
3.25	   0.00158215			6.9676e-05
3.75	   0.0003387			3.31681e-05
4.5	   5.93521e-05			9.08e-06
5.5	   2.16817e-05			1.95754e-05



Centrality 5 - 10%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   9.91327			1.04712
0.5	   7.76284			0.33394
0.7	   4.72953			0.119905
0.9	   2.70255			0.0586992
1.1	   1.26988			0.0265554
1.3	   0.646679			0.0147029
1.5	   0.342461			0.00915525
1.7	   0.17082			0.00526915
1.9	   0.0945618			0.00350364
2.25	   0.0333225			0.000468626
2.75	   0.00619568			0.000270602
3.25	   0.00136898			7.99725e-05
3.75	   0.000297563			3.23242e-05
4.5	   4.88604e-05			9.84303e-06
5.5	   6.74256e-06			6.35348e-06



Centrality 10 - 20%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   8.77761			0.745045
0.5	   5.6826			0.177062
0.7	   3.73726			0.0731409
0.9	   1.98342			0.0323777
1.1	   0.990114			0.0159553
1.3	   0.482719			0.00857114
1.5	   0.251545			0.00520345
1.7	   0.131028			0.00324717
1.9	   0.0723774			0.00208947
2.25	   0.0260964			0.000302327
2.75	   0.00483674			0.000176395
3.25	   0.0010707			4.82603e-05
3.75	   0.000240805			2.01147e-05
4.5	   3.45945e-05			4.96728e-06
5.5	   1.95724e-06			8.208e-07



Centrality 20 - 30%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   6.95179			0.702673
0.5	   4.17953			0.1487
0.7	   2.50194			0.0545778
0.9	   1.31687			0.0241533
1.1	   0.674931			0.0125542
1.3	   0.323841			0.00677972
1.5	   0.168948			0.00414425
1.7	   0.0932485			0.00270915
1.9	   0.0486167			0.00163137
2.25	   0.0171834			0.000236139
2.75	   0.00326258			0.000119466
3.25	   0.000732094			3.96073e-05
3.75	   0.000175799			1.45157e-05
4.5	   3.35848e-05			5.68064e-06
5.5	   5.21479e-06			3.34121e-06



Centrality 30 - 40%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   4.50731			0.4996
0.5	   2.88018			0.118963
0.7	   1.62775			0.0412972
0.9	   0.897763			0.0198247
1.1	   0.430868			0.00938819
1.3	   0.213672			0.00528651
1.5	   0.108401			0.00332233
1.7	   0.0569298			0.00202422
1.9	   0.0314486			0.00130726
2.25	   0.0111279			0.000170748
2.75	   0.00210433			8.34946e-05
3.25	   0.00048392			3.12367e-05
3.75	   0.000129713			1.48548e-05
4.5	   2.04166e-05			3.81849e-06
5.5	   1.39403e-06			1.17057e-06



Centrality 40 - 60%
pT         (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   2.41643			0.258444
0.5	   1.56065			0.0623124
0.7	   0.787743			0.0188877
0.9	   0.398901			0.00820566
1.1	   0.198652			0.00418376
1.3	   0.0958363			0.00240291
1.5	   0.0498971			0.00166071
1.7	   0.0257734			0.000911588
1.9	   0.0137126			0.000537396
2.25	   0.00513615			7.86311e-05
2.75	   0.000980593			3.77164e-05
3.25	   0.000235121			1.39658e-05
3.75	   6.32373e-05			7.88511e-06
4.5	   1.03893e-05			1.56156e-06
5.5	   9.15936e-07			9.15941e-07



Centrality 60 - 80%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.3	   0.685966			0.118756
0.5	   0.438721			0.0300212
0.7	   0.22736			0.00970914
0.9	   0.11141			0.00417057
1.1	   0.0514371			0.00193412
1.3	   0.0227843			0.00103246
1.5	   0.0121391			0.000649298
1.7	   0.00612578			0.000370874
1.9	   0.00370781			0.000285922
2.25	   0.00120613			3.54531e-05
2.75	   0.000251954			1.42597e-05
3.25	   6.109e-05			6.54159e-06
3.75	   1.61761e-05			3.26302e-06
4.5	   3.86841e-06			1.80411e-06
