Data points for pT spectra of Lambda
Au+Au 62.4 GeV


Centrality 0 - 5%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   2.788588 	 		0.343929 
0.90 	   2.283759 	 		0.088779 
1.09 	   1.436462 	 		0.041951 
1.29 	   1.018684 	 		0.029654 
1.49 	   0.623587 	 		0.018702 
1.69 	   0.355339 	 		0.011838 
1.89 	   0.210137 	 		0.008125 
2.20 	   0.081148 	 		0.000760 
2.70 	   0.015359 	 		0.000229 
3.19 	   0.003045 	 		0.000089 
3.69 	   0.000596 	 		0.000035 
4.29 	   0.000089 	 		0.000010 



Centrality 5 - 10%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   2.312680 	 		0.266926 
0.90 	   1.804337 	 		0.077564 
1.09 	   1.239384 	 		0.044005 
1.29 	   0.826463 	 		0.028711 
1.49 	   0.498908 	 		0.018082 
1.69 	   0.297155 			0.011787 
1.89 	   0.154377 	 		0.006920 
2.20 	   0.065926 	 		0.000725 
2.70 	   0.012797 	 		0.000226 
3.19 	   0.002491 	 		0.000084 
3.69 	   0.000527 	 		0.000034 
4.29 	   0.000055 	 		0.000008 



Centrality 10 - 20%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   1.699310 	 		0.139046 
0.90 	   1.367031 	 		0.046015 
1.09 	   0.916797 	 		0.025046 
1.29 	   0.572943 	 		0.014834 
1.49 	   0.389076 			0.011008 
1.69 	   0.214991 	 		0.006533 
1.89 	   0.123115 	 		0.004372 
2.20 	   0.048619 	 		0.000422 
2.70 	   0.009469 	 		0.000133 
3.20 	   0.001952 	 		0.000051 
3.69 	   0.000363 	 		0.000021 
4.29 	   0.000061 	 		0.000005 



Centrality 20 - 30%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   1.320435 	 		0.102860 
0.90 	   0.859396 	 		0.032038 
1.09 	   0.613656 	 		0.019667 
1.29 	   0.393655 	 		0.012136 
1.49 	   0.236845 	 		0.007692 
1.69 	   0.140309 	 		0.005055 
1.89 	   0.084764 	 		0.003642 
2.20 	   0.030875 	 		0.000304 
2.70 	   0.006012 	 		0.000100 
3.19 	   0.001309 	 		0.000041 
3.69 	   0.000269 	 		0.000017 
4.29 	   0.000033 	 		0.000004 



Centrality 30 - 40%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.876166 	 		0.073297 
0.90 	   0.585150 	 		0.026107 
1.09 	   0.395711 	 		0.015048 
1.29 	   0.243196 	 		0.008917 
1.49 	   0.148240 	 		0.005802 
1.69 	   0.086203 	 		0.003743 
1.89 	   0.047338 	 		0.002382 
2.20 	   0.018296 	 		0.000215 
2.70 	   0.003734 	 		0.000076 
3.19 	   0.000757 	 		0.000030 
3.69 	   0.000174 	 		0.000014 
4.29 	   0.000023 	 		0.000004 



Centrality 40 - 60%
pT         (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.433041 	 		0.034016 
0.90 	   0.292254 	 		0.013036 
1.09 	   0.188876 	 		0.007105 
1.29 	   0.112970 	 		0.004088 
1.49 	   0.062334 	 		0.002331 
1.69 	   0.035844 	 		0.001517 
1.89 	   0.018663 	 		0.000886 
2.20 	   0.007694 	 		0.000094 
2.70 	   0.001533 	 		0.000033 
3.19 	   0.000325 	 		0.000013 
3.69 	   0.000078 	 		0.000007 
4.28 	   0.000008 	 		0.000002 



Centrality 60 - 80%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.108018 	 		0.013886 
0.90 	   0.080677 	 		0.006614 
1.09 	   0.048848 	 		0.003428 
1.29 	   0.024851 	 		0.001640 
1.49 	   0.012923 	 		0.000875 
1.69 	   0.007461 	 		0.000594 
1.89 	   0.004192 	 		0.000376 
2.20 	   0.001510 	 		0.000041 
2.69 	   0.000294 	 		0.000014 
3.19 	   0.000068 	 		0.000008 
3.69 	   0.000011 	 		0.000004 


-------------------------------------------------------


Data points for pT spectra of Anti-Lambda
Au+Au 62.4 GeV


Centrality 0 - 5%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   1.485609 	 		0.192552 
0.90 	   1.226796 	 		0.040159 
1.10 	   0.765090 	 		0.020931 
1.29 	   0.542682 	 		0.013825 
1.49 	   0.327942 	 		0.008702 
1.69 	   0.199088 	 		0.005824 
1.89 	   0.109927 	 		0.003643 
2.20 	   0.043712 	 		0.000630 
2.70 	   0.008784 	 		0.000218 
3.20 	   0.001794 	 		0.000079 
3.69 	   0.000333 	 		0.000030 
4.29 	   0.000032 	 		0.000006



Centrality 5 - 10%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   1.171787 	 		0.123175 
0.90 	   0.923498 	 		0.036188 
1.10 	   0.665446 	 		0.020515 
1.29 	   0.422197 	 		0.012531 
1.49 	   0.266558 	 		0.008584 
1.69 	   0.162292 	 		0.005590 
1.89 	   0.092917 	 		0.003606 
2.20 	   0.036021 	 		0.000632 
2.70 	   0.007163 	 		0.000209 
3.20 	   0.001263 	 		0.000069 
3.69 	   0.000285 	 		0.000033 
4.29 	   0.000049 	 		0.000011 



Centrality 10 - 20%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.880721 	 		0.065941 
0.90 	   0.715293 	 		0.021576 
1.10 	   0.490562 	 		0.011743 
1.29 	   0.319665 	 		0.007340 
1.49 	   0.200102 	 		0.004834 
1.69 	   0.118775 	 		0.003127 
1.89 	   0.066462 			0.002011 
2.20 	   0.026561 	 		0.000366 
2.70 	   0.005378 	 		0.000125 
3.20 	   0.001072 	 		0.000045 
3.69 	   0.000225 	 		0.000018 
4.29 	   0.000031 	 		0.000005 



Centrality 20 - 30%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.573366 	 		0.041221 
0.90 	   0.459985 	 		0.014836 
1.10 	   0.339898 	 		0.009516 
1.29 	   0.216837 	 		0.005886 
1.49 	   0.132446 	 		0.003691 
1.69 	   0.080093 	 		0.002518 
1.89 	   0.044324 	 		0.001570 
2.20 	   0.017304 	 		0.000274 
2.70 	   0.003343 	 		0.000091 
3.20 	   0.000719 	 		0.000037 
3.69 	   0.000139 	 		0.000013 
4.29 	   0.000020 	 		0.000004 



Centrality 30 - 40%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.462242 	 		0.032194 
0.90 	   0.337407 	 		0.013370 
1.09 	   0.222445 	 		0.007338 
1.29 	   0.141128 	 		0.004572 
1.49 	   0.083686 	 		0.002826 
1.69 	   0.047488 	 		0.001741 
1.89 	   0.027433 	 		0.001158 
2.20 	   0.010313 	 		0.000207 
2.70 	   0.001974 	 		0.000066 
3.19 	   0.000395 	 		0.000025 
3.69 	   0.000093 	 		0.000012 
4.28 	   0.000010 	 		0.000004 



Centrality 40 - 60%
pT         (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.264033 	 		0.017911 
0.90 	   0.165983 	 		0.006292 
1.09 	   0.109091 	 		0.003614 
1.29 	   0.067038 	 		0.002189 
1.49 	   0.036349 	 		0.001177 
1.69 	   0.020301 	 		0.000721 
1.89 	   0.010752 	 		0.000440 
2.20 	   0.004353 	 		0.000089 
2.69 	   0.000834 	 		0.000030 
3.19 	   0.000179 	 		0.000012 
3.69 	   0.000040 	 		0.000006 
4.28 	   0.000006 	 		0.000002 



Centrality 60 - 80%
pT    	   (1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.70 	   0.090150 	 		0.011087 
0.90 	   0.044152 	 		0.002937 
1.09 	   0.026892 	 		0.001590 
1.29 	   0.015716 	 		0.000913 
1.49 	   0.008336 	 		0.000521 
1.69 	   0.004780 	 		0.000334 
1.89 	   0.002635 	 		0.000220 
2.19 	   0.000887 	 		0.000037 
2.69 	   0.000152 	 		0.000012 
3.19 	   0.000035 	 		0.000006 
