Data points for pT spectra of Xi^{-}
Au+Au 62.4 GeV


Centrality 0 - 5%
pT    	       (1/(2*Pi*pT))*d^2N/dydpT		Stat Error
0.796387       0.25354				0.0321546
1.09122	       0.134779				0.0117468
1.29878	       0.0969123			0.00675773
1.48757	       0.0674821			0.00416644
1.69848	       0.0421319			0.00248678
1.88548	       0.0280084			0.00170577
2.12114	       0.0154293			0.000928238
2.35318	       0.00811011			0.000539081
2.7201	       0.00268502			0.000173144
3.28116	       0.000335833			3.23548e-05
4.34121	       2.34263e-05			6.2507e-06



Centrality 5 - 10%
pT    	       (1/(2*Pi*pT))*d^2N/dydpT		Stat Error
0.796815       0.158153				0.0218605
1.09165	       0.0985516			0.00915478
1.29883	       0.0872414			0.00644593
1.488	       0.0599922			0.00389561
1.69853	       0.0386108			0.0024322
1.8859	       0.0224073			0.00145099
2.12125	       0.0118971			0.000784006
2.35375	       0.0057298			0.000432355
2.72084	       0.00225941			0.0001638
3.28538	       0.000325269			3.13337e-05
4.34426	       1.47413e-05			4.81585e-06



Centrality 10 - 20%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.796695	0.143467			0.01533
1.09153		0.078854			0.00509158
1.29881		0.0619104			0.00318972
1.48788		0.0421884			0.0020349
1.69851		0.0283653			0.00135047
1.88578		0.0167319			0.000831453
2.12122		0.00959483			0.000469277
2.35359		0.00482156			0.000260863
2.72063		0.00161563			8.63812e-05
3.28419		0.000246226			1.75795e-05
4.3434		1.24898e-05			2.82826e-06



Centrality 20 - 40%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.796153	0.0805844			0.00612751
1.09098		0.0446598			0.00224434
1.29875		0.0321496			0.00144509
1.48734		0.0224884			0.000890873
1.69845		0.0133689			0.000543046
1.88525		0.0087224			0.000363312
2.12108		0.00436509			0.000179345
2.35286		0.00220626			0.00010743
2.7197		0.00082064			3.76304e-05
3.27887		0.000108245			7.1126e-06
4.33955		5.29278e-06			1.14134e-06



Centrality 40 - 60%
pT            	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.79542		0.0273064			0.00249245
1.09025		0.0168506			0.00123451
1.29867		0.0113587			0.000754956
1.48661		0.00734279			0.000441977
1.69837		0.0042588			0.000248099
1.88452		0.00231738			0.000144147
2.1209		0.00132715			8.2855e-05
2.35189		0.000620917			4.69729e-05
2.71844		0.000226624			1.64591e-05
3.27182		3.49404e-05			3.66085e-06
4.33442		2.4553e-06			7.92121e-07



Centrality 60 - 80%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.794023	0.00679689			0.00104699
1.08886		0.00363957			0.000498738
1.29851		0.00219111			0.000264505
1.48522		0.0014494			0.000163022
1.69821		0.000752899			8.23961e-05
1.88314		0.000374319			4.83832e-05
2.12055		0.00023837			2.87785e-05
2.35003		0.000120267			1.85082e-05
2.71605		3.73583e-05			5.84511e-06



-------------------------------------------------------


Data points for pT spectra of Xi^{+}
Au+Au 62.4 GeV


Centrality 0 - 5%
pT    	       (1/(2*Pi*pT))*d^2N/dydpT		Stat Error
0.796594	0.168072			0.0373465
1.09142		0.0817869			0.00937175
1.2988		0.0622495			0.00566093
1.48778		0.0442849			0.00361322
1.6985		0.0297593			0.00221833
1.88568		0.018317			0.00140485
2.12119		0.0100702			0.00074594
2.35345		0.00495419			0.000439383
2.72046		0.00173485			0.000145403
3.28319		0.00025171			2.85747e-05
4.34268		6.96853e-06			3.50808e-06



Centrality 5 - 10%
pT    	       (1/(2*Pi*pT))*d^2N/dydpT		Stat Error
0.796464       	0.150594			0.0321222
1.09129		0.0673889			0.00761551
1.29879		0.0470802			0.00430501
1.48765		0.0379937			0.00327502
1.69849		0.0232072			0.00186864
1.88556		0.0152084			0.0012712
2.12116		0.00815463			0.000665218
2.35328		0.00397296			0.00037755
2.72024		0.00147591			0.000134166
3.28191		0.000172312			2.38218e-05
4.34175		1.42762e-05			4.90082e-06



Centrality 10 - 20%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.796844	0.0882846			0.0114327
1.09167		0.0485781			0.00404852
1.29883		0.0389832			0.00262942
1.48803		0.0260562			0.00162561
1.69853		0.0176724			0.00105765
1.88593		0.0109164			0.000698691
2.12125		0.00609803			0.000375289
2.35379		0.00301258			0.000213282
2.72089		0.00102999			6.92467e-05
3.28566		0.00016086			1.50285e-05
4.34447		7.9953e-06			2.75203e-06



Centrality 20 - 40%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.79608		0.0553062			0.00600398
1.09091		0.0307365			0.00202652
1.29875		0.0211475			0.0011861
1.48727		0.0146037			0.000770713
1.69844		0.00898648			0.000469247
1.88517		0.00533922			0.000276327
2.12106		0.00313915			0.000169017
2.35277		0.00137173			8.68333e-05
2.71957		0.000525927			3.01232e-05
3.27816		7.65929e-05			6.12283e-06
4.33903		4.13275e-06			1.0942e-06
 


Centrality 40 - 60%
pT            	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.795514	0.0162597			0.00171601
1.09035		0.0106419			0.00099534
1.29868		0.00739713			0.000591971
1.4867		0.00497486			0.000367705
1.69838		0.00288279			0.000210427
1.88461		0.00165599			0.000132433
2.12092		0.000897065			7.10902e-05
2.35201		0.000415848			3.8401e-05
2.7186		0.000150354			1.40709e-05
3.27272		1.90901e-05			2.51944e-06
4.33507		1.1404e-06			5.17544e-07


Centrality 60 - 80%
pT    	      	(1/(2*Pi*pT))*d^2N/dydpT	Stat Error
0.794052	0.0047334			0.000984858
1.08889		0.00291301			0.000544301
1.29852		0.00226727			0.000346685
1.48525		0.00107402			0.000150879
1.69822		0.000562942			8.24422e-05
1.88317		0.000331112			4.84801e-05
2.12055		0.000199021			2.93363e-05
2.35007		8.59023e-05			1.76523e-05
2.7161		2.91093e-05			5.12401e-06
