# M_{ee}   dM_{ee}   unLikeS(mix)/LikeS(mix)   error
0.0125  0.025  0.934449  0.000625105
0.0375  0.025  0.934638  0.00034758
0.0625  0.025  0.943461  0.000271437
0.0875  0.025  0.953119  0.000234467
0.1125  0.025  0.964987  0.000212594
0.1375  0.025  0.976564  0.000197885
0.175  0.05  0.993056  0.00012921
0.225  0.05  1.01077  0.000119825
0.275  0.05  1.0193  0.000113019
0.325  0.05  1.01019  0.00010631
0.375  0.05  1.00397  0.000100462
0.425  0.05  0.999652  9.38419e-05
0.475  0.05  0.998495  8.90996e-05
0.55  0.1  0.997887  6.2704e-05
0.65  0.1  0.998109  6.74677e-05
0.75  0.1  0.998503  7.66652e-05
0.85  0.1  0.999027  8.96983e-05
0.95  0.1  0.999563  0.000106423
1.05  0.1  0.999665  0.000127
1.15  0.1  0.99956  0.000151716
1.25  0.1  0.999628  0.000180892
1.35  0.1  0.999581  0.000214836
1.45  0.1  0.999743  0.00025403
1.575  0.15  1.00021  0.000253388
1.725  0.15  1.00034  0.000319835
1.875  0.15  0.999682  0.00039896
2.025  0.15  1.00049  0.000493507
2.2  0.2  0.999504  0.000539229
2.4  0.2  1.00069  0.000698056
2.6  0.2  1.00157  0.000892136
2.8  0.2  0.999902  0.00112543
3  0.2  0.999521  0.00140623
3.2  0.2  1.00154  0.00174804
3.4  0.2  0.999813  0.00214632
3.6  0.2  0.997048  0.00261451
3.8  0.2  0.998002  0.00317681
