# M_{ee}   dM_{ee}   LikeS/unLikeS(mix)   error
0.0125  0.025  0.976599  0.00459523
0.0375  0.025  1.01412  0.00260221
0.0625  0.025  1.04112  0.0020453
0.0875  0.025  1.05052  0.00176154
0.1125  0.025  1.04095  0.00157502
0.1375  0.025  1.01394  0.00143309
0.175  0.05  1.00462  0.000919651
0.225  0.05  1.0024  0.000840632
0.275  0.05  1.0036  0.000788313
0.325  0.05  1.00435  0.000746877
0.375  0.05  1.00619  0.000709784
0.425  0.05  1.0056  0.000665
0.475  0.05  1.00486  0.000631672
0.55  0.1  1.00409  0.000444546
0.65  0.1  1.00218  0.000477715
0.75  0.1  1.00138  0.000542351
0.85  0.1  1.00083  0.000634046
0.95  0.1  1.00107  0.000751939
1.05  0.1  1.00108  0.000897195
1.15  0.1  0.998921  0.00107061
1.25  0.1  0.998349  0.00127611
1.35  0.1  1.00223  0.00151861
1.45  0.1  1.00122  0.00179433
1.575  0.15  0.998923  0.00178721
1.725  0.15  0.998606  0.00225541
1.875  0.15  1.00071  0.00281798
2.025  0.15  1.00054  0.00348308
2.2  0.2  1.00618  0.00381951
2.4  0.2  1.00714  0.00494267
2.6  0.2  1.00225  0.00629753
2.8  0.2  0.995163  0.00792683
3  0.2  1.00577  0.00996018
3.2  0.2  1.01044  0.0124035
3.4  0.2  1.01943  0.0153272
3.6  0.2  1.00498  0.0185891
3.8  0.2  1.03125  0.0228781
