# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.   cocktail(rho).   cocktail_syst.
0.005 0.01 8.54261 0.00419677 1.189 9.35227 0.965402
0.015 0.01 2.3376 0.00208122 0.325913 2.56547 0.266566
0.025 0.01 1.24544 0.00154769 0.174053 1.4271 0.149696
0.035 0.01 0.817673 0.00133036 0.114258 0.925362 0.0989164
0.045 0.01 0.582377 0.00122807 0.0815885 0.665383 0.0724536
0.055 0.01 0.429094 0.00117716 0.0600982 0.475762 0.0534442
0.065 0.01 0.316058 0.00187224 0.0420803 0.355391 0.0415543
0.075 0.01 0.23654 0.0011708 0.0333959 0.24745 0.0309721
0.085 0.01 0.167618 0.00117382 0.0236183 0.17567 0.0238071
0.095 0.01 0.113203 0.00119146 0.0159434 0.114128 0.017825
0.105 0.01 0.06945 0.00120323 0.00981721 0.0741501 0.0137737
0.1175 0.015 0.0441837 0.00101327 0.00625435 0.0404262 0.0100104
0.15 0.05 0.0259795 0.000600504 0.0036982 0.0217487 0.00686036
0.1875 0.025 0.0211262 0.000924451 0.00308767 0.0167658 0.00527894
0.255 0.11 0.0133803 0.000491921 0.00194788 0.0116287 0.0036086
0.355 0.09 0.0102765 0.000614786 0.00170568 0.00737916 0.00221976
0.455 0.11 0.00903929 0.000631918 0.0013497 0.00507528 0.0014764
0.57 0.12 0.00726674 0.000588825 0.00143127 0.00457279 0.00135383
0.69 0.12 0.00767194 0.000513098 0.00124507 0.00540265 0.00178757
0.765 0.03 0.0117832 0.000927162 0.00177465 0.0142039 0.00463237
0.7825 0.005 0.0220648 0.0022254 0.00315167 0.0303081 0.00985345
0.7875 0.005 0.0218701 0.00221453 0.00325944 0.023988 0.00775515
0.795 0.01 0.0108315 0.00153302 0.00160225 0.0124431 0.0039202
0.845 0.09 0.00431177 0.000475128 0.000702728 0.00376545 0.000930538
0.9275 0.075 0.00360686 0.000458784 0.000545626 0.00255769 0.000436198
0.9825 0.035 0.0052739 0.000616838 0.000790726 0.00376174 0.00050441
1.005 0.01 0.0101367 0.000992463 0.00144191 0.010688 0.00118835
1.0125 0.005 0.0212286 0.00139961 0.0030468 0.0207483 0.00219239
1.0175 0.005 0.0245764 0.00131026 0.00355137 0.0259321 0.00270654
1.0275 0.015 0.0129974 0.000741788 0.00199134 0.0156045 0.00167158
1.0825 0.095 0.00211539 0.000268602 0.000669329 0.00193774 0.000286766
1.19 0.12 0.0014797 0.000202484 0.000469201 0.00115909 0.00018609
1.35 0.2 0.000978527 0.00012377 0.000277335 0.000797367 0.000128941
1.55 0.2 0.000746311 9.24155e-05 0.000164972 0.00051022 8.39963e-05
1.7625 0.225 0.000462905 6.48445e-05 0.000102759 0.000321669 5.45243e-05
1.975 0.2 0.000257686 5.15696e-05 5.31605e-05 0.000206463 3.63046e-05
2.1625 0.175 0.000170155 4.31204e-05 3.63068e-05 0.00014491 2.63783e-05
2.3625 0.225 9.65596e-05 2.96596e-05 2.20914e-05 0.000103672 1.96308e-05
2.57 0.19 0.000128716 2.52203e-05 2.25285e-05 7.95953e-05 1.55304e-05
2.7575 0.185 9.10619e-05 2.06244e-05 1.57548e-05 7.1149e-05 1.38373e-05
2.92 0.14 0.000127805 2.00228e-05 1.97273e-05 9.74393e-05 1.74843e-05
3.005 0.03 0.000265461 4.06234e-05 3.69188e-05 0.000192316 3.16123e-05
3.0275 0.015 0.000370162 5.72093e-05 5.09898e-05 0.000299844 4.77014e-05
3.045 0.02 0.000636503 5.09223e-05 8.73091e-05 0.000518681 8.03995e-05
3.0625 0.015 0.000926744 6.1077e-05 0.000127424 0.00088172 0.000135041
3.0725 0.005 0.00121053 0.000109272 0.00016648 0.00111894 0.000170291
3.0825 0.015 0.00132385 6.35627e-05 0.000181691 0.00129669 0.000197087
3.0925 0.005 0.00161334 0.000114071 0.000221281 0.00137647 0.000209103
3.0975 0.005 0.00157008 0.000113313 0.000216385 0.00136039 0.000206683
3.1075 0.015 0.00140301 6.35075e-05 0.000192974 0.00120994 0.00018401
3.1225 0.015 0.000977449 5.88771e-05 0.000134393 0.00085771 0.000131221
3.1775 0.095 0.000147595 1.87973e-05 2.03164e-05 0.000188209 3.06746e-05
3.3125 0.175 3.74907e-05 1.1621e-05 5.31623e-06 3.16682e-05 6.99428e-06
3.625 0.45 2.52176e-05 5.37714e-06 3.51116e-06 2.37701e-05 5.95884e-06
4.125 0.55 1.07294e-05 3.05275e-06 1.49114e-06 1.14182e-05 2.97653e-06
