# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  sum(rapp).   sum_syst.
0.005 0.01 8.54261 0.00419677 1.189 9.44372 0.96586
0.015 0.01 2.3376 0.00208122 0.325913 2.5827 0.266652
0.025 0.01 1.24544 0.00154769 0.174053 1.44433 0.149781
0.035 0.01 0.817673 0.00133036 0.114258 0.942593 0.0990012
0.045 0.01 0.582377 0.00122807 0.0815885 0.682608 0.0725372
0.055 0.01 0.429094 0.00117716 0.0600982 0.486769 0.0534961
0.065 0.01 0.316058 0.00187224 0.0420803 0.366396 0.0416046
0.075 0.01 0.23654 0.0011708 0.0333959 0.258452 0.0310217
0.085 0.01 0.167618 0.00117382 0.0236183 0.186664 0.0238551
0.095 0.01 0.113203 0.00119146 0.0159434 0.12512 0.0178708
0.105 0.01 0.06945 0.00120323 0.00981721 0.0838648 0.0138116
0.1175 0.015 0.0441837 0.00101327 0.00625435 0.0501292 0.0100441
0.15 0.05 0.0259795 0.000600504 0.0036982 0.0303914 0.00688232
0.1875 0.025 0.0211262 0.000924451 0.00308767 0.024339 0.00528614
0.255 0.11 0.0133803 0.000491921 0.00194788 0.0165991 0.00358341
0.355 0.09 0.0102765 0.000614786 0.00170568 0.011526 0.00215812
0.455 0.11 0.00903929 0.000631918 0.0013497 0.0093679 0.00136075
0.57 0.12 0.00726674 0.000588825 0.00143127 0.00879413 0.00109022
0.69 0.12 0.00767194 0.000513098 0.00124507 0.00917653 0.00102596
0.765 0.03 0.0117832 0.000927162 0.00177465 0.0174081 0.00358624
0.7825 0.005 0.0220648 0.0022254 0.00315167 0.0333354 0.00894515
0.7875 0.005 0.0218701 0.00221453 0.00325944 0.0268767 0.00690008
0.795 0.01 0.0108315 0.00153302 0.00160225 0.0150838 0.0031507
0.845 0.09 0.00431177 0.000475128 0.000702728 0.00543162 0.000568872
0.9275 0.075 0.00360686 0.000458784 0.000545626 0.00361343 0.000349926
0.9825 0.035 0.0052739 0.000616838 0.000790726 0.00494108 0.000469889
1.005 0.01 0.0101367 0.000992463 0.00144191 0.0114515 0.00116251
1.0125 0.005 0.0212286 0.00139961 0.0030468 0.0215145 0.00216734
1.0175 0.005 0.0245764 0.00131026 0.00355137 0.0267032 0.00268352
1.0275 0.015 0.0129974 0.000741788 0.00199134 0.0163846 0.00165253
1.0825 0.095 0.00211539 0.000268602 0.000669329 0.00265239 0.000277654
1.19 0.12 0.0014797 0.000202484 0.000469201 0.00162219 0.000184369
1.35 0.2 0.000978527 0.00012377 0.000277335 0.00104998 0.000129211
1.55 0.2 0.000746311 9.24155e-05 0.000164972 0.000627742 8.44276e-05
1.7625 0.225 0.000462905 6.48445e-05 0.000102759 0.000376637 5.47757e-05
1.975 0.2 0.000257686 5.15696e-05 5.31605e-05 0.000232773 3.64297e-05
2.1625 0.175 0.000170155 4.31204e-05 3.63068e-05 0.000159013 2.64488e-05
2.3625 0.225 9.65596e-05 2.96596e-05 2.20914e-05 0.000111229 1.96686e-05
2.57 0.19 0.000128716 2.52203e-05 2.25285e-05 8.35081e-05 1.555e-05
2.7575 0.185 9.10619e-05 2.06244e-05 1.57548e-05 7.33487e-05 1.38483e-05
2.92 0.14 0.000127805 2.00228e-05 1.97273e-05 9.87841e-05 1.7491e-05
3.005 0.03 0.000265461 4.06234e-05 3.69188e-05 0.00019331 3.16173e-05
3.0275 0.015 0.000370162 5.72093e-05 5.09898e-05 0.000300733 4.77058e-05
3.045 0.02 0.000636503 5.09223e-05 8.73091e-05 0.00051956 8.04039e-05
3.0625 0.015 0.000926744 6.1077e-05 0.000127424 0.000882619 0.000135046
3.0725 0.005 0.00121053 0.000109272 0.00016648 0.00111983 0.000170295
3.0825 0.015 0.00132385 6.35627e-05 0.000181691 0.00129757 0.000197091
3.0925 0.005 0.00161334 0.000114071 0.000221281 0.0013774 0.000209108
3.0975 0.005 0.00157008 0.000113313 0.000216385 0.00136131 0.000206687
3.1075 0.015 0.00140301 6.35075e-05 0.000192974 0.0012106 0.000184013
3.1225 0.015 0.000977449 5.88771e-05 0.000134393 0.000858373 0.000131224
3.1775 0.095 0.000147595 1.87973e-05 2.03164e-05 0.000188818 3.06777e-05
3.3125 0.175 3.74907e-05 1.1621e-05 5.31623e-06 3.20827e-05 6.99635e-06
3.625 0.45 2.52176e-05 5.37714e-06 3.51116e-06 2.3938e-05 5.95968e-06
4.125 0.55 1.07294e-05 3.05275e-06 1.49114e-06 1.1459e-05 2.97673e-06
