# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  sum(PHSD).   sum_syst.
0.005 0.01 8.54261 0.00419677 1.189 9.35227 0.965402
0.015 0.01 2.3376 0.00208122 0.325913 2.57411 0.266609
0.025 0.01 1.24544 0.00154769 0.174053 1.4299 0.149709
0.035 0.01 0.817673 0.00133036 0.114258 0.927043 0.0989235
0.045 0.01 0.582377 0.00122807 0.0815885 0.666591 0.0724572
0.055 0.01 0.429094 0.00117716 0.0600982 0.476688 0.0534457
0.065 0.01 0.316058 0.00187224 0.0420803 0.356154 0.0415534
0.075 0.01 0.23654 0.0011708 0.0333959 0.248075 0.0309698
0.085 0.01 0.167618 0.00117382 0.0236183 0.176202 0.0238028
0.095 0.01 0.113203 0.00119146 0.0159434 0.114587 0.0178181
0.105 0.01 0.06945 0.00120323 0.00981721 0.0745858 0.0137652
0.1175 0.015 0.0441837 0.00101327 0.00625435 0.0408639 0.00999779
0.15 0.05 0.0259795 0.000600504 0.0036982 0.0221054 0.00684089
0.1875 0.025 0.0211262 0.000924451 0.00308767 0.017415 0.00525152
0.255 0.11 0.0133803 0.000491921 0.00194788 0.0119385 0.00356011
0.355 0.09 0.0102765 0.000614786 0.00170568 0.00882011 0.00214459
0.455 0.11 0.00903929 0.000631918 0.0013497 0.00839917 0.0013559
0.57 0.12 0.00726674 0.000588825 0.00143127 0.00859376 0.00108922
0.69 0.12 0.00767194 0.000513098 0.00124507 0.00931985 0.00102668
0.765 0.03 0.0117832 0.000927162 0.00177465 0.0170251 0.00358432
0.7825 0.005 0.0220648 0.0022254 0.00315167 0.0325943 0.00894144
0.7875 0.005 0.0218701 0.00221453 0.00325944 0.0264029 0.00689771
0.795 0.01 0.0108315 0.00153302 0.00160225 0.0145986 0.00314828
0.845 0.09 0.00431177 0.000475128 0.000702728 0.00516066 0.000567517
0.9275 0.075 0.00360686 0.000458784 0.000545626 0.003446 0.000349089
0.9825 0.035 0.0052739 0.000616838 0.000790726 0.00449109 0.000467639
1.005 0.01 0.0101367 0.000992463 0.00144191 0.0113777 0.00116214
1.0125 0.005 0.0212286 0.00139961 0.0030468 0.0214094 0.00216682
1.0175 0.005 0.0245764 0.00131026 0.00355137 0.0265982 0.002683
1.0275 0.015 0.0129974 0.000741788 0.00199134 0.0162502 0.00165186
1.0825 0.095 0.00211539 0.000268602 0.000669329 0.00251129 0.000276948
1.19 0.12 0.0014797 0.000202484 0.000469201 0.00159135 0.000184215
1.35 0.2 0.000978527 0.00012377 0.000277335 0.00108591 0.000129391
1.55 0.2 0.000746311 9.24155e-05 0.000164972 0.00068011 8.46894e-05
1.7625 0.225 0.000462905 6.48445e-05 0.000102759 0.000421681 5.5001e-05
1.975 0.2 0.000257686 5.15696e-05 5.31605e-05 0.000267151 3.66016e-05
2.1625 0.175 0.000170155 4.31204e-05 3.63068e-05 0.000185744 2.65825e-05
2.3625 0.225 9.65596e-05 2.96596e-05 2.20914e-05 0.000131688 1.97709e-05
2.57 0.19 0.000128716 2.52203e-05 2.25285e-05 9.88394e-05 1.56267e-05
2.7575 0.185 9.10619e-05 2.06244e-05 1.57548e-05 8.55747e-05 1.39094e-05
2.92 0.14 0.000127805 2.00228e-05 1.97273e-05 0.000108637 1.75403e-05
3.005 0.03 0.000265461 4.06234e-05 3.69188e-05 0.000202267 3.16621e-05
3.0275 0.015 0.000370162 5.72093e-05 5.09898e-05 0.000309443 4.77494e-05
3.045 0.02 0.000636503 5.09223e-05 8.73091e-05 0.000528034 8.04463e-05
3.0625 0.015 0.000926744 6.1077e-05 0.000127424 0.000890855 0.000135087
3.0725 0.005 0.00121053 0.000109272 0.00016648 0.00112792 0.000170336
3.0825 0.015 0.00132385 6.35627e-05 0.000181691 0.00130554 0.000197131
3.0925 0.005 0.00161334 0.000114071 0.000221281 0.00138512 0.000209146
3.0975 0.005 0.00157008 0.000113313 0.000216385 0.00136911 0.000206726
3.1075 0.015 0.00140301 6.35075e-05 0.000192974 0.00121842 0.000184052
3.1225 0.015 0.000977449 5.88771e-05 0.000134393 0.000865982 0.000131262
3.1775 0.095 0.000147595 1.87973e-05 2.03164e-05 0.00019595 3.07133e-05
3.3125 0.175 3.74907e-05 1.1621e-05 5.31623e-06 3.82759e-05 7.02731e-06
3.625 0.45 2.52176e-05 5.37714e-06 3.51116e-06 2.79978e-05 5.97998e-06
4.125 0.55 1.07294e-05 3.05275e-06 1.49114e-06 1.14182e-05 2.97653e-06
