# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# pT:0.0-0.5 GeV/c
0.005 0.01 0.906704 0.00139206 0.126805 1.04828 0.864946 1.0059 1
0.015 0.01 0.235519 0.000687987 0.0330273 0.278517 0.845617 1.00475 1.00216
0.025 0.01 0.127976 0.000540697 0.0179851 0.153983 0.831103 1.00859 1.00128
0.035 0.01 0.0810852 0.000476178 0.0114111 0.101505 0.798833 1.01303 1.00115
0.045 0.01 0.0596295 0.000468391 0.00843779 0.0733659 0.812768 1.01804 1.00116
0.055 0.01 0.0453853 0.000468883 0.00643163 0.0521864 0.869677 1.02183 1.00118
0.065 0.01 0.0326987 0.000940809 0.0042911 0.0376793 0.867817 1.03024 1.0014
0.075 0.01 0.0243355 0.000497531 0.00344547 0.0270441 0.899846 1.04213 1.0016
0.085 0.01 0.015808 0.000505791 0.00224642 0.0184648 0.856115 1.06171 1.0022
0.095 0.01 0.0101495 0.000527777 0.00143614 0.0111783 0.907962 1.1019 1.00337
0.105 0.01 0.00520144 0.000528714 0.00074704 0.00645792 0.805435 1.10975 1.00455
0.1175 0.015 0.00395399 0.000460405 0.000587419 0.00350699 1.12746 1.20201 1.0073
0.1425 0.035 0.00105629 0.000326276 0.000159105 0.00202085 0.522695 1.33006 1.01006
0.18 0.04 0.00222605 0.000347883 0.000325155 0.00172782 1.28836 1.32591 1.00859
0.245 0.09 0.00174889 0.000275786 0.000442928 0.00146799 1.19135 1.37343 1.00931
0.325 0.07 0.00173401 0.00037436 0.000411162 0.00141354 1.22672 1.50817 1.05289
0.415 0.11 0.00296163 0.000386802 0.000513462 0.00139625 2.12114 1.81809 1.39841
0.515 0.09 0.00296911 0.000486203 0.000691389 0.00145001 2.04765 2.13842 2.0591
0.6 0.08 0.00234626 0.000479537 0.000665521 0.00155297 1.51082 2.20709 2.22684
0.695 0.11 0.00218528 0.000350808 0.00043808 0.00144476 1.51256 2.45236 3.19716
0.765 0.03 0.00479446 0.000584851 0.000822279 0.0041828 1.14623 1.47942 1.94344
0.7825 0.005 0.00520842 0.0013767 0.000746981 0.00994747 0.523592 1.18093 1.35179
0.7875 0.005 0.00632253 0.0013719 0.00110004 0.00764566 0.826944 1.22203 1.45773
0.845 0.11 0.00165292 0.000251956 0.000378202 0.0013012 1.2703 1.6471 3.59569
0.9525 0.105 0.0013466 0.000180511 0.000207213 0.000928814 1.44981 1.36751 1.74991
1.01 0.01 0.00276221 0.000474444 0.000392679 0.00379996 0.726905 1.05586 1.18089
1.0175 0.005 0.00466515 0.000663405 0.000674309 0.00589483 0.791396 1.03602 1.10452
1.0225 0.005 0.00481644 0.000659211 0.00069623 0.00520687 0.925017 1.04074 1.08399
1.0875 0.125 0.000487435 0.00011362 0.000143175 0.000698451 0.69788 1.25805 1.45921
1.2 0.1 0.00013948 9.99202e-05 5.95495e-05 0.00034225 0.407538 1.31588 1.6372
1.3625 0.225 0.000185994 4.91226e-05 5.73566e-05 0.00021978 0.846274 1.24674 1.6173
1.6 0.25 0.000138872 3.03075e-05 3.23746e-05 0.000114319 1.21477 1.17394 1.61097
1.8625 0.275 5.9074e-05 1.84158e-05 1.31358e-05 5.64851e-05 1.04583 1.12782 1.62368
2.15 0.3 2.01025e-05 1.08174e-05 6.30747e-06 2.69803e-05 0.74508 1.09194 1.69043
2.475 0.35 1.45231e-05 5.73054e-06 5.4729e-06 1.28597e-05 1.12935 1.06186 1.78048
2.795 0.29 1.72795e-05 3.70729e-06 3.82357e-06 8.08587e-06 2.137 1.03302 1.7345
2.9875 0.095 1.5771e-05 4.89413e-06 5.07352e-06 1.27787e-05 1.23416 1.01061 1.34444
3.05 0.03 5.68196e-05 9.19928e-06 7.84458e-06 4.42908e-05 1.28288 1.00243 1.09106
3.0775 0.025 0.000119759 1.15636e-05 1.6608e-05 9.83189e-05 1.21807 1.00108 1.03923
3.095 0.01 0.000123996 1.82158e-05 1.71745e-05 0.000110662 1.12049 1.00097 1.03393
3.105 0.01 0.000116577 1.78037e-05 1.61734e-05 0.000102309 1.13946 1.00079 1.03577
3.1175 0.015 0.000123734 1.48056e-05 1.71561e-05 7.32903e-05 1.68827 1.00106 1.04907
3.15 0.05 2.88015e-05 5.83886e-06 3.97076e-06 2.28409e-05 1.26096 1.00339 1.15063
3.3375 0.325 3.99476e-06 1.60408e-06 5.58306e-07 2.57066e-06 1.55398 1.01728 2.06064
3.675 0.35 9.48704e-07 1.02124e-06 1.4061e-07 1.56399e-06 0.606594 1.00929 2.03285
# pT:0.5-1.0 GeV/c
0.005 0.01 5.62968 0.00303494 0.789031 6.38214 0.882099 1.00937 1
0.015 0.01 1.52233 0.00149676 0.213246 1.74845 0.870672 1.00721 1.00252
0.025 0.01 0.811677 0.00111297 0.113858 0.971685 0.835329 1.01297 1.00154
0.035 0.01 0.53365 0.000958078 0.0749861 0.622996 0.856586 1.02023 1.00143
0.045 0.01 0.379627 0.000883541 0.053401 0.449855 0.843887 1.02802 1.0014
0.055 0.01 0.276515 0.00084216 0.038927 0.321209 0.860857 1.03176 1.00155
0.065 0.01 0.208442 0.000837114 0.0293926 0.240454 0.866868 1.04243 1.0017
0.075 0.01 0.151667 0.00083271 0.0215062 0.16502 0.91908 1.06182 1.002
0.085 0.01 0.10813 0.00083783 0.0153308 0.118629 0.911496 1.08599 1.00247
0.095 0.01 0.0711176 0.00084622 0.0100975 0.0753757 0.943509 1.13535 1.00333
0.105 0.01 0.0428668 0.000855885 0.00609836 0.0489391 0.875922 1.1236 1.00467
0.1175 0.015 0.0252186 0.000715234 0.00360947 0.0252828 0.997463 1.23924 1.0074
0.1425 0.035 0.0157879 0.000494915 0.00225041 0.0144931 1.08934 1.3778 1.01044
0.18 0.04 0.0117149 0.000497233 0.00177383 0.0108707 1.07766 1.3721 1.01013
0.2625 0.125 0.00722478 0.000308091 0.00110634 0.00663688 1.08858 1.42841 1.0176
0.3875 0.125 0.00493819 0.000318828 0.000948394 0.00328619 1.50271 1.67276 1.46241
0.5 0.1 0.00291883 0.000339576 0.000487913 0.00180712 1.61518 2.06962 2.00192
0.6 0.1 0.00224128 0.000313225 0.000403637 0.00148946 1.50476 2.23709 2.51157
0.695 0.09 0.00313113 0.000301912 0.000619709 0.00129829 2.41174 2.56015 3.58467
0.7625 0.045 0.00386785 0.000405064 0.000705313 0.004216 0.917421 1.49337 2.10287
0.7925 0.015 0.0046294 0.000687141 0.000848774 0.00511246 0.905513 1.33644 1.59813
0.85 0.1 0.00134111 0.000253423 0.000345988 0.00110704 1.21144 1.83818 2.72745
0.9525 0.105 0.00122052 0.000199813 0.000214752 0.001206 1.01204 1.4153 1.60774
1.01 0.01 0.00674425 0.000557998 0.000949221 0.00620034 1.08772 1.05209 1.08857
1.02 0.01 0.00880659 0.000552588 0.00126564 0.00911476 0.96619 1.03542 1.05878
