# p_{T}^{ee}   dN/dM_{ee}   stat.  syst.  cock.  cock_un(100%).
# M_{ee}: 0.0-0.15 (GeV/c^{2})
0.25 0.103545 0.000173351 0.0144846 0.121278 0.107166
0.75 0.654306 0.000312857 0.0916752 0.748025 0.107166
1.25 0.177204 0.000149433 0.0247449 0.17949 0.107166
1.75 0.041366 7.3954e-05 0.00576864 0.0377706 0.107166
# M_{ee}: 0.15-0.30 (GeV/c^{2})
0.25 0.00182233 0.000204576 0.000344772 0.00155745 0.311699
0.75 0.0092035 0.000277859 0.00135138 0.00848305 0.311699
1.25 0.00390913 0.000106385 0.000577811 0.00285452 0.311699
1.75 0.00104817 4.56018e-05 0.000150216 0.000718986 0.311699
# M_{ee}: 0.30-0.76 (GeV/c^{2})
0.25 0.00249893 0.000186077 0.000399105 0.00146378 0.28759
0.75 0.00343878 0.000149726 0.000530913 0.00220917 0.28759
1.25 0.00144453 7.1325e-05 0.000206569 0.000796859 0.28759
1.75 0.000531749 3.27865e-05 7.97769e-05 0.00020102 0.28759
# M_{ee}: 0.76-1.05 (GeV/c^{2})
0.25 0.00207904 0.000138498 0.000320103 0.00195131 0.19604
0.75 0.00235456 0.000138884 0.000357534 0.00235426 0.19604
1.25 0.00152604 8.39733e-05 0.000228394 0.00123238 0.19604
1.75 0.000742771 4.26088e-05 0.000123293 0.000493635 0.19604
# M_{ee}: 1.05-1.8 (GeV/c^{2})
0.25 0.00017264 2.66201e-05 3.45342e-05 0.000220521 0.157415
0.75 0.000406019 3.46477e-05 7.68207e-05 0.000313607 0.157415
1.25 0.00021179 2.6799e-05 3.99333e-05 0.000162061 0.157415
1.75 0.000118141 1.78933e-05 2.21795e-05 5.63461e-05 0.157415
# M_{ee}: 1.8-2.8 (GeV/c^{2})
0.25 2.43535e-05 5.64615e-06 4.80283e-06 2.39588e-05 0.180467
0.75 5.452e-05 7.79866e-06 8.59253e-06 4.45516e-05 0.180467
1.25 5.33708e-05 7.48419e-06 8.21166e-06 3.26206e-05 0.180467
1.75 2.25122e-05 6.5777e-06 5.44016e-06 1.75049e-05 0.180467
# M_{ee}: 2.8-3.5 (GeV/c^{2})
0.25 2.22203e-05 1.68478e-06 3.24781e-06 1.61576e-05 0.162297
0.75 3.63617e-05 2.65841e-06 5.10288e-06 3.89125e-05 0.162297
1.25 4.74699e-05 3.05775e-06 6.65336e-06 4.36313e-05 0.162297
1.75 3.84589e-05 3.01738e-06 5.40684e-06 3.65157e-05 0.162297
