# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.  ratio.  ratio(Rapp).  ratio(PHSD).
# Central
0.005 0.01 19.9134 0.018426 2.58874 28.6012 0.696245 1.01258 1
0.015 0.01 5.4378 0.00951901 0.706914 7.86242 0.691619 1.00863 1.00332
0.025 0.01 2.85204 0.00760055 0.370765 4.37275 0.652231 1.01551 1.002
0.035 0.01 1.88921 0.00719245 0.245597 2.82127 0.669632 1.02405 1.00184
0.045 0.01 1.34463 0.00726085 0.174802 2.03795 0.659797 1.03328 1.00183
0.055 0.01 0.993683 0.00729608 0.129179 1.43767 0.691178 1.03033 1.00204
0.065 0.01 0.735771 0.00768852 0.0956515 1.08152 0.680313 1.04033 1.00224
0.075 0.01 0.537178 0.00780785 0.0698353 0.752424 0.71393 1.05795 1.00267
0.085 0.01 0.379907 0.00815864 0.0493918 0.529501 0.717481 1.08234 1.00332
0.095 0.01 0.22419 0.00832999 0.0291524 0.340552 0.658313 1.12806 1.00466
0.105 0.01 0.144746 0.0088264 0.0188313 0.221138 0.65455 1.17404 1.00622
0.1175 0.015 0.102866 0.0074794 0.0133965 0.116792 0.880761 1.32961 1.0099
0.1425 0.035 0.0501957 0.0053609 0.00658991 0.0653821 0.767728 1.55289 1.01488
0.19 0.06 0.0425676 0.00459589 0.00566584 0.0469554 0.906554 1.5908 1.01973
0.2725 0.105 0.0348765 0.00406157 0.00513824 0.0305421 1.14192 1.63889 1.03134
0.4125 0.175 0.0308631 0.00375688 0.00595111 0.0171107 1.80373 2.04699 1.4818
0.57 0.14 0.0301893 0.00425181 0.0059394 0.0121482 2.48509 2.54883 2.1334
0.69 0.1 0.0285976 0.00430859 0.00512661 0.0109327 2.61579 2.97379 2.56492
0.7575 0.035 0.0316197 0.00653276 0.00505746 0.0231801 1.36409 1.95742 1.72064
0.78 0.01 0.0427182 0.0118329 0.00621826 0.0755319 0.565565 1.26877 1.19235
0.8075 0.045 0.0144623 0.00533171 0.00319401 0.0217105 0.666143 1.66668 1.4825
0.8725 0.085 0.0126262 0.00348809 0.00265124 0.00776195 1.62668 1.88015 1.65397
0.9575 0.085 0.00851748 0.00303004 0.00195928 0.00902689 0.943567 1.53023 1.30606
1.0075 0.015 0.0273754 0.00474049 0.00383005 0.0396054 0.691203 1.07828 1.05577
1.0175 0.005 0.0637578 0.00808307 0.00839836 0.0725996 0.878211 1.04269 1.02986
1.025 0.01 0.0474625 0.00564643 0.00645211 0.0539499 0.879752 1.05748 1.03884
1.06 0.06 0.00658569 0.00216119 0.00191421 0.00852802 0.772241 1.36358 1.22323
1.15 0.12 0.00466292 0.00131576 0.00229695 0.00419385 1.11185 1.49427 1.35463
1.3025 0.185 0.00280448 0.000831145 0.0013736 0.00293887 0.954272 1.38601 1.33176
1.5 0.21 0.00167247 0.000574066 0.000699478 0.00189184 0.884043 1.28588 1.30375
1.71 0.21 0.00133149 0.000419953 0.000381768 0.00119129 1.11768 1.21837 1.282
1.9575 0.285 0.000567419 0.000254616 0.000177031 0.000713268 0.79552 1.17045 1.264
2.275 0.35 0.000228935 0.000150866 7.05881e-05 0.000396597 0.577249 1.11878 1.24651
2.605 0.31 0.000136754 0.000105302 3.82779e-05 0.000250507 0.545909 1.07413 1.21547
2.8725 0.225 0.000127118 8.98931e-05 3.35261e-05 0.000264322 0.480922 1.03323 1.13432
3 0.03 0.000732166 0.000216451 9.54702e-05 0.000519754 1.40868 1.0117 1.05722
3.03 0.03 0.00114938 0.000213061 0.00014958 0.000962811 1.19378 1.00546 1.02937
3.0575 0.025 0.00219901 0.000238678 0.000285945 0.00219889 1.00005 1.00239 1.01236
3.075 0.01 0.00342375 0.000388217 0.000445132 0.0033296 1.02828 1.00161 1.00793
3.085 0.01 0.00275605 0.000375824 0.000358339 0.00379748 0.725757 1.00138 1.00685
3.0925 0.005 0.0037475 0.000549349 0.000487212 0.00391616 0.956931 1.00137 1.00653
3.1 0.01 0.00401149 0.000388531 0.000521528 0.00379145 1.05804 1.0012 1.0067
3.1175 0.025 0.00255448 0.000228965 0.000332131 0.00279041 0.915448 1.00142 1.0088
3.135 0.01 0.0011104 0.000332777 0.000144454 0.00159262 0.697217 1.00252 1.01495
3.2075 0.135 0.000233898 8.05779e-05 3.07716e-05 0.000313667 0.745688 1.01106 1.06932
3.4725 0.395 0.00012023 3.59309e-05 1.58661e-05 8.1399e-05 1.47705 1.02173 1.19564
3.86 0.38 6.13254e-05 2.48502e-05 8.07062e-06 5.73478e-05 1.06936 1.01081 1.07354
4.225 0.35 2.93556e-05 1.83183e-05 3.86966e-06 3.32135e-05 0.883847 1.00703 1
# 10-40%
0.005 0.01 11.5631 0.00733509 1.61027 13.2602 0.872016 1.00998 1
0.015 0.01 3.17043 0.00364179 0.441462 3.63861 0.871329 1.00688 1.00298
0.025 0.01 1.66907 0.00267572 0.232886 2.02277 0.82514 1.01238 1.00178
0.035 0.01 1.09939 0.00230618 0.153808 1.31381 0.836793 1.01906 1.00165
0.045 0.01 0.790901 0.00214528 0.110669 0.945552 0.836444 1.02647 1.00164
0.055 0.01 0.580404 0.0020607 0.0813321 0.676544 0.857896 1.02356 1.00178
0.065 0.01 0.430233 0.00201444 0.0603464 0.504528 0.852743 1.0316 1.00196
0.075 0.01 0.325401 0.00203468 0.0458098 0.344834 0.943644 1.04623 1.00242
0.085 0.01 0.227768 0.0020314 0.0321256 0.24473 0.930692 1.06512 1.00295
0.095 0.01 0.155285 0.00206312 0.0218389 0.15976 0.971991 1.09978 1.004
0.105 0.01 0.0981693 0.00211 0.0138769 0.102129 0.961225 1.13838 1.00553
0.1175 0.015 0.0596019 0.00175331 0.0084009 0.0553017 1.07776 1.25549 1.00867
0.1425 0.035 0.0383711 0.00122169 0.00542225 0.0305712 1.25514 1.43365 1.01292
0.185 0.05 0.0293319 0.00112312 0.00425705 0.0225411 1.30126 1.46633 1.01523
0.26 0.1 0.0185442 0.000901864 0.00276339 0.0149067 1.24402 1.49119 1.01808
0.36 0.1 0.0128227 0.00101966 0.00211516 0.00937604 1.3676 1.68001 1.25328
0.46 0.1 0.0117809 0.00115473 0.0018295 0.00621167 1.89658 2.08143 1.80989
0.56 0.1 0.00919084 0.00112889 0.00176944 0.00524407 1.75261 2.33218 2.2871
0.655 0.09 0.00959297 0.00107316 0.00175694 0.00453934 2.11329 2.71361 2.88497
0.74 0.08 0.0113696 0.00101201 0.00175533 0.00903078 1.25898 1.9237 2.26686
0.7825 0.005 0.0342357 0.00381717 0.00514882 0.0374076 0.915206 1.20084 1.27517
0.7875 0.005 0.029607 0.00378859 0.00456706 0.0291697 1.01499 1.24433 1.35299
0.815 0.05 0.0091575 0.0011437 0.00177945 0.00654227 1.39974 1.7709 2.25118
0.895 0.11 0.00408993 0.000681467 0.000649038 0.00314496 1.30047 1.7207 2.00788
0.975 0.05 0.00594296 0.000894056 0.000993524 0.00452409 1.31363 1.40368 1.33962
1.005 0.01 0.0149464 0.00171217 0.00214699 0.014619 1.0224 1.08168 1.08832
1.0125 0.005 0.0266226 0.00223992 0.00386037 0.0285918 0.931127 1.04178 1.04198
1.02 0.01 0.0290478 0.0015843 0.00423684 0.0339264 0.856201 1.03519 1.0342
1.0325 0.015 0.00948853 0.00125085 0.00163433 0.0130309 0.728155 1.09166 1.08436
1.065 0.05 0.00241504 0.000647834 0.000828696 0.00272603 0.885919 1.43812 1.36164
1.17 0.16 0.00194251 0.000309595 0.000688255 0.00162698 1.19394 1.4483 1.40881
1.325 0.15 0.00158642 0.000250732 0.000427003 0.00112347 1.41207 1.36357 1.3632
1.475 0.15 0.00122128 0.000200436 0.000285371 0.000803382 1.52017 1.26714 1.33838
1.6375 0.175 0.000945334 0.000147024 0.000199125 0.000563216 1.67846 1.22162 1.31939
1.85 0.25 0.000534019 9.22126e-05 0.000102968 0.000358754 1.48854 1.16798 1.29594
2.1 0.25 0.000232542 6.60003e-05 4.87143e-05 0.000218961 1.06202 1.12233 1.27782
2.3625 0.275 0.000162129 4.52643e-05 3.25912e-05 0.000140245 1.15604 1.08493 1.26014
2.65 0.3 0.000115256 3.08385e-05 2.412e-05 0.000100313 1.14897 1.04942 1.22081
2.895 0.19 0.000134207 2.95649e-05 2.45566e-05 0.000121402 1.10548 1.01924 1.1242
3.0125 0.045 0.000355171 5.5537e-05 5.14412e-05 0.000304057 1.16811 1.0052 1.04139
3.045 0.02 0.000847425 8.61013e-05 0.000116635 0.000690715 1.22688 1.0021 1.01746
