# Npart   dN/dM_{ee}   stat.  syst.  cock.  cock_un(100%).
# M_{ee}: 0.0-0.15 (GeV/c^{2})
325.9 2.31578 0.0024636 0.301051 3.36018 0.107169
172.57 1.35326 0.00075972 0.188377 1.55837 0.107169
41.53 0.248525 0.000201919 0.0346458 0.320214 0.107169
# M_{ee}: 0.15-0.30 (GeV/c^{2})
325.9 0.039702 0.00320682 0.00540267 0.0399431 0.311632
172.57 0.0234982 0.000703093 0.00337337 0.0185266 0.311632
41.53 0.00412488 0.000105825 0.000584844 0.00417276 0.311632
# M_{ee}: 0.3-0.76 (GeV/c^{2})
325.9 0.0296282 0.00220402 0.00448776 0.0146258 0.286812
172.57 0.0104493 0.000483445 0.00154075 0.00639344 0.286812
41.53 0.00185823 7.18992e-05 0.000265884 0.00123297 0.286812
# M_{ee}: 0.76-1.05 (GeV/c^{2})
325.9 0.0171778 0.00181579 0.00243128 0.0187587 0.196037
172.57 0.00954183 0.000442775 0.00137308 0.00857621 0.196037
41.53 0.00174542 6.60962e-05 0.000251533 0.00164992 0.196037
# M_{ee}: 1.05-1.8 (GeV/c^{2})
325.9 0.00249344 0.000372297 0.00062374 0.00254553 0.157899
172.57 0.00137343 0.00010635 0.000255337 0.00103445 0.157899
41.53 0.000179396 1.48789e-05 6.97334e-05 0.000152289 0.157899
# M_{ee}: 1.8-2.8 (GeV/c^{2})
325.9 0.000304602 9.8121e-05 6.77021e-05 0.000443084 0.181846
172.57 0.000223021 2.92238e-05 3.62067e-05 0.00018099 0.181846
41.53 3.7005e-05 3.95753e-06 7.89395e-06 2.71025e-05 0.181846
# M_{ee}: 2.8-3.5 (GeV/c^{2})
325.9 0.000558154 4.03538e-05 7.30898e-05 0.000607958 0.162226
172.57 0.000301473 1.25887e-05 4.17347e-05 0.000279117 0.162226
41.53 5.35299e-05 2.01914e-06 7.56388e-06 6.10117e-05 0.162226
