# M_{ee}  dN/dM(GeV/c^2)(a)    (b)    (c)    (d)
0.025 0.000453762 0.000496494 0.000557453 0.000575159
0.075 0.00130644 0.00143535 0.00161108 0.00166015
0.125 0.00208803 0.0022945 0.0025707 0.00264677
0.175 0.00280696 0.0030847 0.00343829 0.00353868
0.225 0.00346942 0.00380615 0.0042185 0.00433875
0.275 0.00409354 0.00447419 0.00492379 0.005061
0.325 0.00469451 0.00510953 0.00557576 0.00573644
0.375 0.00530854 0.00575206 0.00622614 0.00640366
0.425 0.00602845 0.00647763 0.00697146 0.00717628
0.475 0.00678193 0.00722477 0.00773883 0.00796417
0.525 0.00739413 0.00781526 0.00831502 0.00855738
0.575 0.00778115 0.00816969 0.00865164 0.00889073
0.625 0.00795847 0.00828688 0.00873124 0.00894244
0.675 0.00792544 0.00820151 0.0085733 0.0087507
0.725 0.00772129 0.00794017 0.00823472 0.00836462
0.775 0.00740085 0.00754845 0.00775443 0.0078392
0.825 0.00698011 0.00708302 0.0071845 0.00722385
0.875 0.00651429 0.0065445 0.00657021 0.00656924
0.925 0.00601912 0.00599931 0.00594165 0.00591086
0.975 0.0055017 0.00544511 0.00532701 0.00526139
1.025 0.00500905 0.00491884 0.0047332 0.00464768
1.075 0.00453164 0.00440649 0.00418319 0.00408056
1.125 0.00408913 0.00392931 0.00368007 0.00356398
1.175 0.0036768 0.00350163 0.00322274 0.00310065
1.225 0.00329363 0.00310483 0.0028126 0.00269004
1.275 0.00294348 0.00274522 0.00244783 0.00232519
1.325 0.00262532 0.00242687 0.00212641 0.00200199
1.375 0.00233842 0.00213512 0.00184128 0.00172225
1.425 0.00208663 0.00187622 0.00159332 0.0014793
1.475 0.0018572 0.00165516 0.001377 0.00127119
1.525 0.00165101 0.00145162 0.00119187 0.00108765
1.575 0.00146787 0.00127389 0.00102578 0.000931478
1.625 0.0013023 0.00111631 0.000884876 0.000795315
1.675 0.00115997 0.000980244 0.000761297 0.000679901
1.725 0.00102902 0.000856747 0.00065705 0.000582614
1.775 0.000918973 0.000750283 0.000566085 0.000498995
1.825 0.00081485 0.000662388 0.000490659 0.000426489
1.875 0.00072246 0.000578233 0.000420916 0.000364989
1.925 0.000644969 0.000508094 0.000364698 0.000311818
1.975 0.000574221 0.000445113 0.000314892 0.000266092
2.025 0.000509575 0.000390664 0.000270757 0.000229235
2.075 0.000454657 0.000342534 0.00023509 0.000195556
2.125 0.000403972 0.000301659 0.00020313 0.000166337
2.175 0.000361642 0.000265656 0.000174048 0.000142613
2.225 0.000321457 0.000233569 0.000150681 0.0001231
2.275 0.000288154 0.000205465 0.000130266 0.000105338
2.325 0.000257115 0.000181216 0.000113987 9.02278e-05
2.375 0.000230086 0.000159936 9.83429e-05 7.69346e-05
2.425 0.000205774 0.000140912 8.54917e-05 6.6031e-05
2.475 0.000183733 0.000124659 7.39274e-05 5.63518e-05
2.525 0.000164269 0.000109951 6.3774e-05 4.8312e-05
2.575 0.000148153 9.66139e-05 5.53858e-05 4.22682e-05
2.625 0.000131769 8.58575e-05 4.78041e-05 3.64625e-05
2.675 0.000118957 7.61743e-05 4.22109e-05 3.14496e-05
