# M_{ee}  Teff(a)    (b)    (c)    (d)
1.05001 0.196883 0.188072 0.185397 0.201049
1.10001 0.196091 0.187014 0.184007 0.199937
1.15002 0.195453 0.186168 0.182705 0.199063
1.20002 0.194651 0.185218 0.181588 0.198153
1.25002 0.193695 0.184006 0.180301 0.197195
1.30003 0.192768 0.182819 0.179013 0.196133
1.35004 0.191758 0.181655 0.17784 0.195208
1.40004 0.190797 0.18034 0.176454 0.193972
1.45005 0.18965 0.179171 0.175132 0.193042
1.50005 0.188627 0.178071 0.174314 0.192153
1.55005 0.187557 0.176904 0.172825 0.191117
1.60006 0.186532 0.175671 0.171672 0.190104
1.65007 0.185491 0.174137 0.170456 0.188973
1.70007 0.184299 0.173025 0.169182 0.188132
1.75008 0.182996 0.171662 0.167854 0.187089
1.80008 0.182036 0.170078 0.166625 0.186083
1.85008 0.18054 0.16853 0.165461 0.184948
1.90009 0.178878 0.167014 0.164272 0.184278
1.9501 0.177569 0.165891 0.163199 0.18316
2.0001 0.176535 0.164869 0.161581 0.182258
2.05011 0.17545 0.163404 0.160432 0.181189
2.10011 0.173896 0.162363 0.159534 0.180253
2.15012 0.173166 0.160835 0.158478 0.179491
2.20012 0.171339 0.159354 0.157113 0.178668
2.25012 0.1708 0.157445 0.156123 0.177308
2.30013 0.168689 0.156406 0.155361 0.176753
2.35013 0.16746 0.155029 0.153556 0.174972
2.40014 0.166269 0.153883 0.152607 0.175256
2.45015 0.165464 0.15309 0.151529 0.17383
2.50015 0.163621 0.151442 0.150569 0.173278
2.55016 0.163012 0.15073 0.149116 0.171912
2.60016 0.16118 0.149328 0.148236 0.170827
2.65017 0.160816 0.148125 0.147542 0.17049
2.70017 0.159652 0.146029 0.145696 0.169588
2.75018 0.157859 0.145595 0.144913 0.169484
