# p_{T}  eff.*acc.(omega)   eff.*acc.(phi)
0.05 0.0431677 0.0469922
0.15 0.0429323 0.0463542
0.25 0.0404066 0.0453812
0.35 0.03875 0.0446066
0.45 0.0369546 0.0429268
0.55 0.0346031 0.0425029
0.65 0.0313948 0.041472
0.75 0.0318527 0.0402984
0.85 0.0325161 0.0399232
0.95 0.0345763 0.0392724
1.05 0.0364043 0.0390322
1.15 0.0378381 0.0394737
1.25 0.0389015 0.0398592
1.35 0.0401512 0.0408778
1.45 0.0428117 0.0421587
1.55 0.0427871 0.043617
1.65 0.0460404 0.0456246
1.75 0.0468006 0.0472645
1.85 0.0531509 0.047519
1.95 0.0503311 0.0500614
2.05 0.0549726 0.0506007
2.15 0.0529816 0.0534062
2.25 0.049954 0.0547038
2.35 0.059485 0.0538821
2.45 0.0575902 0.0587256
2.55 0.0558454 0.0590304
2.65 0.0640394 0.0592102
2.75 0.061916 0.0602722
2.85 0.066506 0.0594823
2.95 0.0624074 0.059777
