# M_{ee}   STAR   STARwPHENIXacc
0.0125 0.934449 0.177989
0.0375 0.934638 0.181138
0.0625 0.943461 0.188256
0.0875 0.953119 0.199565
0.1125 0.964987 0.216806
0.1375 0.976563 0.241756
0.175 0.993056 0.299779
0.225 1.01077 0.423894
0.275 1.0193 0.625288
0.325 1.01019 0.916417
0.375 1.00397 1.30713
0.425 0.999652 1.62901
0.475 0.998495 1.64148
0.55 0.997887 1.44557
0.65 0.998109 1.21022
0.75 0.998503 1.05831
0.85 0.999027 0.970778
0.95 0.999563 0.921079
1.05 0.999665 0.894849
1.15 0.99956 0.882622
1.25 0.999628 0.879301
1.35 0.999581 0.88173
1.45 0.999743 0.88609
1.575 1.00021 0.893251
1.725 1.00034 0.902878
1.875 0.999682 0.91083
2.025 1.00049 0.919816
2.2 0.999504 0.926555
2.4 1.00069 0.938033
2.6 1.00157 0.944621
2.8 0.999902 0.949409
3 0.999521 0.955984
3.2 1.00154 0.961132
3.4 0.999813 0.967672
3.6 0.997048 0.961359
3.8 0.998002 0.96615
4 1.00534 0.971428
4.2 0.992568 0.960345
4.65 0.998966 0.978561
