# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  cock.   cock_syst.
0.005 0.01 0.452262 0.00150994 0.0587941 0.556515 0.0586762
0.015 0.01 0.124629 0.000748598 0.0162018 0.150794 0.0160867
0.025 0.01 0.0666996 0.000548483 0.00867095 0.0846061 0.00911421
0.035 0.01 0.0440375 0.000462441 0.00572489 0.0550194 0.0060359
0.045 0.01 0.0307933 0.000407382 0.00400316 0.0400202 0.00447653
0.055 0.01 0.0257677 0.000471825 0.00334986 0.029438 0.00336025
0.065 0.01 0.0196904 0.000442443 0.00255987 0.0215029 0.0026021
0.075 0.01 0.0147054 0.000415922 0.0019119 0.016552 0.00211849
0.085 0.01 0.0103638 0.000422429 0.00134766 0.011339 0.00158844
0.095 0.01 0.00626675 0.000431026 0.000815437 0.00793399 0.00127073
0.105 0.01 0.0043215 0.000477431 0.000563107 0.00514147 0.000979826
0.1175 0.015 0.00309202 0.000398178 0.00040458 0.00296005 0.000746885
0.1425 0.035 0.00201558 0.00027525 0.00026693 0.00180058 0.000575507
0.185 0.05 0.00183001 0.000298005 0.00024903 0.0015253 0.000485695
0.245 0.07 0.00162487 0.000366303 0.00024266 0.00132338 0.000414276
0.34 0.12 0.00240168 0.000636047 0.000392335 0.00119295 0.000360731
0.455 0.11 0.00269476 0.000850867 0.00058553 0.00097217 0.000278086
0.57 0.12 0.00185376 0.000717055 0.000495264 0.000813732 0.000226121
0.68 0.1 0.00211284 0.000613919 0.000418985 0.000655325 0.000188823
0.755 0.05 0.00057986 0.000729987 0.000269042 0.00165651 0.000501739
0.7825 0.005 0.00814424 0.00216282 0.00108296 0.00533962 0.00170105
0.7875 0.005 0.00252847 0.00225176 0.000396257 0.00410595 0.00129237
0.7925 0.005 0.00226278 0.00219643 0.0003643 0.00251019 0.000763506
0.8275 0.065 0.00106323 0.000540422 0.000244766 0.000643097 0.000143287
0.91 0.1 0.000708368 0.000358084 0.000175816 0.000411859 6.23984e-05
0.98 0.04 0.00183721 0.000492972 0.00026678 0.00063851 8.11795e-05
1.005 0.01 0.00135794 0.000603819 0.000248445 0.00196337 0.000213956
1.0125 0.005 0.00404288 0.000855924 0.000550846 0.0038098 0.0003988
1.02 0.01 0.00432822 0.000604333 0.000591866 0.00448113 0.000465398
1.0325 0.015 0.00192362 0.000477273 0.000303853 0.00173584 0.000190435
1.07 0.06 0.000604518 0.000221791 0.000170433 0.000347027 5.06247e-05
1.17 0.14 0.000267249 0.000122781 0.000111037 0.000219203 3.50405e-05
1.3325 0.185 0.000226517 8.27812e-05 7.24368e-05 0.00015626 2.53118e-05
1.5375 0.225 0.000135927 5.56034e-05 4.19606e-05 0.000104621 1.72082e-05
1.7375 0.175 0.000103476 4.78633e-05 2.62851e-05 7.0791e-05 1.18406e-05
1.9125 0.175 3.83758e-05 3.80187e-05 1.49502e-05 5.08315e-05 8.68314e-06
2.1125 0.225 4.35451e-05 2.62628e-05 1.15807e-05 3.55467e-05 6.25289e-06
2.3575 0.265 1.90157e-05 1.7975e-05 6.55189e-06 2.41253e-05 4.42645e-06
2.62 0.26 2.55626e-05 1.34619e-05 5.37254e-06 1.76062e-05 3.3409e-06
2.85 0.2 1.93376e-05 1.18928e-05 3.93763e-06 1.8297e-05 3.37087e-06
2.975 0.05 5.292e-05 2.14284e-05 7.4171e-06 3.00048e-05 5.1137e-06
3.0175 0.035 8.96082e-05 2.53941e-05 1.16648e-05 5.5982e-05 8.98232e-06
3.045 0.02 0.00013947 3.43594e-05 1.81402e-05 0.000119514 1.84711e-05
3.0625 0.015 0.000163048 4.00386e-05 2.12035e-05 0.00020686 3.16149e-05
3.0725 0.005 0.00025097 7.32411e-05 3.26303e-05 0.000259351 3.94352e-05
3.0825 0.015 0.000234233 4.16236e-05 3.04548e-05 0.000304659 4.62228e-05
3.0925 0.005 0.000217197 7.01051e-05 2.82401e-05 0.000323285 4.90833e-05
3.0975 0.005 0.00034887 7.74105e-05 4.5356e-05 0.000322568 4.89697e-05
3.11 0.02 0.000245593 3.54105e-05 3.19308e-05 0.000272742 4.14732e-05
3.14 0.04 0.000100861 2.16844e-05 1.31202e-05 0.000113644 1.75679e-05
3.28 0.24 7.36283e-06 6.91095e-06 1.01894e-06 1.10453e-05 2.16487e-06
3.625 0.45 4.98337e-06 3.62224e-06 6.74549e-07 5.61517e-06 1.40474e-06
4.125 0.55 4.72778e-06 2.11008e-06 6.19217e-07 2.71001e-06 7.15186e-07
