# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.  sum(rapp).   sum_syst.
0.005 0.01 0.452262 0.00150994 0.0587941 0.558475 0.0586861
0.015 0.01 0.124629 0.000748598 0.0162018 0.15281 0.0160968
0.025 0.01 0.0666996 0.000548483 0.00867095 0.08661 0.00912423
0.035 0.01 0.0440375 0.000462441 0.00572489 0.0570174 0.00604589
0.045 0.01 0.0307933 0.000407382 0.00400316 0.0419681 0.00448627
0.055 0.01 0.0257677 0.000471825 0.00334986 0.0304446 0.00336529
0.065 0.01 0.0196904 0.000442443 0.00255987 0.0224997 0.00260708
0.075 0.01 0.0147054 0.000415922 0.0019119 0.0175577 0.00212352
0.085 0.01 0.0103638 0.000422429 0.00134766 0.0123533 0.00159351
0.095 0.01 0.00626675 0.000431026 0.000815437 0.00893138 0.00127572
0.105 0.01 0.0043215 0.000477431 0.000563107 0.0058394 0.000983316
0.1175 0.015 0.00309202 0.000398178 0.00040458 0.0036647 0.000750409
0.1425 0.035 0.00201558 0.00027525 0.00026693 0.00248405 0.000578924
0.185 0.05 0.00183001 0.000298005 0.00024903 0.00212246 0.000488681
0.245 0.07 0.00162487 0.000366303 0.00024266 0.00189527 0.000417135
0.34 0.12 0.00240168 0.000636047 0.000392335 0.00187744 0.000364154
0.455 0.11 0.00269476 0.000850867 0.00058553 0.00192181 0.000282834
0.57 0.12 0.00185376 0.000717055 0.000495264 0.00186489 0.000231376
0.68 0.1 0.00211284 0.000613919 0.000418985 0.00176711 0.000194382
0.755 0.05 0.00057986 0.000729987 0.000269042 0.00271824 0.000507048
0.7825 0.005 0.00814424 0.00216282 0.00108296 0.00625862 0.00170564
0.7875 0.005 0.00252847 0.00225176 0.000396257 0.00497582 0.00129672
0.7925 0.005 0.00226278 0.00219643 0.0003643 0.00332517 0.000767581
0.8275 0.065 0.00106323 0.000540422 0.000244766 0.0011795 0.000145969
0.91 0.1 0.000708368 0.000358084 0.000175816 0.0006612 6.36451e-05
0.98 0.04 0.00183721 0.000492972 0.00026678 0.000848728 8.22306e-05
1.005 0.01 0.00135794 0.000603819 0.000248445 0.00212485 0.000214763
1.0125 0.005 0.00404288 0.000855924 0.000550846 0.00395918 0.000399546
1.02 0.01 0.00432822 0.000604333 0.000591866 0.00462773 0.000466131
1.0325 0.015 0.00192362 0.000477273 0.000303853 0.00188075 0.000191159
1.07 0.06 0.000604518 0.000221791 0.000170433 0.000484275 5.1311e-05
1.17 0.14 0.000267249 0.000122781 0.000111037 0.000304028 3.54646e-05
1.3325 0.185 0.000226517 8.27812e-05 7.24368e-05 0.000202375 2.55423e-05
1.5375 0.225 0.000135927 5.56034e-05 4.19606e-05 0.000126329 1.73167e-05
1.7375 0.175 0.000103476 4.78633e-05 2.62851e-05 8.17462e-05 1.18954e-05
1.9125 0.175 3.83758e-05 3.80187e-05 1.49502e-05 5.69878e-05 8.71392e-06
2.1125 0.225 4.35451e-05 2.62628e-05 1.15807e-05 3.8841e-05 6.26937e-06
2.3575 0.265 1.90157e-05 1.7975e-05 6.55189e-06 2.57157e-05 4.4344e-06
2.62 0.26 2.55626e-05 1.34619e-05 5.37254e-06 1.83066e-05 3.3444e-06
2.85 0.2 1.93376e-05 1.18928e-05 3.93763e-06 1.86575e-05 3.37267e-06
2.975 0.05 5.292e-05 2.14284e-05 7.4171e-06 3.02492e-05 5.11493e-06
3.0175 0.035 8.96082e-05 2.53941e-05 1.16648e-05 5.61848e-05 8.98333e-06
3.045 0.02 0.00013947 3.43594e-05 1.81402e-05 0.000119707 1.8472e-05
3.0625 0.015 0.000163048 4.00386e-05 2.12035e-05 0.000207048 3.16158e-05
3.0725 0.005 0.00025097 7.32411e-05 3.26303e-05 0.00025951 3.9436e-05
3.0825 0.015 0.000234233 4.16236e-05 3.04548e-05 0.000304824 4.62236e-05
3.0925 0.005 0.000217197 7.01051e-05 2.82401e-05 0.000323453 4.90841e-05
3.0975 0.005 0.00034887 7.74105e-05 4.5356e-05 0.000322723 4.89705e-05
3.11 0.02 0.000245593 3.54105e-05 3.19308e-05 0.000272899 4.1474e-05
3.14 0.04 0.000100861 2.16844e-05 1.31202e-05 0.000113801 1.75687e-05
3.28 0.24 7.36283e-06 6.91095e-06 1.01894e-06 1.11468e-05 2.16538e-06
3.625 0.45 4.98337e-06 3.62224e-06 6.74549e-07 5.65497e-06 1.40494e-06
4.125 0.55 4.72778e-06 2.11008e-06 6.19217e-07 2.71936e-06 7.15233e-07
