# p   purity_mb    purity_mb_errL   purity_mb_errH   purity_c   purity_c_errL   purity_c_errH  
0.22 0.977665 0 0 0.9548 0 0
0.26 0.99313 0 0 0.984176 0 0
0.3 0.997439 0 0 0.993936 0 0
0.34 0.99868 0 0 0.997007 0 0
0.38 0.998808 0 0 0.997633 0 0
0.42 0.994828 0 0 0.989722 0 0
0.46 0.969646 0 0 0.947049 0 0
0.5 0.924677 0 0 0.884532 0 0
0.54 0.819 0.300604 0.181 0.770657 0.305514 0.229343
0.58 0.8254 0 0 0.786557 0 0
0.62 0.852973 0 0 0.818136 0 0
0.66 0.886432 0 0 0.858317 0 0
0.7 0.917149 0 0 0.897602 0 0
0.74 0.939052 0 0 0.924992 0 0
0.78 0.946945 0 0 0.930738 0 0
0.82 0.937437 0 0 0.910265 0 0
0.86 0.908752 0 0 0.863198 0 0
0.9 0.869643 0 0 0.822064 0 0
0.94 0.813734 0.0667912 0.0667912 0.731454 0.112203 0.112203
0.98 0.786293 0.132549 0.132549 0.693686 0.164697 0.164697
1.02 0.757633 0.372696 0.242367 0.672165 0.33135 0.327835
1.06 0.762536 0.297633 0.237464 0.683083 0.264579 0.264579
1.1 0.804705 0.117986 0.117986 0.738096 0.112421 0.112421
1.14 0.756816 0.219826 0.219826 0.699456 0.216355 0.216355
1.18 0.786756 0.189757 0.189757 0.735286 0.176992 0.176992
1.22 0.751542 0 0 0.703807 0 0
1.26 0.797535 0 0 0.755728 0 0
1.3 0.83388 0 0 0.799971 0 0
1.34 0.856796 0 0 0.8327 0 0
1.38 0.877214 0 0 0.853159 0 0
1.42 0.895001 0 0 0.867731 0 0
1.46 0.90576 0 0 0.882454 0 0
1.5 0.910955 0 0 0.89007 0 0
1.54 0.919493 0 0 0.893756 0 0
1.58 0.92371 0 0 0.896083 0 0
1.62 0.919843 0 0 0.893688 1.23592e-06 1.23592e-06
1.66 0.916725 0.00302915 0.00302915 0.885149 0.00277333 0.00277333
1.7 0.912994 0.0182378 0.0182378 0.885043 0.016129 0.016129
1.74 0.912706 0.0145371 0.0145371 0.885336 0.0120584 0.0120584
1.78 0.907861 0.00728135 0.00728135 0.881074 0.00861936 0.00861936
1.82 0.907123 0.00666466 0.00666466 0.87093 0.00573489 0.00573489
1.86 0.902965 0.00241408 0.00241408 0.87271 0.00247212 0.00247212
1.9 0.897235 0.000782459 0.000782459 0.861889 0.00158462 0.00158462
1.94 0.890428 0.00324035 0.00324035 0.856913 0.00562202 0.00562202
1.98 0.891709 0.0074854 0.0074854 0.845689 0.00888702 0.00888702
