Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub     
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 -0.000269 	 0.006867 	 0.005839 	 0.002077 	 0.001162 
0.495000 	 0.002923 	 0.002602 	 0.000526 	 0.000790 	 0.001162 
0.705000 	 0.012652 	 0.002195 	 0.000210 	 0.000112 	 0.001162 
0.885000 	 0.021058 	 0.002245 	 0.000192 	 0.000261 	 0.001162 
1.095000 	 0.026174 	 0.002581 	 0.000116 	 0.000220 	 0.001162 
1.275000 	 0.030790 	 0.003172 	 0.000594 	 0.000542 	 0.001162 
1.485000 	 0.036800 	 0.004098 	 0.001116 	 0.002031 	 0.001162 
1.695000 	 0.040028 	 0.005514 	 0.000976 	 0.000537 	 0.001162 
1.875000 	 0.038761 	 0.007629 	 0.000495 	 0.000971 	 0.001162 
2.145000 	 0.042143 	 0.008521 	 0.001704 	 0.002510 	 0.001162 
2.625000 	 0.020809 	 0.017097 	 0.008159 	 0.004138 	 0.001162 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.765000 	 -0.007079 	 0.016286 	 0.005635 	 0.006397 	 0.001162 
1.485000 	 -0.003200 	 0.029392 	 0.006720 	 0.003674 	 0.001162 
   
   
   
// beam energy:  	 11.5 GeV 
// Event plane method: eta-sub     
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 -0.000427 	 0.003521 	 0.001022 	 0.002889 	 0.000956 
0.495000 	 0.002846 	 0.001319 	 0.000316 	 0.000214 	 0.000956 
0.705000 	 0.014785 	 0.001105 	 0.000592 	 0.001195 	 0.000956 
0.885000 	 0.023762 	 0.001118 	 0.000378 	 0.000314 	 0.000956 
1.095000 	 0.034270 	 0.001268 	 0.000408 	 0.000796 	 0.000956 
1.275000 	 0.042770 	 0.001537 	 0.000313 	 0.000434 	 0.000956 
1.485000 	 0.053568 	 0.001955 	 0.000482 	 0.000261 	 0.000956 
1.695000 	 0.060019 	 0.002590 	 0.000577 	 0.001106 	 0.000956 
1.875000 	 0.059024 	 0.003517 	 0.000414 	 0.000756 	 0.000956 
2.085000 	 0.063635 	 0.004714 	 0.001952 	 0.001039 	 0.000956 
2.355000 	 0.075300 	 0.005395 	 0.001280 	 0.000694 	 0.000956 
2.805000 	 0.074652 	 0.010700 	 0.001254 	 0.001243 	 0.000956 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
