Print v2-spectra  
   
//-----------------------------------------------------------------------------------------  
// centrality:   
   
// beam energy:  	 7.7 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.006439 	 0.002808 	 0.002767 	 0.000945 	 0.000889 
0.495000 	 0.019654 	 0.001085 	 0.000577 	 0.000312 	 0.000889 
0.705000 	 0.036223 	 0.000940 	 0.001100 	 0.000503 	 0.000889 
0.885000 	 0.054121 	 0.000987 	 0.000118 	 0.000108 	 0.000889 
1.095000 	 0.078107 	 0.001159 	 0.000516 	 0.000469 	 0.000889 
1.275000 	 0.090889 	 0.001449 	 0.000389 	 0.000749 	 0.000889 
1.485000 	 0.106820 	 0.001895 	 0.000212 	 0.000113 	 0.000889 
1.695000 	 0.121606 	 0.002575 	 0.000416 	 0.000275 	 0.000889 
1.875000 	 0.131171 	 0.003585 	 0.000904 	 0.000484 	 0.000889 
2.085000 	 0.133380 	 0.004949 	 0.000964 	 0.000939 	 0.000889 
2.265000 	 0.142210 	 0.007057 	 0.001255 	 0.000644 	 0.000889 
2.625000 	 0.152974 	 0.008208 	 0.003917 	 0.001922 	 0.000889 
   
// ---------------- Particle species:  	 antiProton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.465000 	 -0.003939 	 0.012859 	 0.004540 	 0.001821 	 0.000889 
0.795000 	 -0.010125 	 0.008753 	 0.006818 	 0.003011 	 0.000889 
1.155000 	 0.024242 	 0.012587 	 0.003434 	 0.006190 	 0.000889 
1.635000 	 0.075055 	 0.018893 	 0.002967 	 0.002442 	 0.000889 
   
   
// beam energy:  	 11.5 GeV 
// Event plane method: eta-sub  
// ---------------- Particle species:  	 Proton 	  ---------------- 
pt 	 v2 	 v2_err(stat) 	 v2_err(syst,low) 	 v2_err(syst,high) 	 v2_err(glob) 
0.315000 	 0.012047 	 0.001708 	 0.000277 	 0.000196 	 0.000940 
0.495000 	 0.020220 	 0.000652 	 0.000100 	 0.000066 	 0.000940 
0.705000 	 0.038800 	 0.000561 	 0.000576 	 0.000269 	 0.000940 
0.885000 	 0.059514 	 0.000583 	 0.000550 	 0.000262 	 0.000940 
1.095000 	 0.082763 	 0.000675 	 0.000267 	 0.000142 	 0.000940 
1.275000 	 0.102705 	 0.000831 	 0.000234 	 0.000116 	 0.000940 
1.485000 	 0.120770 	 0.001068 	 0.000125 	 0.000159 	 0.000940 
1.695000 	 0.135948 	 0.001423 	 0.000735 	 0.000395 	 0.000940 
