# M_{ee}   dM_{ee}   dN/dM_{ee}(raw)   stat.  dN/dM_{ee}(background)   stat.  dN/dM_{ee}(signal)   stat.
0.005 0.01 0.584446 0.000483106 0.00230081 2.89422e-05 0.586747 0.000482238
0.015 0.01 0.188301 0.000283712 0.00785865 5.31603e-05 0.19616 0.000278687
0.025 0.01 0.109401 0.000232107 0.0141196 7.11597e-05 0.123521 0.00022093
0.035 0.01 0.0755405 0.000212649 0.0205313 8.59185e-05 0.0960717 0.000194519
0.045 0.01 0.0550923 0.000204548 0.0268908 9.84204e-05 0.081983 0.000179313
0.055 0.01 0.0414302 0.000203359 0.0334135 0.000109991 0.0748437 0.000171046
0.065 0.01 0.0312887 0.000205283 0.0397798 0.000120212 0.0710686 0.000166404
0.075 0.01 0.0232893 0.000208316 0.0455995 0.000129036 0.0688888 0.00016354
0.085 0.01 0.0164635 0.000212188 0.0512913 0.000137082 0.0677548 0.000161964
0.095 0.01 0.0111627 0.000217818 0.0571433 0.0001451 0.068306 0.000162452
0.105 0.01 0.00696769 0.000223148 0.0623411 0.000151909 0.0693088 0.000163458
0.1175 0.015 0.00403669 0.000187856 0.0678469 0.000129798 0.0718836 0.000135803
0.15 0.05 0.00262674 0.000112239 0.0813279 7.84026e-05 0.0839546 8.03156e-05
0.1875 0.025 0.00204528 0.000174008 0.0975861 0.000122377 0.0996314 0.000123704
0.255 0.11 0.00138083 9.27514e-05 0.121536 6.56797e-05 0.122917 6.54905e-05
0.355 0.09 0.00113475 0.000113849 0.150794 8.05175e-05 0.151929 8.04898e-05
0.455 0.11 0.000911882 0.000114821 0.188368 8.11168e-05 0.18928 8.1265e-05
0.57 0.12 0.000820557 0.000111446 0.193807 7.87198e-05 0.194627 7.88886e-05
0.69 0.12 0.000655306 9.9798e-05 0.155456 7.04951e-05 0.156111 7.06405e-05
0.765 0.03 0.000921495 0.000180002 0.126246 0.000127046 0.127167 0.000127515
0.7825 0.005 0.00256097 0.000430954 0.119765 0.000303075 0.122326 0.000306377
0.7875 0.005 0.0017661 0.000426554 0.117724 0.000300455 0.11949 0.000302779
0.795 0.01 0.00155905 0.000297285 0.114472 0.000209469 0.116031 0.000210953
0.845 0.09 0.000326785 9.14979e-05 0.0980814 6.46491e-05 0.0984082 6.47484e-05
0.9275 0.075 0.000256625 8.71149e-05 0.0740969 6.15533e-05 0.0743536 6.16457e-05
0.9825 0.035 0.00033902 0.000115763 0.0610103 8.17525e-05 0.0613493 8.19613e-05
1.005 0.01 0.00105834 0.000148968 0.0562523 1.47892e-05 0.0573107 0.000148232
1.0125 0.005 0.00173281 0.000209199 0.0547696 2.06378e-05 0.0565025 0.000208179
1.0175 0.005 0.00216635 0.000208296 0.0538383 2.04614e-05 0.0560047 0.000207289
1.0275 0.015 0.00125951 0.000117171 0.0519244 1.16013e-05 0.0531839 0.000116595
1.0825 0.095 0.000212766 4.18988e-05 0.0428763 4.18877e-06 0.043089 4.16889e-05
1.19 0.12 0.000152956 3.08464e-05 0.0293554 3.08353e-06 0.0295083 3.06919e-05
1.35 0.2 9.68079e-05 1.82298e-05 0.0170842 1.82189e-06 0.017181 1.81385e-05
1.55 0.2 6.18819e-05 1.3102e-05 0.0088145 1.3085e-06 0.00887638 1.30365e-05
1.7625 0.225 4.33436e-05 8.91311e-06 0.00457893 8.89083e-07 0.00462227 8.86866e-06
1.975 0.2 2.28134e-05 6.9311e-06 0.00246163 6.91395e-07 0.00248445 6.89653e-06
2.1625 0.175 1.6546e-05 5.72955e-06 0.00146891 5.70943e-07 0.00148546 5.70104e-06
2.3625 0.225 1.16694e-05 3.91441e-06 0.000879869 3.89694e-07 0.000891539 3.89497e-06
2.57 0.19 1.20748e-05 3.30829e-06 0.000525659 3.27776e-07 0.000537734 3.29202e-06
2.7575 0.185 8.68283e-06 2.69061e-06 0.000337535 2.66171e-07 0.000346218 2.67741e-06
2.92 0.14 1.20369e-05 2.60103e-06 0.000232877 2.54144e-07 0.000244914 2.58858e-06
3.005 0.03 1.9935e-05 5.24212e-06 0.000192874 4.99605e-07 0.000212809 5.21825e-06
3.0275 0.015 3.4487e-05 7.5044e-06 0.000183763 6.89777e-07 0.00021825 7.47263e-06
3.045 0.02 4.89262e-05 6.6141e-06 0.000176024 5.84605e-07 0.00022495 6.58821e-06
3.0625 0.015 8.25943e-05 8.12531e-06 0.00017093 6.65251e-07 0.000253525 8.09803e-06
3.0725 0.005 0.000107992 1.46473e-05 0.000165678 1.13417e-06 0.00027367 1.46033e-05
3.0825 0.015 0.0001046 8.32115e-06 0.000161857 6.47301e-07 0.000266457 8.29594e-06
3.0925 0.005 0.000123329 1.4789e-05 0.000157427 1.10555e-06 0.000280755 1.47476e-05
3.0975 0.005 0.000151639 1.54907e-05 0.000157969 1.10745e-06 0.000309608 1.54511e-05
3.1075 0.015 0.000123252 8.48485e-06 0.000153997 6.31313e-07 0.000277249 8.46133e-06
3.1225 0.015 8.80997e-05 7.85122e-06 0.000149083 6.21258e-07 0.000237183 7.8266e-06
3.1775 0.095 1.52408e-05 2.45993e-06 0.000133106 2.3324e-07 0.000148347 2.44885e-06
3.3125 0.175 3.0034e-06 1.5133e-06 0.000100617 1.49415e-07 0.00010362 1.5059e-06
3.625 0.45 2.31101e-06 7.03347e-07 5.52064e-05 6.90172e-08 5.75174e-05 6.99953e-07
