# M_{ee}   dM_{ee}   dN/dM_{ee}   stat.  syst.   cocktail.   cocktail_syst.
0.005 0.01 8.33203 0.0069259 1.08316 9.37227 0.985409
0.015 0.01 2.28177 0.00346573 0.29663 2.57115 0.272246
0.025 0.01 1.21626 0.00261807 0.158114 1.43038 0.15297
0.035 0.01 0.803894 0.00230844 0.104506 0.927696 0.101252
0.045 0.01 0.567653 0.0021576 0.0737949 0.667163 0.0742372
0.055 0.01 0.418665 0.00211304 0.0544265 0.477218 0.0549047
0.065 0.01 0.312469 0.00211815 0.0406211 0.356612 0.0427818
0.075 0.01 0.234309 0.00220938 0.0304605 0.248486 0.032016
0.085 0.01 0.162248 0.00219621 0.0210928 0.176582 0.0247296
0.095 0.01 0.10947 0.00224093 0.014232 0.114924 0.0186342
0.105 0.01 0.0681449 0.00232252 0.00886061 0.0748858 0.0145243
0.1175 0.015 0.0392145 0.00194137 0.00510148 0.0410507 0.0106555
0.15 0.05 0.0252575 0.00116595 0.00329134 0.0222128 0.00735418
0.1875 0.025 0.0199582 0.00179324 0.0026093 0.0171043 0.00566032
0.255 0.11 0.0137256 0.000974218 0.00182271 0.0118164 0.00386622
0.355 0.09 0.0116065 0.00123512 0.00158851 0.00741569 0.00237143
0.455 0.11 0.010117 0.00127498 0.00147794 0.00497899 0.00157173
0.57 0.12 0.00856718 0.00117984 0.00129361 0.00418002 0.00135899
0.69 0.12 0.00671643 0.00101362 0.00102196 0.00390536 0.00138105
0.765 0.03 0.00940831 0.00181024 0.00129998 0.0118421 0.00375497
0.7825 0.005 0.0260722 0.00433298 0.00341511 0.028196 0.00903197
0.7875 0.005 0.0182351 0.00431593 0.00240709 0.021999 0.00698137
0.795 0.01 0.0159404 0.00298873 0.00211129 0.0106411 0.00321213
0.845 0.09 0.00327719 0.000921694 0.000549028 0.00289504 0.000577235
0.9275 0.075 0.00267192 0.000881688 0.000446128 0.00233739 0.000343844
0.9825 0.035 0.0035953 0.00117759 0.000526217 0.00366435 0.000463506
1.005 0.01 0.0107672 0.001512 0.00144134 0.0106165 0.00115834
1.0125 0.005 0.0182215 0.00213197 0.00239446 0.0206787 0.00216317
1.0175 0.005 0.0227351 0.0021371 0.00300741 0.0258674 0.00267935
1.0275 0.015 0.0130649 0.00120412 0.0017799 0.0155492 0.00164835
1.0825 0.095 0.00217974 0.000431901 0.000524383 0.00190717 0.000273928
1.19 0.12 0.00156747 0.000322557 0.000379713 0.00114937 0.000182005
1.35 0.2 0.000996711 0.000194722 0.000242093 0.000794974 0.000127936
1.55 0.2 0.000639333 0.00014318 0.000145494 0.000509844 8.38381e-05
1.7625 0.225 0.00045353 9.90627e-05 9.28931e-05 0.000321612 5.45006e-05
1.975 0.2 0.000231874 7.76249e-05 5.23192e-05 0.000206448 3.62981e-05
2.1625 0.175 0.000173229 6.42118e-05 3.71044e-05 0.00014491 2.63783e-05
2.3625 0.225 0.000113621 4.37399e-05 2.3658e-05 0.000103672 1.96308e-05
2.57 0.19 0.000122075 3.67911e-05 2.05481e-05 7.95953e-05 1.55304e-05
2.7575 0.185 8.66359e-05 2.9785e-05 1.46698e-05 7.1149e-05 1.38373e-05
2.92 0.14 0.000122547 2.86181e-05 1.76274e-05 9.74393e-05 1.74843e-05
3.005 0.03 0.000220981 5.76195e-05 2.88289e-05 0.000192316 3.16123e-05
3.0275 0.015 0.000381853 8.2325e-05 4.96937e-05 0.000299844 4.77014e-05
3.045 0.02 0.000539063 7.2482e-05 7.01121e-05 0.000518681 8.03995e-05
3.0625 0.015 0.000909848 8.91753e-05 0.000118299 0.00088172 0.000135041
3.0725 0.005 0.00118714 0.000160525 0.000154342 0.00111894 0.000170291
3.0825 0.015 0.00115229 9.13023e-05 0.000149811 0.00129669 0.000197087
3.0925 0.005 0.0013678 0.000163036 0.000177825 0.00137647 0.000209103
3.0975 0.005 0.0016684 0.000169984 0.000216901 0.00136039 0.000206683
3.1075 0.015 0.00136343 9.34064e-05 0.000177256 0.00120994 0.00018401
3.1225 0.015 0.000974768 8.61974e-05 0.000126733 0.00085771 0.000131221
3.1775 0.095 0.000165724 2.68412e-05 2.16017e-05 0.000188209 3.06746e-05
3.3125 0.175 3.2679e-05 1.64584e-05 4.39801e-06 3.16682e-05 6.99428e-06
3.625 0.45 2.46785e-05 7.57359e-06 3.24866e-06 2.37701e-05 5.95884e-06
4.125 0.55 1.19961e-05 4.25856e-06 1.56715e-06 1.14182e-05 2.97653e-06
