#Fig. 1 phi meson spectra

#Au+Au sqrt(s_NN) = 7.7 GeV 
#cen   0-10% most central
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4461     3.9996e-001     9.9778e-002     8.4089e-002     1.3049e-001
0.5       0.6        0.5496     3.4359e-001     4.8885e-002     6.6112e-002     8.2223e-002
0.6       0.7        0.6543     2.8714e-001     4.0766e-002     5.1720e-002     6.5855e-002
0.7       0.9        0.8037     1.8525e-001     1.5442e-002     3.1568e-002     3.5142e-002
0.9       1.0        0.9502     1.4500e-001     1.7124e-002     2.4483e-002     2.9877e-002
1.0       1.3        1.1467     8.6066e-002     1.0077e-002     1.5060e-002     1.8120e-002
1.3       1.7        1.4876     3.1507e-002     6.1589e-003     6.0223e-003     8.6140e-003

#cen   10-20%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4449     2.4592e-001     5.3447e-002     5.0735e-002     7.3692e-002
0.5       0.6        0.5494     1.8356e-001     3.2705e-002     3.5633e-002     4.8367e-002
0.6       0.7        0.6531     1.7674e-001     1.9260e-002     3.2723e-002     3.7971e-002
0.7       0.9        0.8027     1.3759e-001     9.4753e-003     2.4327e-002     2.6107e-002
0.9       1.0        0.9500     1.0404e-001     1.3176e-002     1.8038e-002     2.2338e-002
1.0       1.3        1.1456     5.2779e-002     6.7314e-003     9.1870e-003     1.1389e-002
1.3       1.7        1.4857     1.5195e-002     2.0999e-003     2.7435e-003     3.4549e-003

#cen   20-30%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4430     1.5302e-001     3.7239e-002     3.2777e-002     4.9609e-002
0.5       0.6        0.5493     1.6665e-001     2.6801e-002     3.3221e-002     4.2684e-002
0.6       0.7        0.6521     1.5075e-001     1.3111e-002     2.8403e-002     3.1283e-002
0.7       0.9        0.8018     8.2144e-002     6.0471e-003     1.4648e-002     1.5847e-002
0.9       1.0        0.9498     5.6910e-002     7.3800e-003     9.9181e-003     1.2363e-002
1.0       1.3        1.1442     2.5581e-002     2.3288e-003     4.4863e-003     5.0547e-003
1.3       1.7        1.4834     1.1018e-002     2.0211e-003     2.0265e-003     2.8621e-003

#cen   30-40%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4437     1.0400e-001     2.6010e-002     1.8551e-002     3.1948e-002
0.5       0.6        0.5493     9.6139e-002     1.4045e-002     1.7023e-002     2.2069e-002
0.6       0.7        0.6523     8.3320e-002     1.0476e-002     1.4618e-002     1.7984e-002
0.7       0.9        0.8020     4.9730e-002     3.9137e-003     8.5934e-003     9.4426e-003
0.9       1.0        0.9498     3.2459e-002     4.3784e-003     5.5292e-003     7.0528e-003
1.0       1.3        1.1446     1.9943e-002     2.3055e-003     3.3554e-003     4.0711e-003
1.3       1.7        1.4839     5.6230e-003     2.2656e-003     9.6316e-004     2.4618e-003

#cen   40-60%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4498     4.9816e-002     9.8490e-003     8.2377e-003     1.2840e-002
0.5       0.6        0.5562     4.1266e-002     5.1050e-003     7.1194e-003     8.7605e-003
0.6       0.7        0.6518     3.6034e-002     3.3404e-003     6.3828e-003     7.2041e-003
0.7       0.9        0.8012     2.3016e-002     1.5612e-003     4.1490e-003     4.4330e-003
0.9       1.0        0.9497     1.5192e-002     1.9772e-003     2.7384e-003     3.3776e-003
1.0       1.3        1.1433     7.6228e-003     8.6022e-004     1.3568e-003     1.6065e-003
1.3       1.7        1.4818     2.0558e-003     5.5638e-004     3.6633e-004     6.6615e-004

#cen   60-80%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4541     1.4360e-002     2.9906e-003     2.4998e-003     3.8978e-003
0.5       0.6        0.5510     1.2761e-002     1.7897e-003     2.2312e-003     2.8603e-003
0.6       0.7        0.6500     6.0496e-003     6.4665e-004     1.0595e-003     1.2413e-003
0.7       0.9        0.7973     4.4939e-003     4.2217e-004     7.8576e-004     8.9199e-004
0.9       1.0        0.9490     2.8529e-003     4.7963e-004     4.9611e-004     6.9005e-004
1.0       1.3        1.1399     1.1704e-003     2.6184e-004     2.0130e-004     3.3027e-004
1.3       1.7        1.4818     3.7451e-004     2.0790e-004     6.3115e-005     2.1727e-004

#Au+Au sqrt(s_NN) = 11.5 GeV

#cen   0-10%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
0.4       0.5        0.4457     5.0566e-001     7.9524e-002     8.1737e-002     1.1404e-001
0.5       0.6        0.5494     4.4448e-001     3.7205e-002     6.9429e-002     7.8769e-002
0.6       0.7        0.6535     3.4704e-001     2.2795e-002     5.2745e-002     5.7460e-002
0.7       0.9        0.8033     3.1695e-001     1.4911e-002     4.6822e-002     4.9139e-002
0.9       1.0        0.9501     2.3012e-001     1.6630e-002     3.3514e-002     3.7413e-002
1.0       1.3        1.1463     1.2209e-001     7.2500e-003     1.7780e-002     1.9201e-002
1.3       1.7        1.4868     3.6448e-002     2.7712e-003     5.5006e-003     6.1592e-003
1.7       2.0        1.8406     1.0450e-002     2.9051e-003     1.6630e-003     3.3474e-003
2.0       2.5        2.2210     4.6347e-003     1.3646e-003     7.7159e-004     1.5676e-003
2.5       3.5        2.8785     4.1541e-004     1.3695e-004     6.3111e-005     1.5079e-004

#cen   10-20%
#pt_low		pt_high		 pt	        inv. yield	    stat. err       sys. err        tot. err
