========================================================
Updated data using PDG2020 decay parameter, March 2021
========================================================
Figure 5
#Lambda
centrality [%] 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
15 	 0.116 	 0.059 	 0.032 	 0.035
25 	 0.185 	 0.054 	 0.05 	 0.054
35 	 0.27 	 0.06 	 0.072 	 0.079
45 	 0.308 	 0.073 	 0.083 	 0.09
55 	 0.317 	 0.101 	 0.085 	 0.092
65 	 0.578 	 0.167 	 0.155 	 0.168
75 	 0.564 	 0.341 	 0.153 	 0.166
#bar{#Lambda}
centrality [%] 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
16 	 0.101 	 0.066 	 0.046 	 0.051
26 	 0.112 	 0.061 	 0.048 	 0.054
36 	 0.257 	 0.067 	 0.11 	 0.124
46 	 0.315 	 0.081 	 0.134 	 0.152
56 	 0.49 	 0.112 	 0.209 	 0.236
66 	 0.357 	 0.185 	 0.154 	 0.173
76 	 0.239 	 0.377 	 0.203 	 0.21


Figure 6
#Lambda
pT [GeV/c] 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
0.67 	 0.212 	 0.087 	 0.087 	 0.042
1.1 	 0.355 	 0.065 	 0.142 	 0.062
1.52 	 0.213 	 0.066 	 0.085 	 0.038
2.13 	 0.233 	 0.08 	 0.094 	 0.041
3.2 	 -0.023 	 0.277 	 0.019 	 0.017
#bar{#Lambda}
pT [GeV/c] 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
0.69 	 0.176 	 0.095 	 0.082 	 0.088
1.1 	 0.2 	 0.072 	 0.092 	 0.099
1.52 	 0.267 	 0.073 	 0.123 	 0.132
2.13 	 0.287 	 0.089 	 0.132 	 0.142
3.2 	 0.474 	 0.256 	 0.219 	 0.236


Figure 7
#Lambda
eta 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
-0.71 	 0.312 	 0.07 	 0.095 	 0.078
-0.24 	 0.252 	 0.066 	 0.076 	 0.063
0.26 	 0.248 	 0.063 	 0.075 	 0.062
0.72 	 0.19 	 0.067 	 0.057 	 0.047
#bar{#Lambda}
eta 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
-0.72 	 0.222 	 0.079 	 0.076 	 0.093
-0.24 	 0.216 	 0.073 	 0.073 	 0.089
0.26 	 0.308 	 0.07 	 0.104 	 0.127
0.73 	 0.188 	 0.075 	 0.063 	 0.078


Figure 8
#Lambda
Ach/sigma_Ach 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
-1.391 	 0.178 	 0.09 	 0.063 	 0.04
-0.537 	 0.121 	 0.079 	 0.041 	 0.024
0.003 	 0.282 	 0.074 	 0.094 	 0.054
0.547 	 0.225 	 0.07 	 0.075 	 0.044
1.451 	 0.394 	 0.067 	 0.131 	 0.075
#bar{#Lambda}
Ach/sigma_Ach 	 P_H [%] 	 stat.uncert. 	 syst.uncert.low 	 syst.uncert.high
-1.391 	 0.396 	 0.093 	 0.114 	 0.155
-0.537 	 0.333 	 0.085 	 0.096 	 0.13
0.003 	 0.193 	 0.082 	 0.056 	 0.076
0.547 	 0.152 	 0.08 	 0.045 	 0.06
1.451 	 0.134 	 0.079 	 0.039 	 0.053

