Relative dynamical correlation in percent
STAR 19.6 GeV
Centrality Npart NpartErr Data Stat Sys Local_Equilibrium Partial_Thermalization
0-5% 338.0  2.3 0.938691 0.026568 0.032986 2.826482 4.117159
5-10% 289.2  6.0 1.085482 0.021077 0.037233 2.526262 2.952287
10-20% 224.9  8.6 1.296035 0.014328 0.030664 2.173476 2.283638
20-30% 158.1 10.5 1.600764 0.007993 0.032025 1.820439 1.898157
30-40% 108.0 10.6 1.950029 0.011407 0.033563 1.495660 1.571623
40-50% 70.8 10.1 2.424478 0.026911 0.036165 1.228821 1.266886
50-60% 43.9  8.7 2.979966 0.024850 0.038865 1.064425 1.076569
60-70% 25.5  6.8 3.718223 0.062009 0.039777 0.950263 0.968504
70-80% 13.8  5.0 4.493978 0.122693 0.038904
STAR 200 GeV
Centrality Npart NpartErr Data Stat Sys Local_Equilibrium Partial_Thermalization
0-5% 350.6  2.4 1.185474 0.005509 0.028253 4.102560 5.291975
5-10% 298.6  4.1 1.295536 0.007714 0.028263 3.695808 3.738181
10-20% 234.3  4.6 1.482348 0.004558 0.027059 3.290745 2.981107
20-30% 167.6  5.4 1.773450 0.008187 0.028316 2.746270 2.564761
30-40% 117.1  5.2 2.131476 0.006912 0.027010 2.291288 2.222611
40-50% 78.3  5.3 2.561043 0.005192 0.029655 1.812457 1.805547
50-60% 49.3  4.7 3.173742 0.010559 0.031308 1.450172 1.455678
60-70% 28.8  3.7 4.075916 0.006170 0.033672 1.223111 1.209132
70-80% 15.7  2.6 5.611563 0.049709 0.033569 1.075639 1.079352
ALICE 2.76 TeV
Centrality Npart NpartErr Data Stat Sys Local_Equilibrium Partial_Thermalization
0-5% 382.8  3.1 0.925300 0.002100 0.068400 0.965919 0.961769
5-10% 329.7  4.6 1.087000 0.002000 0.078000 1.077497 1.081665
10-15% 281.1  4.8 1.249000 0.003000 0.068000 1.216141 1.225561
15-20% 238.6  4.2 1.414000 0.003000 0.074000 1.372589 1.378042
20-25% 201.8  3.8 1.571000 0.003000 0.079000 1.590912 1.578924
25-30% 169.5  4.2 1.740000 0.003000 0.084000 1.816040 1.809143
30-35% 141.6  3.5 1.945000 0.004000 0.091000 2.057425 2.026327
35-40% 116.2  3.1 2.174000 0.004000 0.099000 2.321852 2.269361
40-45% 94.1  3.6 2.422000 0.005000 0.107000 2.610172 2.522300
45-50% 75.4  2.6 2.716000 0.006000 0.118000 2.923183 2.761159
50-55% 59.4  2.0 3.036000 0.007000 0.129000 3.236510 3.011146
55-60% 45.8  1.5 3.411000 0.008000 0.144000 3.556122 3.333767
60-65% 34.5  1.6 3.838000 0.011000 0.161000 3.863159 3.719140
65-70% 25.1  1.1 4.416000 0.018000 0.190000 4.117645 4.392380
70-75% 17.8  1.4 5.226000 0.033000 0.225000 4.372299 5.247095
75-80% 12.5  1.0 6.242000 0.048000 0.268000 4.504553 6.035479
