Relative dynamical correlation in percent
STAR 7.7 GeV
Centrality Npart NpartErr Data Stat Sys
0-5% 337.4  2.1 0.210662 0.324558 0.096850
5-10% 290.4  6.0 0.461255 0.190850 0.144918
10-20% 226.2  7.9 0.931224 0.069162 0.099264
20-30% 160.2 10.2 1.260074 0.094326 0.075089
30-40% 109.9 11.0 1.735171 0.061460 0.055699
40-50% 71.8 10.2 2.248124 0.106658 0.094201
50-60% 44.7  8.7 2.506263 0.196608 0.190255
60-70% 25.6  7.1 3.151569 0.196221 0.252995
70-80% 13.9  4.4 2.100238 0.983775 0.546314
STAR 200 GeV
Centrality Npart NpartErr Data Stat Sys
0-5% 350.6  2.4 1.185474 0.005509 0.033493
5-10% 298.6  4.1 1.295536 0.007714 0.036616
10-20% 234.3  4.6 1.482348 0.004558 0.040111
20-30% 167.6  5.4 1.773450 0.008187 0.050217
30-40% 117.1  5.2 2.131476 0.006912 0.057571
40-50% 78.3  5.3 2.561043 0.005192 0.075948
50-60% 49.3  4.7 3.173742 0.010559 0.099364
60-70% 28.8  3.7 4.075916 0.006170 0.137244
70-80% 15.7  2.6 5.611563 0.049709 0.188375
ALICE 2.76 TeV
Centrality Npart NpartErr Data Stat Sys
0-5% 382.8  3.1 0.925300 0.002100 0.068400
5-10% 329.7  4.6 1.087000 0.002000 0.078000
10-15% 281.1  4.8 1.249000 0.003000 0.068000
15-20% 238.6  4.2 1.414000 0.003000 0.074000
20-25% 201.8  3.8 1.571000 0.003000 0.079000
25-30% 169.5  4.2 1.740000 0.003000 0.084000
30-35% 141.6  3.5 1.945000 0.004000 0.091000
35-40% 116.2  3.1 2.174000 0.004000 0.099000
40-45% 94.1  3.6 2.422000 0.005000 0.107000
45-50% 75.4  2.6 2.716000 0.006000 0.118000
50-55% 59.4  2.0 3.036000 0.007000 0.129000
55-60% 45.8  1.5 3.411000 0.008000 0.144000
60-65% 34.5  1.6 3.838000 0.011000 0.161000
65-70% 25.1  1.1 4.416000 0.018000 0.190000
70-75% 17.8  1.4 5.226000 0.033000 0.225000
75-80% 12.5  1.0 6.242000 0.048000 0.268000
