Figure 1-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign pions
-0.81<=dy<-0.75 	 -85<=dphi<-75 	 R2=0.0365227
-0.75<=dy<-0.69 	 -85<=dphi<-75 	 R2=-0.0112706
-0.69<=dy<-0.63 	 -85<=dphi<-75 	 R2=-0.0186692
-0.63<=dy<-0.57 	 -85<=dphi<-75 	 R2=-0.00588335
-0.57<=dy<-0.51 	 -85<=dphi<-75 	 R2=-0.00701854
-0.51<=dy<-0.45 	 -85<=dphi<-75 	 R2=-0.00106143
-0.45<=dy<-0.39 	 -85<=dphi<-75 	 R2=-0.00620425
-0.39<=dy<-0.33 	 -85<=dphi<-75 	 R2=-0.00428837
-0.33<=dy<-0.27 	 -85<=dphi<-75 	 R2=-0.00242463
-0.27<=dy<-0.21 	 -85<=dphi<-75 	 R2=-0.00363128
-0.21<=dy<-0.15 	 -85<=dphi<-75 	 R2=-0.0023381
-0.15<=dy<-0.09 	 -85<=dphi<-75 	 R2=-0.00786727
-0.09<=dy<-0.03 	 -85<=dphi<-75 	 R2=-0.00814609
-0.03<=dy<0.03 	 -85<=dphi<-75 	 R2=-0.00532985
0.03<=dy<0.09 	 -85<=dphi<-75 	 R2=-0.00535628
0.09<=dy<0.15 	 -85<=dphi<-75 	 R2=-0.00478594
0.15<=dy<0.21 	 -85<=dphi<-75 	 R2=-0.00288054
0.21<=dy<0.27 	 -85<=dphi<-75 	 R2=-0.00588625
0.27<=dy<0.33 	 -85<=dphi<-75 	 R2=-0.00290774
0.33<=dy<0.39 	 -85<=dphi<-75 	 R2=-0.00820371
0.39<=dy<0.45 	 -85<=dphi<-75 	 R2=-0.00185959
0.45<=dy<0.51 	 -85<=dphi<-75 	 R2=-0.0055128
0.51<=dy<0.57 	 -85<=dphi<-75 	 R2=-0.00977821
0.57<=dy<0.63 	 -85<=dphi<-75 	 R2=-0.000655976
0.63<=dy<0.69 	 -85<=dphi<-75 	 R2=-0.0209114
0.69<=dy<0.75 	 -85<=dphi<-75 	 R2=-0.00726778
0.75<=dy<0.81 	 -85<=dphi<-75 	 R2=-0.0113482
-0.81<=dy<-0.75 	 -75<=dphi<-65 	 R2=-0.00500826
-0.75<=dy<-0.69 	 -75<=dphi<-65 	 R2=-0.00650139
-0.69<=dy<-0.63 	 -75<=dphi<-65 	 R2=0.00399481
-0.63<=dy<-0.57 	 -75<=dphi<-65 	 R2=-0.00661757
-0.57<=dy<-0.51 	 -75<=dphi<-65 	 R2=-0.0106457
-0.51<=dy<-0.45 	 -75<=dphi<-65 	 R2=-0.00520049
-0.45<=dy<-0.39 	 -75<=dphi<-65 	 R2=-0.00913636
-0.39<=dy<-0.33 	 -75<=dphi<-65 	 R2=-0.00404519
-0.33<=dy<-0.27 	 -75<=dphi<-65 	 R2=-0.00374578
-0.27<=dy<-0.21 	 -75<=dphi<-65 	 R2=-0.0100069
-0.21<=dy<-0.15 	 -75<=dphi<-65 	 R2=-0.0111072
-0.15<=dy<-0.09 	 -75<=dphi<-65 	 R2=-0.00691885
-0.09<=dy<-0.03 	 -75<=dphi<-65 	 R2=-0.00356412
-0.03<=dy<0.03 	 -75<=dphi<-65 	 R2=-0.00972284
0.03<=dy<0.09 	 -75<=dphi<-65 	 R2=-0.000983637
0.09<=dy<0.15 	 -75<=dphi<-65 	 R2=-0.0069376
0.15<=dy<0.21 	 -75<=dphi<-65 	 R2=-0.00463349
0.21<=dy<0.27 	 -75<=dphi<-65 	 R2=-0.0100317
0.27<=dy<0.33 	 -75<=dphi<-65 	 R2=-0.00982812
0.33<=dy<0.39 	 -75<=dphi<-65 	 R2=-0.0107923
0.39<=dy<0.45 	 -75<=dphi<-65 	 R2=-0.0110837
0.45<=dy<0.51 	 -75<=dphi<-65 	 R2=-0.00541756
0.51<=dy<0.57 	 -75<=dphi<-65 	 R2=-0.00607165
0.57<=dy<0.63 	 -75<=dphi<-65 	 R2=-0.0180127
0.63<=dy<0.69 	 -75<=dphi<-65 	 R2=-0.000747898
0.69<=dy<0.75 	 -75<=dphi<-65 	 R2=-0.0222934
0.75<=dy<0.81 	 -75<=dphi<-65 	 R2=-0.0190212
-0.81<=dy<-0.75 	 -65<=dphi<-55 	 R2=-0.000988236
-0.75<=dy<-0.69 	 -65<=dphi<-55 	 R2=0.00231355
-0.69<=dy<-0.63 	 -65<=dphi<-55 	 R2=-0.00528778
-0.63<=dy<-0.57 	 -65<=dphi<-55 	 R2=-0.0119511
-0.57<=dy<-0.51 	 -65<=dphi<-55 	 R2=0.00367671
-0.51<=dy<-0.45 	 -65<=dphi<-55 	 R2=-0.00339818
-0.45<=dy<-0.39 	 -65<=dphi<-55 	 R2=-0.00552519
-0.39<=dy<-0.33 	 -65<=dphi<-55 	 R2=-0.0024857
-0.33<=dy<-0.27 	 -65<=dphi<-55 	 R2=-0.00183678
-0.27<=dy<-0.21 	 -65<=dphi<-55 	 R2=-0.00394677
-0.21<=dy<-0.15 	 -65<=dphi<-55 	 R2=-0.00568049
-0.15<=dy<-0.09 	 -65<=dphi<-55 	 R2=-0.00751368
-0.09<=dy<-0.03 	 -65<=dphi<-55 	 R2=-0.00326668
-0.03<=dy<0.03 	 -65<=dphi<-55 	 R2=-0.0118754
0.03<=dy<0.09 	 -65<=dphi<-55 	 R2=-0.00548094
0.09<=dy<0.15 	 -65<=dphi<-55 	 R2=-0.00582485
0.15<=dy<0.21 	 -65<=dphi<-55 	 R2=-0.00580334
0.21<=dy<0.27 	 -65<=dphi<-55 	 R2=-0.00603694
0.27<=dy<0.33 	 -65<=dphi<-55 	 R2=-0.0118251
0.33<=dy<0.39 	 -65<=dphi<-55 	 R2=-0.00124755
0.39<=dy<0.45 	 -65<=dphi<-55 	 R2=-0.00699438
0.45<=dy<0.51 	 -65<=dphi<-55 	 R2=-0.00526155
0.51<=dy<0.57 	 -65<=dphi<-55 	 R2=-0.00962054
0.57<=dy<0.63 	 -65<=dphi<-55 	 R2=0.00328004
0.63<=dy<0.69 	 -65<=dphi<-55 	 R2=-0.00236667
0.69<=dy<0.75 	 -65<=dphi<-55 	 R2=-0.00616693
0.75<=dy<0.81 	 -65<=dphi<-55 	 R2=-0.0122827
-0.81<=dy<-0.75 	 -55<=dphi<-45 	 R2=-0.000224942
-0.75<=dy<-0.69 	 -55<=dphi<-45 	 R2=-0.0127278
-0.69<=dy<-0.63 	 -55<=dphi<-45 	 R2=-0.00282479
-0.63<=dy<-0.57 	 -55<=dphi<-45 	 R2=-0.0104136
-0.57<=dy<-0.51 	 -55<=dphi<-45 	 R2=-0.00762249
-0.51<=dy<-0.45 	 -55<=dphi<-45 	 R2=-0.00643094
-0.45<=dy<-0.39 	 -55<=dphi<-45 	 R2=-0.0123546
-0.39<=dy<-0.33 	 -55<=dphi<-45 	 R2=-0.00781671
-0.33<=dy<-0.27 	 -55<=dphi<-45 	 R2=-0.00515951
-0.27<=dy<-0.21 	 -55<=dphi<-45 	 R2=-0.00332421
-0.21<=dy<-0.15 	 -55<=dphi<-45 	 R2=-0.00800138
-0.15<=dy<-0.09 	 -55<=dphi<-45 	 R2=-0.00363575
-0.09<=dy<-0.03 	 -55<=dphi<-45 	 R2=-0.00753421
-0.03<=dy<0.03 	 -55<=dphi<-45 	 R2=-0.00410393
0.03<=dy<0.09 	 -55<=dphi<-45 	 R2=-0.00505451
0.09<=dy<0.15 	 -55<=dphi<-45 	 R2=-0.00906684
0.15<=dy<0.21 	 -55<=dphi<-45 	 R2=-0.00346892
0.21<=dy<0.27 	 -55<=dphi<-45 	 R2=-0.0109904
0.27<=dy<0.33 	 -55<=dphi<-45 	 R2=-0.0111519
0.33<=dy<0.39 	 -55<=dphi<-45 	 R2=-0.00897108
0.39<=dy<0.45 	 -55<=dphi<-45 	 R2=-0.0166096
0.45<=dy<0.51 	 -55<=dphi<-45 	 R2=-0.00847167
0.51<=dy<0.57 	 -55<=dphi<-45 	 R2=-0.00813568
0.57<=dy<0.63 	 -55<=dphi<-45 	 R2=-0.00978069
0.63<=dy<0.69 	 -55<=dphi<-45 	 R2=-0.0183349
0.69<=dy<0.75 	 -55<=dphi<-45 	 R2=-0.0115313
0.75<=dy<0.81 	 -55<=dphi<-45 	 R2=-0.00723616
-0.81<=dy<-0.75 	 -45<=dphi<-35 	 R2=-0.00840518
-0.75<=dy<-0.69 	 -45<=dphi<-35 	 R2=-0.0190731
-0.69<=dy<-0.63 	 -45<=dphi<-35 	 R2=-0.0142425
-0.63<=dy<-0.57 	 -45<=dphi<-35 	 R2=-0.00934971
-0.57<=dy<-0.51 	 -45<=dphi<-35 	 R2=-0.00600077
-0.51<=dy<-0.45 	 -45<=dphi<-35 	 R2=-0.0147239
-0.45<=dy<-0.39 	 -45<=dphi<-35 	 R2=-0.00606544
-0.39<=dy<-0.33 	 -45<=dphi<-35 	 R2=0.00255032
-0.33<=dy<-0.27 	 -45<=dphi<-35 	 R2=-0.0082422
-0.27<=dy<-0.21 	 -45<=dphi<-35 	 R2=-0.00547274
-0.21<=dy<-0.15 	 -45<=dphi<-35 	 R2=-0.00469599
-0.15<=dy<-0.09 	 -45<=dphi<-35 	 R2=-0.00194119
-0.09<=dy<-0.03 	 -45<=dphi<-35 	 R2=-0.00837337
-0.03<=dy<0.03 	 -45<=dphi<-35 	 R2=-0.00665446
0.03<=dy<0.09 	 -45<=dphi<-35 	 R2=-0.00589867
0.09<=dy<0.15 	 -45<=dphi<-35 	 R2=-0.00244976
0.15<=dy<0.21 	 -45<=dphi<-35 	 R2=-0.00945549
0.21<=dy<0.27 	 -45<=dphi<-35 	 R2=-0.00800116
0.27<=dy<0.33 	 -45<=dphi<-35 	 R2=0.00567574
0.33<=dy<0.39 	 -45<=dphi<-35 	 R2=-0.00655869
0.39<=dy<0.45 	 -45<=dphi<-35 	 R2=-0.0106026
0.45<=dy<0.51 	 -45<=dphi<-35 	 R2=-0.0117929
0.51<=dy<0.57 	 -45<=dphi<-35 	 R2=-0.00714075
0.57<=dy<0.63 	 -45<=dphi<-35 	 R2=-0.00655761
0.63<=dy<0.69 	 -45<=dphi<-35 	 R2=-0.00784195
0.69<=dy<0.75 	 -45<=dphi<-35 	 R2=-0.0211965
0.75<=dy<0.81 	 -45<=dphi<-35 	 R2=-0.019707
-0.81<=dy<-0.75 	 -35<=dphi<-25 	 R2=-0.000236591
-0.75<=dy<-0.69 	 -35<=dphi<-25 	 R2=-0.00540355
-0.69<=dy<-0.63 	 -35<=dphi<-25 	 R2=-0.0146334
-0.63<=dy<-0.57 	 -35<=dphi<-25 	 R2=-0.00395336
-0.57<=dy<-0.51 	 -35<=dphi<-25 	 R2=-0.0075987
-0.51<=dy<-0.45 	 -35<=dphi<-25 	 R2=-0.00528983
-0.45<=dy<-0.39 	 -35<=dphi<-25 	 R2=-0.00234074
-0.39<=dy<-0.33 	 -35<=dphi<-25 	 R2=-0.00899607
-0.33<=dy<-0.27 	 -35<=dphi<-25 	 R2=-0.00941949
