Figure 1-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign pions
-0.81<=dy<-0.75 	 -85<=dphi<-75 	 R2=-0.0116613
-0.75<=dy<-0.69 	 -85<=dphi<-75 	 R2=-0.00203401
-0.69<=dy<-0.63 	 -85<=dphi<-75 	 R2=-0.0278324
-0.63<=dy<-0.57 	 -85<=dphi<-75 	 R2=-0.0135523
-0.57<=dy<-0.51 	 -85<=dphi<-75 	 R2=-0.00145435
-0.51<=dy<-0.45 	 -85<=dphi<-75 	 R2=-0.00702201
-0.45<=dy<-0.39 	 -85<=dphi<-75 	 R2=0.000659064
-0.39<=dy<-0.33 	 -85<=dphi<-75 	 R2=-0.00495474
-0.33<=dy<-0.27 	 -85<=dphi<-75 	 R2=-0.00899926
-0.27<=dy<-0.21 	 -85<=dphi<-75 	 R2=-0.0103468
-0.21<=dy<-0.15 	 -85<=dphi<-75 	 R2=-0.0043851
-0.15<=dy<-0.09 	 -85<=dphi<-75 	 R2=0.00458565
-0.09<=dy<-0.03 	 -85<=dphi<-75 	 R2=-0.00186287
-0.03<=dy<0.03 	 -85<=dphi<-75 	 R2=-0.00641434
0.03<=dy<0.09 	 -85<=dphi<-75 	 R2=-0.000158275
0.09<=dy<0.15 	 -85<=dphi<-75 	 R2=-0.0136226
0.15<=dy<0.21 	 -85<=dphi<-75 	 R2=-0.00496335
0.21<=dy<0.27 	 -85<=dphi<-75 	 R2=-0.00127096
0.27<=dy<0.33 	 -85<=dphi<-75 	 R2=-0.00785112
0.33<=dy<0.39 	 -85<=dphi<-75 	 R2=0.000131082
0.39<=dy<0.45 	 -85<=dphi<-75 	 R2=-0.00126636
0.45<=dy<0.51 	 -85<=dphi<-75 	 R2=-0.00846011
0.51<=dy<0.57 	 -85<=dphi<-75 	 R2=0.0092694
0.57<=dy<0.63 	 -85<=dphi<-75 	 R2=-0.00917508
0.63<=dy<0.69 	 -85<=dphi<-75 	 R2=0.000613573
0.69<=dy<0.75 	 -85<=dphi<-75 	 R2=-0.00849209
0.75<=dy<0.81 	 -85<=dphi<-75 	 R2=-0.00876804
-0.81<=dy<-0.75 	 -75<=dphi<-65 	 R2=-0.0131417
-0.75<=dy<-0.69 	 -75<=dphi<-65 	 R2=0.0158267
-0.69<=dy<-0.63 	 -75<=dphi<-65 	 R2=-0.00544901
-0.63<=dy<-0.57 	 -75<=dphi<-65 	 R2=-0.0200155
-0.57<=dy<-0.51 	 -75<=dphi<-65 	 R2=-0.00947586
-0.51<=dy<-0.45 	 -75<=dphi<-65 	 R2=-0.00785749
-0.45<=dy<-0.39 	 -75<=dphi<-65 	 R2=-0.00232376
-0.39<=dy<-0.33 	 -75<=dphi<-65 	 R2=-0.000224024
-0.33<=dy<-0.27 	 -75<=dphi<-65 	 R2=0.000597272
-0.27<=dy<-0.21 	 -75<=dphi<-65 	 R2=-0.00837583
-0.21<=dy<-0.15 	 -75<=dphi<-65 	 R2=-0.0047624
-0.15<=dy<-0.09 	 -75<=dphi<-65 	 R2=-0.00203496
-0.09<=dy<-0.03 	 -75<=dphi<-65 	 R2=-0.00164587
-0.03<=dy<0.03 	 -75<=dphi<-65 	 R2=0.00799311
0.03<=dy<0.09 	 -75<=dphi<-65 	 R2=-0.00135211
0.09<=dy<0.15 	 -75<=dphi<-65 	 R2=-0.00426282
0.15<=dy<0.21 	 -75<=dphi<-65 	 R2=0.00490307
0.21<=dy<0.27 	 -75<=dphi<-65 	 R2=0.00808511
0.27<=dy<0.33 	 -75<=dphi<-65 	 R2=-0.0096896
0.33<=dy<0.39 	 -75<=dphi<-65 	 R2=-0.00451743
0.39<=dy<0.45 	 -75<=dphi<-65 	 R2=-0.00627604
0.45<=dy<0.51 	 -75<=dphi<-65 	 R2=0.000215055
0.51<=dy<0.57 	 -75<=dphi<-65 	 R2=-0.00660082
0.57<=dy<0.63 	 -75<=dphi<-65 	 R2=-0.00315882
0.63<=dy<0.69 	 -75<=dphi<-65 	 R2=-0.01398
0.69<=dy<0.75 	 -75<=dphi<-65 	 R2=-0.0105089
0.75<=dy<0.81 	 -75<=dphi<-65 	 R2=-0.0345678
-0.81<=dy<-0.75 	 -65<=dphi<-55 	 R2=-0.0400235
-0.75<=dy<-0.69 	 -65<=dphi<-55 	 R2=-0.010493
-0.69<=dy<-0.63 	 -65<=dphi<-55 	 R2=-0.00552716
-0.63<=dy<-0.57 	 -65<=dphi<-55 	 R2=0.00813475
-0.57<=dy<-0.51 	 -65<=dphi<-55 	 R2=0.000464038
-0.51<=dy<-0.45 	 -65<=dphi<-55 	 R2=0.00575001
-0.45<=dy<-0.39 	 -65<=dphi<-55 	 R2=0.000938116
-0.39<=dy<-0.33 	 -65<=dphi<-55 	 R2=0.00576357
-0.33<=dy<-0.27 	 -65<=dphi<-55 	 R2=-0.00226028
-0.27<=dy<-0.21 	 -65<=dphi<-55 	 R2=-0.00875854
-0.21<=dy<-0.15 	 -65<=dphi<-55 	 R2=-0.000409047
-0.15<=dy<-0.09 	 -65<=dphi<-55 	 R2=-0.0036477
-0.09<=dy<-0.03 	 -65<=dphi<-55 	 R2=0.00243828
-0.03<=dy<0.03 	 -65<=dphi<-55 	 R2=-0.00522755
0.03<=dy<0.09 	 -65<=dphi<-55 	 R2=-0.00131917
0.09<=dy<0.15 	 -65<=dphi<-55 	 R2=-0.00112892
0.15<=dy<0.21 	 -65<=dphi<-55 	 R2=-0.0038559
0.21<=dy<0.27 	 -65<=dphi<-55 	 R2=0.00529576
0.27<=dy<0.33 	 -65<=dphi<-55 	 R2=0.0100928
0.33<=dy<0.39 	 -65<=dphi<-55 	 R2=0.00125441
0.39<=dy<0.45 	 -65<=dphi<-55 	 R2=0.000179574
0.45<=dy<0.51 	 -65<=dphi<-55 	 R2=-0.00358439
