Figure 2-1
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, like-sign protons
-1.16<=dy<-1.08 	 -85<=dphi<-75 	 R2=-0.0647472
-1.08<=dy<-1 	 -85<=dphi<-75 	 R2=0.00953607
-1<=dy<-0.92 	 -85<=dphi<-75 	 R2=0.00165122
-0.92<=dy<-0.84 	 -85<=dphi<-75 	 R2=0.00319173
-0.84<=dy<-0.76 	 -85<=dphi<-75 	 R2=0.00309285
-0.76<=dy<-0.68 	 -85<=dphi<-75 	 R2=-0.00110092
-0.68<=dy<-0.6 	 -85<=dphi<-75 	 R2=-0.00773933
-0.6<=dy<-0.52 	 -85<=dphi<-75 	 R2=-0.0217245
-0.52<=dy<-0.44 	 -85<=dphi<-75 	 R2=-0.0244688
-0.44<=dy<-0.36 	 -85<=dphi<-75 	 R2=-0.0246895
-0.36<=dy<-0.28 	 -85<=dphi<-75 	 R2=-0.00730002
-0.28<=dy<-0.2 	 -85<=dphi<-75 	 R2=-0.0160004
-0.2<=dy<-0.12 	 -85<=dphi<-75 	 R2=-0.015339
-0.12<=dy<-0.04 	 -85<=dphi<-75 	 R2=-0.00783455
-0.04<=dy<0.04 	 -85<=dphi<-75 	 R2=-0.0185845
0.04<=dy<0.12 	 -85<=dphi<-75 	 R2=-0.00729295
0.12<=dy<0.2 	 -85<=dphi<-75 	 R2=-0.0259515
0.2<=dy<0.28 	 -85<=dphi<-75 	 R2=-0.0115105
0.28<=dy<0.36 	 -85<=dphi<-75 	 R2=-0.0182566
0.36<=dy<0.44 	 -85<=dphi<-75 	 R2=-0.0140022
0.44<=dy<0.52 	 -85<=dphi<-75 	 R2=0.00622987
0.52<=dy<0.6 	 -85<=dphi<-75 	 R2=-0.0218852
0.6<=dy<0.68 	 -85<=dphi<-75 	 R2=-0.00899886
0.68<=dy<0.76 	 -85<=dphi<-75 	 R2=0.00314571
0.76<=dy<0.84 	 -85<=dphi<-75 	 R2=0.00344941
0.84<=dy<0.92 	 -85<=dphi<-75 	 R2=0.012334
0.92<=dy<1 	 -85<=dphi<-75 	 R2=0.0201049
1<=dy<1.08 	 -85<=dphi<-75 	 R2=-0.00166281
1.08<=dy<1.16 	 -85<=dphi<-75 	 R2=-0.0304044
-1.16<=dy<-1.08 	 -75<=dphi<-65 	 R2=-0.0121705
-1.08<=dy<-1 	 -75<=dphi<-65 	 R2=-0.0132929
-1<=dy<-0.92 	 -75<=dphi<-65 	 R2=0.0335232
-0.92<=dy<-0.84 	 -75<=dphi<-65 	 R2=0.00537117
-0.84<=dy<-0.76 	 -75<=dphi<-65 	 R2=0.00353876
-0.76<=dy<-0.68 	 -75<=dphi<-65 	 R2=0.00106671
-0.68<=dy<-0.6 	 -75<=dphi<-65 	 R2=-0.0194351
-0.6<=dy<-0.52 	 -75<=dphi<-65 	 R2=0.00435945
-0.52<=dy<-0.44 	 -75<=dphi<-65 	 R2=-0.0157751
-0.44<=dy<-0.36 	 -75<=dphi<-65 	 R2=-0.010558
-0.36<=dy<-0.28 	 -75<=dphi<-65 	 R2=-0.0111157
-0.28<=dy<-0.2 	 -75<=dphi<-65 	 R2=-0.0168581
-0.2<=dy<-0.12 	 -75<=dphi<-65 	 R2=-0.0168273
-0.12<=dy<-0.04 	 -75<=dphi<-65 	 R2=-0.0192116
-0.04<=dy<0.04 	 -75<=dphi<-65 	 R2=-0.0261768
0.04<=dy<0.12 	 -75<=dphi<-65 	 R2=-0.017536
0.12<=dy<0.2 	 -75<=dphi<-65 	 R2=-0.0135733
0.2<=dy<0.28 	 -75<=dphi<-65 	 R2=-0.00406044
0.28<=dy<0.36 	 -75<=dphi<-65 	 R2=-0.0204119
0.36<=dy<0.44 	 -75<=dphi<-65 	 R2=-0.00457942
0.44<=dy<0.52 	 -75<=dphi<-65 	 R2=-0.0141848
0.52<=dy<0.6 	 -75<=dphi<-65 	 R2=-0.0042454
0.6<=dy<0.68 	 -75<=dphi<-65 	 R2=-0.000758031
0.68<=dy<0.76 	 -75<=dphi<-65 	 R2=-0.0173802
0.76<=dy<0.84 	 -75<=dphi<-65 	 R2=-0.0154319
0.84<=dy<0.92 	 -75<=dphi<-65 	 R2=-0.0127913
0.92<=dy<1 	 -75<=dphi<-65 	 R2=-0.0176303
1<=dy<1.08 	 -75<=dphi<-65 	 R2=-0.0114906
1.08<=dy<1.16 	 -75<=dphi<-65 	 R2=-0.0562296
-1.16<=dy<-1.08 	 -65<=dphi<-55 	 R2=-0.0145207
-1.08<=dy<-1 	 -65<=dphi<-55 	 R2=-0.00562488
-1<=dy<-0.92 	 -65<=dphi<-55 	 R2=-0.0275872
-0.92<=dy<-0.84 	 -65<=dphi<-55 	 R2=0.00225951
-0.84<=dy<-0.76 	 -65<=dphi<-55 	 R2=0.00345331
-0.76<=dy<-0.68 	 -65<=dphi<-55 	 R2=0.0133979
-0.68<=dy<-0.6 	 -65<=dphi<-55 	 R2=-0.00940831
-0.6<=dy<-0.52 	 -65<=dphi<-55 	 R2=-0.00055476
-0.52<=dy<-0.44 	 -65<=dphi<-55 	 R2=-0.0218207
-0.44<=dy<-0.36 	 -65<=dphi<-55 	 R2=-0.0121688
-0.36<=dy<-0.28 	 -65<=dphi<-55 	 R2=-0.0271713
-0.28<=dy<-0.2 	 -65<=dphi<-55 	 R2=-0.010618
-0.2<=dy<-0.12 	 -65<=dphi<-55 	 R2=-0.0279426
-0.12<=dy<-0.04 	 -65<=dphi<-55 	 R2=-0.0149283
-0.04<=dy<0.04 	 -65<=dphi<-55 	 R2=-0.0127022
0.04<=dy<0.12 	 -65<=dphi<-55 	 R2=-0.0079673
0.12<=dy<0.2 	 -65<=dphi<-55 	 R2=-0.0168426
0.2<=dy<0.28 	 -65<=dphi<-55 	 R2=-0.0164853
0.28<=dy<0.36 	 -65<=dphi<-55 	 R2=0.00368288
0.36<=dy<0.44 	 -65<=dphi<-55 	 R2=-0.00966702
0.44<=dy<0.52 	 -65<=dphi<-55 	 R2=-0.0240024
0.52<=dy<0.6 	 -65<=dphi<-55 	 R2=0.00755597
0.6<=dy<0.68 	 -65<=dphi<-55 	 R2=-0.00921921
