Figure 2-2
--------------------------------------------------------------------
7.7 GeV, Au+Au, 30-40% centrality, unlike-sign protons
-1.16<=dy<-1.08 	 -85<=dphi<-75 	 R2=0.486743
-1.08<=dy<-1 	 -85<=dphi<-75 	 R2=0.132831
-1<=dy<-0.92 	 -85<=dphi<-75 	 R2=0.401799
-0.92<=dy<-0.84 	 -85<=dphi<-75 	 R2=-0.037552
-0.84<=dy<-0.76 	 -85<=dphi<-75 	 R2=-0.166559
-0.76<=dy<-0.68 	 -85<=dphi<-75 	 R2=-0.11535
-0.68<=dy<-0.6 	 -85<=dphi<-75 	 R2=-0.00830659
-0.6<=dy<-0.52 	 -85<=dphi<-75 	 R2=-0.0762468
-0.52<=dy<-0.44 	 -85<=dphi<-75 	 R2=-0.120599
-0.44<=dy<-0.36 	 -85<=dphi<-75 	 R2=-0.0274555
-0.36<=dy<-0.28 	 -85<=dphi<-75 	 R2=0.0713455
-0.28<=dy<-0.2 	 -85<=dphi<-75 	 R2=-0.0342073
-0.2<=dy<-0.12 	 -85<=dphi<-75 	 R2=-0.0137366
-0.12<=dy<-0.04 	 -85<=dphi<-75 	 R2=0.172137
-0.04<=dy<0.04 	 -85<=dphi<-75 	 R2=0.205625
0.04<=dy<0.12 	 -85<=dphi<-75 	 R2=0.0984269
0.12<=dy<0.2 	 -85<=dphi<-75 	 R2=0.0197244
0.2<=dy<0.28 	 -85<=dphi<-75 	 R2=-0.0852256
0.28<=dy<0.36 	 -85<=dphi<-75 	 R2=0.0519016
0.36<=dy<0.44 	 -85<=dphi<-75 	 R2=-0.0746258
0.44<=dy<0.52 	 -85<=dphi<-75 	 R2=0.0176465
0.52<=dy<0.6 	 -85<=dphi<-75 	 R2=-0.171194
0.6<=dy<0.68 	 -85<=dphi<-75 	 R2=-0.0302279
0.68<=dy<0.76 	 -85<=dphi<-75 	 R2=-0.0149504
0.76<=dy<0.84 	 -85<=dphi<-75 	 R2=0.230775
0.84<=dy<0.92 	 -85<=dphi<-75 	 R2=-0.0855132
0.92<=dy<1 	 -85<=dphi<-75 	 R2=0.0129029
1<=dy<1.08 	 -85<=dphi<-75 	 R2=-0.211644
1.08<=dy<1.16 	 -85<=dphi<-75 	 R2=0.259957
-1.16<=dy<-1.08 	 -75<=dphi<-65 	 R2=-0.31519
-1.08<=dy<-1 	 -75<=dphi<-65 	 R2=-0.242559
-1<=dy<-0.92 	 -75<=dphi<-65 	 R2=-0.118368
