Figure 3-1
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, like-sign kaons
-0.76<=dy<-0.68 	 -85<=dphi<-75 	 R2=-0.0144925
-0.68<=dy<-0.6 	 -85<=dphi<-75 	 R2=-0.0120996
-0.6<=dy<-0.52 	 -85<=dphi<-75 	 R2=-0.00592579
-0.52<=dy<-0.44 	 -85<=dphi<-75 	 R2=-0.00550063
-0.44<=dy<-0.36 	 -85<=dphi<-75 	 R2=-0.011776
-0.36<=dy<-0.28 	 -85<=dphi<-75 	 R2=-0.0112794
-0.28<=dy<-0.2 	 -85<=dphi<-75 	 R2=-0.00777144
-0.2<=dy<-0.12 	 -85<=dphi<-75 	 R2=-0.0110295
-0.12<=dy<-0.04 	 -85<=dphi<-75 	 R2=-0.00614023
-0.04<=dy<0.04 	 -85<=dphi<-75 	 R2=-0.0138341
0.04<=dy<0.12 	 -85<=dphi<-75 	 R2=-0.00898585
0.12<=dy<0.2 	 -85<=dphi<-75 	 R2=-0.00836185
0.2<=dy<0.28 	 -85<=dphi<-75 	 R2=-0.00764359
0.28<=dy<0.36 	 -85<=dphi<-75 	 R2=-0.0100874
0.36<=dy<0.44 	 -85<=dphi<-75 	 R2=-0.00297936
0.44<=dy<0.52 	 -85<=dphi<-75 	 R2=-0.00703963
0.52<=dy<0.6 	 -85<=dphi<-75 	 R2=-0.00389223
0.6<=dy<0.68 	 -85<=dphi<-75 	 R2=-0.00612457
0.68<=dy<0.76 	 -85<=dphi<-75 	 R2=-0.000704674
-0.76<=dy<-0.68 	 -75<=dphi<-65 	 R2=-0.0117082
-0.68<=dy<-0.6 	 -75<=dphi<-65 	 R2=-0.0105839
-0.6<=dy<-0.52 	 -75<=dphi<-65 	 R2=-0.00624709
-0.52<=dy<-0.44 	 -75<=dphi<-65 	 R2=-0.0077757
-0.44<=dy<-0.36 	 -75<=dphi<-65 	 R2=-0.0108122
-0.36<=dy<-0.28 	 -75<=dphi<-65 	 R2=-0.00752982
-0.28<=dy<-0.2 	 -75<=dphi<-65 	 R2=-0.00964347
-0.2<=dy<-0.12 	 -75<=dphi<-65 	 R2=-0.00587523
-0.12<=dy<-0.04 	 -75<=dphi<-65 	 R2=-0.00632657
-0.04<=dy<0.04 	 -75<=dphi<-65 	 R2=-0.0120558
0.04<=dy<0.12 	 -75<=dphi<-65 	 R2=-0.0112712
0.12<=dy<0.2 	 -75<=dphi<-65 	 R2=-0.00987624
0.2<=dy<0.28 	 -75<=dphi<-65 	 R2=-0.0088572
0.28<=dy<0.36 	 -75<=dphi<-65 	 R2=-0.00735603
0.36<=dy<0.44 	 -75<=dphi<-65 	 R2=-0.00878494
0.44<=dy<0.52 	 -75<=dphi<-65 	 R2=-0.0133638
0.52<=dy<0.6 	 -75<=dphi<-65 	 R2=-0.000684307
0.6<=dy<0.68 	 -75<=dphi<-65 	 R2=-0.0127044
0.68<=dy<0.76 	 -75<=dphi<-65 	 R2=-0.0240517
-0.76<=dy<-0.68 	 -65<=dphi<-55 	 R2=-0.0123117
-0.68<=dy<-0.6 	 -65<=dphi<-55 	 R2=-0.00641442
-0.6<=dy<-0.52 	 -65<=dphi<-55 	 R2=-0.00668133
-0.52<=dy<-0.44 	 -65<=dphi<-55 	 R2=-0.00531371
