Figure 3-2
--------------------------------------------------------------------
200 GeV, Au+Au, 30-40% centrality, unlike-sign kaons
-0.76<=dy<-0.68 	 -85<=dphi<-75 	 R2=-0.00553922
-0.68<=dy<-0.6 	 -85<=dphi<-75 	 R2=-0.0196818
-0.6<=dy<-0.52 	 -85<=dphi<-75 	 R2=-0.0121544
-0.52<=dy<-0.44 	 -85<=dphi<-75 	 R2=-0.00811056
-0.44<=dy<-0.36 	 -85<=dphi<-75 	 R2=-0.0104993
-0.36<=dy<-0.28 	 -85<=dphi<-75 	 R2=-0.00960204
-0.28<=dy<-0.2 	 -85<=dphi<-75 	 R2=-0.0141376
-0.2<=dy<-0.12 	 -85<=dphi<-75 	 R2=-0.0164905
-0.12<=dy<-0.04 	 -85<=dphi<-75 	 R2=-0.0127912
-0.04<=dy<0.04 	 -85<=dphi<-75 	 R2=-0.0118107
0.04<=dy<0.12 	 -85<=dphi<-75 	 R2=-0.0138058
0.12<=dy<0.2 	 -85<=dphi<-75 	 R2=-0.0124406
0.2<=dy<0.28 	 -85<=dphi<-75 	 R2=-0.00817983
0.28<=dy<0.36 	 -85<=dphi<-75 	 R2=-0.0123441
0.36<=dy<0.44 	 -85<=dphi<-75 	 R2=-0.0118926
0.44<=dy<0.52 	 -85<=dphi<-75 	 R2=-0.0179241
0.52<=dy<0.6 	 -85<=dphi<-75 	 R2=-0.0145216
0.6<=dy<0.68 	 -85<=dphi<-75 	 R2=-0.0105779
0.68<=dy<0.76 	 -85<=dphi<-75 	 R2=-0.00948245
-0.76<=dy<-0.68 	 -75<=dphi<-65 	 R2=-0.0143806
-0.68<=dy<-0.6 	 -75<=dphi<-65 	 R2=-0.00941731
-0.6<=dy<-0.52 	 -75<=dphi<-65 	 R2=-0.0137392
-0.52<=dy<-0.44 	 -75<=dphi<-65 	 R2=-0.00739222
-0.44<=dy<-0.36 	 -75<=dphi<-65 	 R2=-0.0110796
-0.36<=dy<-0.28 	 -75<=dphi<-65 	 R2=-0.0139619
-0.28<=dy<-0.2 	 -75<=dphi<-65 	 R2=-0.00911311
-0.2<=dy<-0.12 	 -75<=dphi<-65 	 R2=-0.0144314
-0.12<=dy<-0.04 	 -75<=dphi<-65 	 R2=-0.0075234
-0.04<=dy<0.04 	 -75<=dphi<-65 	 R2=-0.00487076
0.04<=dy<0.12 	 -75<=dphi<-65 	 R2=-0.00833425
0.12<=dy<0.2 	 -75<=dphi<-65 	 R2=-0.00351755
0.2<=dy<0.28 	 -75<=dphi<-65 	 R2=-0.0118108
0.28<=dy<0.36 	 -75<=dphi<-65 	 R2=-0.0145971
0.36<=dy<0.44 	 -75<=dphi<-65 	 R2=-0.0090986
0.44<=dy<0.52 	 -75<=dphi<-65 	 R2=-0.01365
0.52<=dy<0.6 	 -75<=dphi<-65 	 R2=-0.0138193
0.6<=dy<0.68 	 -75<=dphi<-65 	 R2=-0.0291254
0.68<=dy<0.76 	 -75<=dphi<-65 	 R2=-0.0119373
-0.76<=dy<-0.68 	 -65<=dphi<-55 	 R2=0.00568965
-0.68<=dy<-0.6 	 -65<=dphi<-55 	 R2=-0.0130112
-0.6<=dy<-0.52 	 -65<=dphi<-55 	 R2=-0.0132988
-0.52<=dy<-0.44 	 -65<=dphi<-55 	 R2=0.00159428
-0.44<=dy<-0.36 	 -65<=dphi<-55 	 R2=-0.00999015
-0.36<=dy<-0.28 	 -65<=dphi<-55 	 R2=-0.011063
-0.28<=dy<-0.2 	 -65<=dphi<-55 	 R2=-0.0103366
-0.2<=dy<-0.12 	 -65<=dphi<-55 	 R2=-0.00682062
-0.12<=dy<-0.04 	 -65<=dphi<-55 	 R2=-0.00531642
-0.04<=dy<0.04 	 -65<=dphi<-55 	 R2=-0.00666496
0.04<=dy<0.12 	 -65<=dphi<-55 	 R2=-0.00579119
0.12<=dy<0.2 	 -65<=dphi<-55 	 R2=-0.00978866
0.2<=dy<0.28 	 -65<=dphi<-55 	 R2=-0.00822431
0.28<=dy<0.36 	 -65<=dphi<-55 	 R2=-0.0112454
0.36<=dy<0.44 	 -65<=dphi<-55 	 R2=-0.0093804
0.44<=dy<0.52 	 -65<=dphi<-55 	 R2=-0.012053
0.52<=dy<0.6 	 -65<=dphi<-55 	 R2=-0.0179354
0.6<=dy<0.68 	 -65<=dphi<-55 	 R2=-0.00910408
0.68<=dy<0.76 	 -65<=dphi<-55 	 R2=0.00877576
-0.76<=dy<-0.68 	 -55<=dphi<-45 	 R2=-0.00415912
-0.68<=dy<-0.6 	 -55<=dphi<-45 	 R2=0.00528297
-0.6<=dy<-0.52 	 -55<=dphi<-45 	 R2=-0.00104615
-0.52<=dy<-0.44 	 -55<=dphi<-45 	 R2=-0.00538235
-0.44<=dy<-0.36 	 -55<=dphi<-45 	 R2=-0.00244359
-0.36<=dy<-0.28 	 -55<=dphi<-45 	 R2=-0.00493588
-0.28<=dy<-0.2 	 -55<=dphi<-45 	 R2=-0.00431583
-0.2<=dy<-0.12 	 -55<=dphi<-45 	 R2=0.000274292
-0.12<=dy<-0.04 	 -55<=dphi<-45 	 R2=0.00133241
-0.04<=dy<0.04 	 -55<=dphi<-45 	 R2=-0.00220676
0.04<=dy<0.12 	 -55<=dphi<-45 	 R2=0.00131311
0.12<=dy<0.2 	 -55<=dphi<-45 	 R2=-0.00537945
0.2<=dy<0.28 	 -55<=dphi<-45 	 R2=-0.00920858
0.28<=dy<0.36 	 -55<=dphi<-45 	 R2=-0.00434461
0.36<=dy<0.44 	 -55<=dphi<-45 	 R2=-0.0105218
0.44<=dy<0.52 	 -55<=dphi<-45 	 R2=0.000919259
0.52<=dy<0.6 	 -55<=dphi<-45 	 R2=-0.010484
0.6<=dy<0.68 	 -55<=dphi<-45 	 R2=0.00144756
0.68<=dy<0.76 	 -55<=dphi<-45 	 R2=-0.0259869
-0.76<=dy<-0.68 	 -45<=dphi<-35 	 R2=0.0141143
-0.68<=dy<-0.6 	 -45<=dphi<-35 	 R2=0.00828187
-0.6<=dy<-0.52 	 -45<=dphi<-35 	 R2=-0.00656433
-0.52<=dy<-0.44 	 -45<=dphi<-35 	 R2=0.00626133
-0.44<=dy<-0.36 	 -45<=dphi<-35 	 R2=0.00365996
-0.36<=dy<-0.28 	 -45<=dphi<-35 	 R2=0.00470295
-0.28<=dy<-0.2 	 -45<=dphi<-35 	 R2=0.00569156
-0.2<=dy<-0.12 	 -45<=dphi<-35 	 R2=0.00655768
-0.12<=dy<-0.04 	 -45<=dphi<-35 	 R2=0.0107781
-0.04<=dy<0.04 	 -45<=dphi<-35 	 R2=0.00743587
0.04<=dy<0.12 	 -45<=dphi<-35 	 R2=0.0058927
0.12<=dy<0.2 	 -45<=dphi<-35 	 R2=3.11965e-05
0.2<=dy<0.28 	 -45<=dphi<-35 	 R2=0.000843995
0.28<=dy<0.36 	 -45<=dphi<-35 	 R2=0.00258517
0.36<=dy<0.44 	 -45<=dphi<-35 	 R2=0.00606708
0.44<=dy<0.52 	 -45<=dphi<-35 	 R2=-0.00765131
0.52<=dy<0.6 	 -45<=dphi<-35 	 R2=-0.00568127
0.6<=dy<0.68 	 -45<=dphi<-35 	 R2=-0.00400933
0.68<=dy<0.76 	 -45<=dphi<-35 	 R2=-0.00684052
-0.76<=dy<-0.68 	 -35<=dphi<-25 	 R2=0.00969622
-0.68<=dy<-0.6 	 -35<=dphi<-25 	 R2=0.00145729
-0.6<=dy<-0.52 	 -35<=dphi<-25 	 R2=0.0109621
-0.52<=dy<-0.44 	 -35<=dphi<-25 	 R2=0.0120169
-0.44<=dy<-0.36 	 -35<=dphi<-25 	 R2=0.0108825
-0.36<=dy<-0.28 	 -35<=dphi<-25 	 R2=0.0121212
-0.28<=dy<-0.2 	 -35<=dphi<-25 	 R2=0.0130804
-0.2<=dy<-0.12 	 -35<=dphi<-25 	 R2=0.0203174
-0.12<=dy<-0.04 	 -35<=dphi<-25 	 R2=0.0248781
-0.04<=dy<0.04 	 -35<=dphi<-25 	 R2=0.0237971
0.04<=dy<0.12 	 -35<=dphi<-25 	 R2=0.0276165
0.12<=dy<0.2 	 -35<=dphi<-25 	 R2=0.0203435
0.2<=dy<0.28 	 -35<=dphi<-25 	 R2=0.0128371
0.28<=dy<0.36 	 -35<=dphi<-25 	 R2=0.00504825
0.36<=dy<0.44 	 -35<=dphi<-25 	 R2=0.00393189
0.44<=dy<0.52 	 -35<=dphi<-25 	 R2=0.00270847
0.52<=dy<0.6 	 -35<=dphi<-25 	 R2=0.00862354
0.6<=dy<0.68 	 -35<=dphi<-25 	 R2=0.013615
0.68<=dy<0.76 	 -35<=dphi<-25 	 R2=0.0209697
-0.76<=dy<-0.68 	 -25<=dphi<-15 	 R2=0.00134135
-0.68<=dy<-0.6 	 -25<=dphi<-15 	 R2=0.0113507
-0.6<=dy<-0.52 	 -25<=dphi<-15 	 R2=0.00776679
-0.52<=dy<-0.44 	 -25<=dphi<-15 	 R2=0.0154717
-0.44<=dy<-0.36 	 -25<=dphi<-15 	 R2=0.0137765
-0.36<=dy<-0.28 	 -25<=dphi<-15 	 R2=0.018091
-0.28<=dy<-0.2 	 -25<=dphi<-15 	 R2=0.0300185
-0.2<=dy<-0.12 	 -25<=dphi<-15 	 R2=0.0346693
-0.12<=dy<-0.04 	 -25<=dphi<-15 	 R2=0.0420038
-0.04<=dy<0.04 	 -25<=dphi<-15 	 R2=0.036823
0.04<=dy<0.12 	 -25<=dphi<-15 	 R2=0.0416232
0.12<=dy<0.2 	 -25<=dphi<-15 	 R2=0.0373951
0.2<=dy<0.28 	 -25<=dphi<-15 	 R2=0.0352131
0.28<=dy<0.36 	 -25<=dphi<-15 	 R2=0.0249654
0.36<=dy<0.44 	 -25<=dphi<-15 	 R2=0.0163229
0.44<=dy<0.52 	 -25<=dphi<-15 	 R2=0.0105553
0.52<=dy<0.6 	 -25<=dphi<-15 	 R2=0.0105561
0.6<=dy<0.68 	 -25<=dphi<-15 	 R2=0.0325308
0.68<=dy<0.76 	 -25<=dphi<-15 	 R2=0.0114209
-0.76<=dy<-0.68 	 -15<=dphi<-5 	 R2=0.0207827
-0.68<=dy<-0.6 	 -15<=dphi<-5 	 R2=0.0253138
-0.6<=dy<-0.52 	 -15<=dphi<-5 	 R2=0.0126406
-0.52<=dy<-0.44 	 -15<=dphi<-5 	 R2=0.0191387
-0.44<=dy<-0.36 	 -15<=dphi<-5 	 R2=0.0186632
-0.36<=dy<-0.28 	 -15<=dphi<-5 	 R2=0.0367238
-0.28<=dy<-0.2 	 -15<=dphi<-5 	 R2=0.0471104
-0.2<=dy<-0.12 	 -15<=dphi<-5 	 R2=0.0431186
-0.12<=dy<-0.04 	 -15<=dphi<-5 	 R2=0.0366967
-0.04<=dy<0.04 	 -15<=dphi<-5 	 R2=0.0345473
0.04<=dy<0.12 	 -15<=dphi<-5 	 R2=0.0398945
0.12<=dy<0.2 	 -15<=dphi<-5 	 R2=0.0452646
0.2<=dy<0.28 	 -15<=dphi<-5 	 R2=0.0474604
0.28<=dy<0.36 	 -15<=dphi<-5 	 R2=0.0414827
0.36<=dy<0.44 	 -15<=dphi<-5 	 R2=0.021817
0.44<=dy<0.52 	 -15<=dphi<-5 	 R2=0.0159897
0.52<=dy<0.6 	 -15<=dphi<-5 	 R2=0.0148674
0.6<=dy<0.68 	 -15<=dphi<-5 	 R2=0.0141405
0.68<=dy<0.76 	 -15<=dphi<-5 	 R2=0.0168096
-0.76<=dy<-0.68 	 -5<=dphi<5 	 R2=0.0317628
-0.68<=dy<-0.6 	 -5<=dphi<5 	 R2=0.0125616
-0.6<=dy<-0.52 	 -5<=dphi<5 	 R2=0.0211471
-0.52<=dy<-0.44 	 -5<=dphi<5 	 R2=0.0193801
-0.44<=dy<-0.36 	 -5<=dphi<5 	 R2=0.0344853
-0.36<=dy<-0.28 	 -5<=dphi<5 	 R2=0.0445618
-0.28<=dy<-0.2 	 -5<=dphi<5 	 R2=0.0562308
-0.2<=dy<-0.12 	 -5<=dphi<5 	 R2=0.039835
-0.12<=dy<-0.04 	 -5<=dphi<5 	 R2=0.0202561
-0.04<=dy<0.04 	 -5<=dphi<5 	 R2=0.023051
0.04<=dy<0.12 	 -5<=dphi<5 	 R2=0.0216463
0.12<=dy<0.2 	 -5<=dphi<5 	 R2=0.0346802
0.2<=dy<0.28 	 -5<=dphi<5 	 R2=0.0494712
0.28<=dy<0.36 	 -5<=dphi<5 	 R2=0.0557043
0.36<=dy<0.44 	 -5<=dphi<5 	 R2=0.0241311
0.44<=dy<0.52 	 -5<=dphi<5 	 R2=0.0279689
0.52<=dy<0.6 	 -5<=dphi<5 	 R2=0.0127672
0.6<=dy<0.68 	 -5<=dphi<5 	 R2=0.0161455
0.68<=dy<0.76 	 -5<=dphi<5 	 R2=0.0388494
